onset	duration	value	response	rt	good	Acu	estim	trial
0.0067	1	11	1	605.1	1	1	1 0 0	1
3.1329	1	11	2	407.5	1	1	0 2 0	2
5.91	1	11	1	371.8	1	1	1 0 0	3
8.4542	1	11	1	332.5	1	1	1 0 0	4
11.6304	1	11	3	325.2	1	1	0 0 3	5
13.576	1	11	2	375.8	1	1	0 2 0	6
16.0371	1	11	2	363.8	1	1	0 2 0	7
18.3153	1	11	2	386.4	1	1	0 2 0	8
21.3417	1	12	2	644.9	1	0	3 1 3	1
24.4015	1	12	1	563	1	0	2 1 1	2
27.112	1	12	2	447.4	1	0	1 3 1	3
30.3214	1	12	1	806.6	1	1	3 1 3	4
32.9987	1	12	2	641.3	1	1	2 3 3	5
36.125	1	12	3	705.9	1	1	1 3 1	6
38.0373	1	11	3	738.8	1	1	0 0 3	1
41.8953	1	11	2	525.2	1	1	0 2 0	2
45.7698	1	11	3	402.3	1	1	0 0 3	3
49.2453	1	11	1	452	1	1	1 0 0	4
52.5711	1	12	3	594.6	1	1	1 3 1	1
55.2983	1	12	3	636.9	1	1	3 2 2	2
57.8758	1	12	2	612.4	1	1	2 3 3	3
59.9212	1	12	3	579.5	1	1	1 3 1	4
61.9499	1	12	3	548.1	1	1	3 1 1	5
64.1117	1	11	2	578	1	1	0 2 0	1
66.5894	1	11	3	400.1	1	1	0 0 3	2
70.0981	1	11	1	404.6	1	1	1 0 0	3
73.557	1	12	2	671.4	1	1	2 3 3	1
76.2176	1	12	3	667.9	1	1	3 2 2	2
78.6288	1	12	3	639.6	1	1	1 3 1	3
81.8549	1	12	2	508.2	1	1	2 3 3	4
83.8504	1	12	3	490.1	1	1	3 2 2	5
87.0099	1	12	1	676.7	1	1	3 3 1	6
90.2359	1	12	2	773.8	1	1	3 3 2	7
93.3455	1	11	2	542.6	1	1	0 2 0	1
95.9729	1	11	3	422.3	1	1	0 0 3	2
98.75	1	11	2	471.6	1	1	0 2 0	3
102.2421	1	11	1	410.7	1	1	1 0 0	4
105.0358	1	11	3	408.6	1	1	0 0 3	5
107.8295	1	11	3	383.1	1	1	0 0 3	6
111.2717	1	11	2	398.1	1	1	0 2 0	7
113.2838	1	12	1	605.7	1	1	3 3 1	1
115.8114	1	12	1	816.3	1	1	2 2 1	2
118.2226	1	12	3	554.8	1	1	2 3 2	3
120.135	1	12	1	542.6	1	1	2 1 2	4
122.1138	1	12	1	529.2	1	1	2 2 1	5
125.4396	1	12	3	460.3	1	1	1 3 1	6
128.6823	1	12	2	717.8	1	1	1 1 2	7
131.1101	1	12	2	965.4	1	1	2 3 3	8
134.8683	1	11	2	444.4	1	1	0 2 0	1
138.6597	1	11	1	418.4	1	1	1 0 0	2
142.4013	1	11	2	448.4	1	1	0 2 0	3
144.3469	1	11	3	427.1	1	1	0 0 3	4
148.1882	1	11	3	468.4	1	1	0 0 3	5
151.8133	1	12	2	601	1	1	1 1 2	1
153.8587	1	12	2	613	1	1	1 1 2	2
156.2366	1	12	2	601	1	1	2 1 1	3
159.7953	1	11	2	472.5	1	1	0 2 0	1
162.3561	1	11	1	495.9	1	1	1 0 0	2
164.2851	1	11	1	618.3	1	1	1 0 0	3
167.4613	1	11	1	413.5	1	1	1 0 0	4
170.2716	1	11	2	424	1	1	0 2 0	5
173.165	1	11	1	482.2	1	1	1 0 0	6
176.9066	1	12	2	782.2	1	1	2 3 3	1
179.6504	1	12	3	563.9	1	1	3 2 2	2
182.1946	1	12	1	762.9	1	1	3 1 3	3
184.3397	1	12	2	657.1	1	1	2 3 3	4
187.9981	1	11	3	454.9	1	1	0 0 3	1
191.1078	1	11	3	423	1	1	0 0 3	2
194.7828	1	11	3	418.4	1	1	0 0 3	3
196.8115	1	11	2	454.1	1	1	0 2 0	4
198.7571	1	11	2	485.1	1	1	0 2 0	5
201.2681	1	12	1	672.5	1	1	2 1 2	1
204.9099	1	12	1	606.8	1	1	3 3 1	2
208.2523	1	12	2	594.5	1	1	3 3 2	3
211.4617	1	11	2	395.9	1	1	0 2 0	1
214.0725	1	11	1	424.3	1	1	1 0 0	2
