onset	duration	value	response	rt	good	Acu	estim	trial
0.0116	1	11	3	608	1	1	0 0 3	1
2.3563	1	11	2	484.7	1	1	0 2 0	2
4.6344	1	11	3	381.4	1	1	0 0 3	3
7.4115	1	11	2	403.7	1	1	0 2 0	4
9.8393	1	11	3	388.9	1	1	0 0 3	5
13.1485	1	12	2	614.9	1	0	3 1 3	1
15.5431	1	12	2	594.4	1	0	1 3 1	2
19.0019	1	12	1	968.3	1	1	3 1 3	3
22.3943	1	12	3	702.5	1	1	3 2 2	4
24.9884	1	12	3	966.7	1	1	1 3 1	5
27.1834	1	12	2	913.5	1	1	2 3 3	6
29.8441	1	12	3	744.7	1	1	2 3 2	7
32.7874	1	11	1	536.8	1	1	1 0 0	1
35.631	1	11	1	1056.2	1	1	1 0 0	2
37.7429	1	11	1	597.4	1	1	1 0 0	3
41.5509	1	12	3	641	1	1	2 3 2	1
44.3446	1	12	1	628.8	1	1	2 1 2	2
47.6704	1	12	1	869.2	1	1	3 1 3	3
51.2789	1	12	2	879.3	1	1	1 1 2	4
53.2245	1	11	2	583.5	1	1	0 2 0	1
55.4528	1	11	3	462.9	1	1	0 0 3	2
59.2609	1	11	1	544.4	1	1	1 0 0	3
62.2375	1	11	1	490.3	1	1	1 0 0	4
64.8482	1	11	2	416.8	1	1	0 2 0	5
68.3736	1	11	2	417.7	1	1	0 2 0	6
70.7183	1	12	1	615.3	1	1	3 3 1	1
72.8302	1	12	1	570.8	1	1	3 3 1	2
74.8922	1	12	2	542.3	1	0	3 1 3	3
77.3367	1	12	1	484.5	1	1	3 3 1	4
79.9973	1	12	1	446.1	1	1	2 2 1	5
83.8386	1	12	3	910.1	1	1	2 3 2	6
87.0314	1	12	1	477.7	1	1	3 3 1	7
89.7752	1	12	1	634.4	1	0	2 1 1	8
92.7851	1	11	3	428	1	1	0 0 3	1
96.6098	1	11	2	507.1	1	1	0 2 0	2
99.3535	1	11	1	442.5	1	1	1 0 0	3
101.6816	1	11	2	482.3	1	1	0 2 0	4
104.9409	1	11	2	487	1	1	0 2 0	5
108.7656	1	11	2	468.7	1	1	0 2 0	6
111.9251	1	11	3	450.1	1	1	0 0 3	7
114.0702	1	12	3	753	1	1	3 1 1	1
116.0657	1	12	1	627.8	1	1	2 1 2	2
119.2253	1	12	3	529.9	1	1	2 3 2	3
122.2185	1	12	1	564.5	1	0	2 3 3	4
125.112	1	12	2	764.8	1	1	2 1 1	5
127.5065	1	12	2	689.3	1	0	3 1 3	6
130.084	1	12	3	654.5	1	0	3 3 2	7
133.177	1	12	3	724.5	1	0	1 1 2	8
135.8876	1	11	1	518.8	1	1	1 0 0	1
138.7478	1	11	2	604.1	1	1	0 2 0	2
141.8408	1	11	2	480	1	1	0 2 0	3
145.3162	1	12	2	751.1	1	1	2 3 3	1
148.9913	1	12	3	1040.8	1	1	2 3 2	2
150.887	1	12	2	722.8	1	1	3 3 2	3
153.5975	1	12	2	721.6	1	0	1 3 1	4
155.9588	1	12	2	683.3	1	1	2 3 3	5
158.8855	1	11	2	600.9	1	1	0 2 0	1
162.3278	1	11	2	412.6	1	1	0 2 0	2
165.7866	1	11	1	475	1	1	1 0 0	3
168.3641	1	11	2	459.8	1	1	0 2 0	4
172.1057	1	11	3	363.5	1	1	0 0 3	5
175.7308	1	11	2	441.9	1	1	0 2 0	6
177.9757	1	12	3	889.3	1	1	1 3 1	1
181.0355	1	12	3	801.3	1	1	2 3 2	2
183.1806	1	12	2	679.5	1	0	3 2 2	3
185.3424	1	12	2	1010.8	1	0	2 1 2	4
187.8201	1	11	2	484.5	1	1	0 2 0	1
190.1981	1	11	3	421.1	1	1	0 0 3	2
193.8731	1	11	3	460.6	1	1	0 0 3	3
197.6978	1	11	1	396.6	1	1	1 0 0	4
200.7741	1	12	2	752.5	1	1	1 1 2	1
204.4325	1	12	1	626.5	1	1	2 2 1	2
207.2096	1	12	2	739.9	1	1	3 3 2	3
210.7516	1	12	3	574.9	1	1	3 1 1	4
213.9111	1	12	3	616.3	1	0	2 3 3	5
216.921	1	12	1	602	1	1	3 3 1	6
219.4985	1	12	2	609.5	1	1	1 1 2	7
222.9739	1	12	3	724.7	1	1	3 1 1	8
226.3496	1	11	1	563.9	1	1	1 0 0	1
228.3119	1	11	2	446.9	1	1	0 2 0	2
231.9037	1	11	2	405.3	1	1	0 2 0	3
234.2152	1	12	1	775	1	0	2 1 1	1
237.225	1	12	3	1172.4	1	1	3 2 2	2
240.2515	1	12	2	682.1	1	1	1 1 2	3
243.1283	1	12	2	398.3	1	0	2 1 2	4
245.5063	1	12	3	746.7	1	1	1 3 1	5
