onset	duration	value	response	rt	good	TMS	delta	fixed	seq
52.2148	1	81	n/a	n/a	1	0	0	0	0
52.4148	1	81	n/a	n/a	1	0	0	0	0
52.6148	1	81	n/a	n/a	1	0	0	0	0
52.8148	1	81	n/a	n/a	1	0	0	0	0
53.0148	1	81	n/a	n/a	1	0	0	0	0
53.2148	1	81	n/a	n/a	1	0	0	0	0
53.4148	1	81	n/a	n/a	1	0	0	0	0
53.6148	1	81	n/a	n/a	1	0	0	0	0
53.8148	1	81	n/a	n/a	1	0	0	0	0
54.0148	1	81	n/a	n/a	1	0	0	0	0
55.1666	1	10	226.3	226.3	1	51	-2.8376e-10	0	1
56.2164	1	10	216.4	216.4	1	51	-0.1	0	2
57.2498	1	10	223.1	223.1	1	51	0.1	0	3
58.283	1	21	197.8	197.8	1	51	-0.1	0	0
59.4162	1	10	88.5	88.5	1	51	2.7649e-10	0	1
60.5996	1	10	-99	-99	1	51	0.1	0	2
61.7328	1	10	203.9	203.9	1	51	-0.1	0	3
62.966	1	10	202.6	202.6	1	51	-1.8917e-10	0	4
64.0994	1	10	237.3	237.3	1	51	0.1	0	5
65.2326	1	21	1264	1264	1	51	-0.1	0	0
66.5492	1	10	-99	-99	1	51	-9.4587e-11	0	1
67.5992	1	10	241.5	241.5	1	51	0.1	0	2
68.699	1	10	213.5	213.5	1	51	-0.1	0	3
69.8324	1	10	296.2	296.2	1	51	0.1	0	4
71.099	1	10	293.6	293.6	1	51	-8.7311e-11	0	5
72.3656	1	21	-99	-99	1	51	-8.7311e-11	0	0
73.632	1	10	240.3	240.3	1	51	-0.2	0	1
74.832	1	10	208.4	208.4	1	51	0.1	0	2
76.082	1	10	286.5	286.5	1	51	0.1	0	3
77.1486	1	10	243.9	243.9	1	51	-8.7311e-11	0	4
78.087	1	81	n/a	n/a	1	0	-0.1	0	0
78.287	1	81	n/a	n/a	1	0	0	0	0
78.487	1	81	n/a	n/a	1	0	0	0	0
78.687	1	81	n/a	n/a	1	0	0	0	0
78.887	1	81	n/a	n/a	1	0	0	0	0
79.087	1	81	n/a	n/a	1	0	0	0	0
79.287	1	81	n/a	n/a	1	0	0	0	0
79.487	1	81	n/a	n/a	1	0	0	0	0
79.687	1	81	n/a	n/a	1	0	0	0	0
79.887	1	81	n/a	n/a	1	0	0	0	0
81.215	1	10	321.3	321.3	1	51	0	0	1
82.415	1	10	225.3	225.3	1	51	0.1	0	2
83.5982	1	10	258	258	1	51	-0.1	0	3
84.7814	1	21	226.8	226.8	1	51	-1.8917e-10	0	0
85.948	1	10	212.2	212.2	1	51	-8.7311e-11	0	1
87.248	1	10	336.1	336.1	1	51	0	0	2
88.4312	1	10	288.9	288.9	1	51	2.7649e-10	0	3
89.6144	1	21	305.6	305.6	1	51	-0.1	0	0
90.8478	1	10	208.3	208.3	1	51	0.1	0	1
91.931	1	10	245	245	1	51	-1.8917e-10	0	2
93.0822	1	10	231.3	231.3	1	51	1.5	0	3
94.1642	1	10	299.8	299.8	1	51	-1.5	0	4
95.4308	1	10	329.2	329.2	1	51	-8.7311e-11	0	5
96.6974	1	21	-99	-99	1	51	-1.0186e-10	0	0
97.9806	1	10	259.2	259.2	1	51	-0.1	0	1
99.264	1	21	256	256	1	51	0.2	0	0
100.5472	1	10	204.7	204.7	1	51	-0.1	0	1
101.8304	1	21	-99	-99	1	51	-0.1	0	0
103.047	1	10	248.7	248.7	1	51	3.7835e-10	0	1
104.2302	1	10	393.5	393.5	1	51	-1.8917e-10	0	2
105.0878	1	81	n/a	n/a	1	0	0.1	0	0
105.2878	1	81	n/a	n/a	1	0	0	0	0
105.4878	1	81	n/a	n/a	1	0	0	0	0
105.6878	1	81	n/a	n/a	1	0	0	0	0
105.8878	1	81	n/a	n/a	1	0	0	0	0
106.0878	1	81	n/a	n/a	1	0	0	0	0
106.2878	1	81	n/a	n/a	1	0	0	0	0
106.4878	1	81	n/a	n/a	1	0	0	0	0
106.6878	1	81	n/a	n/a	1	0	0	0	0
106.8878	1	81	n/a	n/a	1	0	0	0	0
108.03	1	10	289.6	289.6	1	51	-0.1	0	1
109.08	1	21	-99	-99	1	51	0.1	0	0
110.33	1	10	229.6	229.6	1	51	0	0	1
111.5632	1	10	260.4	260.4	1	51	2.7649e-10	0	2
112.5964	1	10	331.1	331.1	1	51	-0.1	0	3
113.9298	1	10	245.8	245.8	1	51	0.1	0	4
115.0796	1	10	247.8	247.8	1	51	-0.1	0	5
116.2296	1	21	-99	-99	1	51	0.1	0	0
117.4962	1	10	71.3	71.3	1	51	-1.0186e-10	0	1
118.7128	1	10	214.7	214.7	1	51	0.1	0	2
