onset	duration	value	response	rt	good	TMS	seq
47.2628	1	81	n/a	n/a	1	0	0
47.4628	1	81	n/a	n/a	1	0	0
47.6628	1	81	n/a	n/a	1	0	0
47.8628	1	81	n/a	n/a	1	0	0
48.0628	1	81	n/a	n/a	1	0	0
48.2628	1	81	n/a	n/a	1	0	0
48.4628	1	81	n/a	n/a	1	0	0
48.6628	1	81	n/a	n/a	1	0	0
48.8628	1	81	n/a	n/a	1	0	0
49.0628	1	81	n/a	n/a	1	0	0
50.4292	1	10	676.4	676.4	1	51	1
51.7458	1	10	287.8	287.8	1	51	2
53.029	1	10	396.5	396.5	1	51	3
54.2122	1	10	285.3	285.3	1	51	4
55.3956	1	10	349.9	349.9	1	51	5
56.5788	1	21	-99	-99	1	51	0
57.7788	1	10	270.7	270.7	1	51	1
58.9454	1	10	304.1	304.1	1	51	2
59.9952	1	10	278.1	278.1	1	51	3
61.1952	1	10	310.2	310.2	1	51	4
62.4784	1	10	292.6	292.6	1	51	5
63.7118	1	21	-99	-99	1	51	0
64.8284	1	10	260.9	260.9	1	51	1
66.1116	1	10	289.7	289.7	1	51	2
67.2948	1	10	274.4	274.4	1	51	3
68.4782	1	21	-99	-99	1	51	0
69.6114	1	10	245.8	245.8	1	51	1
70.928	1	10	273.2	273.2	1	51	2
72.1612	1	10	239.9	239.9	1	51	3
73.3112	1	10	257.9	257.9	1	51	4
74.2046	1	81	n/a	n/a	1	0	0
74.4046	1	81	n/a	n/a	1	0	0
74.6046	1	81	n/a	n/a	1	0	0
74.8046	1	81	n/a	n/a	1	0	0
75.0046	1	81	n/a	n/a	1	0	0
75.2046	1	81	n/a	n/a	1	0	0
75.4046	1	81	n/a	n/a	1	0	0
75.6046	1	81	n/a	n/a	1	0	0
75.8046	1	81	n/a	n/a	1	0	0
76.0046	1	81	n/a	n/a	1	0	0
77.2776	1	10	323.4	323.4	1	51	1
78.4442	1	10	260.8	260.8	1	51	2
79.6274	1	10	325.5	325.5	1	51	3
80.794	1	10	310.8	310.8	1	51	4
82.0774	1	10	307.5	307.5	1	51	5
83.1606	1	10	264.3	264.3	1	51	6
84.494	1	10	259	259	1	51	7
85.8272	1	21	-99	-99	1	51	0
87.1436	1	10	249	249	1	51	1
88.3102	1	10	250.4	250.4	1	51	2
89.4268	1	10	269.8	269.8	1	51	3
90.5436	1	21	-99	-99	1	51	0
91.5768	1	10	247.9	247.9	1	51	1
92.71	1	10	266.7	266.7	1	51	2
93.76	1	10	256.7	256.7	1	51	3
94.81	1	21	-99	-99	1	51	0
96.0598	1	10	244.7	244.7	1	51	1
97.1932	1	10	295.5	295.5	1	51	2
98.2764	1	10	252.2	252.2	1	51	3
99.343	1	10	241.5	241.5	1	51	4
100.4494	1	81	n/a	n/a	1	0	0
100.6494	1	81	n/a	n/a	1	0	0
100.8494	1	81	n/a	n/a	1	0	0
101.0494	1	81	n/a	n/a	1	0	0
101.2494	1	81	n/a	n/a	1	0	0
101.4494	1	81	n/a	n/a	1	0	0
101.6494	1	81	n/a	n/a	1	0	0
101.8494	1	81	n/a	n/a	1	0	0
102.0494	1	81	n/a	n/a	1	0	0
102.2494	1	81	n/a	n/a	1	0	0
103.526	1	10	266.4	266.4	1	51	1
104.7594	1	10	266.8	266.8	1	51	2
106.026	1	10	310.4	310.4	1	51	3
107.2592	1	10	373.1	373.1	1	51	4
108.5092	1	10	291.2	291.2	1	51	5
109.759	1	21	-99	-99	1	51	0
110.7924	1	10	248	248	1	51	1
112.0422	1	10	310	310	1	51	2
113.2756	1	10	276.7	276.7	1	51	3
114.5254	1	10	290.7	290.7	1	51	4
115.5754	1	10	312.8	312.8	1	51	5
116.642	1	10	286.2	286.2	1	51	6
117.6752	1	10	276.9	276.9	1	51	7
118.7086	1	21	-99	-99	1	51	0
119.7752	1	10	240.9	240.9	1	51	1
121.075	1	10	221	221	1	51	2
122.225	1	10	207	207	1	51	3
123.325	1	10	243.1	243.1	1	51	4
124.4082	1	10	263.8	263.8	1	51	5
125.4914	1	21	-99	-99	1	51	0
126.5092	1	81	n/a	n/a	1	0	0
126.7092	1	81	n/a	n/a	1	0	0
126.9092	1	81	n/a	n/a	1	0	0
127.1092	1	81	n/a	n/a	1	0	0
127.3092	1	81	n/a	n/a	1	0	0
127.5092	1	81	n/a	n/a	1	0	0
127.7092	1	81	n/a	n/a	1	0	0
127.9092	1	81	n/a	n/a	1	0	0
128.1092	1	81	n/a	n/a	1	0	0
128.3092	1	81	n/a	n/a	1	0	0
129.7078	1	10	292	292	1	51	1
131.0078	1	21	-99	-99	1	51	0
132.2744	1	10	253.4	253.4	1	51	1
133.4744	1	10	301.4	301.4	1	51	2
134.6742	1	10	269.5	269.5	1	51	3
135.9574	1	10	282.2	282.2	1	51	4
137.224	1	10	263.5	263.5	1	51	5
138.424	1	10	295.6	295.6	1	51	6
139.5072	1	10	252.3	252.3	1	51	7
140.5906	1	21	-99	-99	1	51	0
141.8738	1	10	253.8	253.8	1	51	1
142.9738	1	10	273.8	273.8	1	51	2
144.2236	1	10	239.8	239.8	1	51	3
145.4736	1	21	-99	-99	1	51	0
146.6568	1	10	254.6	254.6	1	51	1
147.9234	1	10	268	268	1	51	2
149.0568	1	10	254.7	254.7	1	51	3
150.19	1	21	-99	-99	1	51	0
151.24	1	10	327.4	327.4	1	51	1
152.3898	1	10	249.4	249.4	1	51	2
153.2634	1	81	n/a	n/a	1	0	0
153.4634	1	81	n/a	n/a	1	0	0
153.6634	1	81	n/a	n/a	1	0	0
153.8634	1	81	n/a	n/a	1	0	0
154.0634	1	81	n/a	n/a	1	0	0
154.2634	1	81	n/a	n/a	1	0	0
154.4634	1	81	n/a	n/a	1	0	0
154.6634	1	81	n/a	n/a	1	0	0
154.8634	1	81	n/a	n/a	1	0	0
155.0634	1	81	n/a	n/a	1	0	0
156.4064	1	10	392.9	392.9	1	51	1
157.6896	1	10	277.6	277.6	1	51	2
158.9562	1	10	291	291	1	51	3
160.2228	1	21	-99	-99	1	51	0
161.2894	1	10	373.8	373.8	1	51	1
162.356	1	10	283.1	283.1	1	51	2
163.5392	1	10	347.8	347.8	1	51	3
164.7224	1	21	316.5	316.5	1	51	0
165.989	1	10	-99	-99	1	51	1
167.139	1	10	252	252	1	51	2
168.339	1	10	252.1	252.1	1	51	3
