onset	duration	value	response	rt	good	TMS	seq
95.4398	1	81	n/a	n/a	1	0	0
95.6398	1	81	n/a	n/a	1	0	0
95.8398	1	81	n/a	n/a	1	0	0
96.0396	1	81	n/a	n/a	1	0	0
96.2396	1	81	n/a	n/a	1	0	0
96.4398	1	81	n/a	n/a	1	0	0
96.6398	1	81	n/a	n/a	1	0	0
96.8398	1	81	n/a	n/a	1	0	0
97.0398	1	81	n/a	n/a	1	0	0
97.2398	1	81	n/a	n/a	1	0	0
98.3938	1	10	n/a	n/a	1	52	1
99.5604	1	10	n/a	n/a	1	52	2
100.5936	1	10	n/a	n/a	1	52	3
101.6436	1	10	n/a	n/a	1	52	4
102.9602	1	10	n/a	n/a	1	52	5
104.2602	1	10	n/a	n/a	1	52	6
105.4934	1	10	n/a	n/a	1	52	7
106.7266	1	21	n/a	n/a	1	52	0
107.76	1	10	n/a	n/a	1	52	1
109.0266	1	10	n/a	n/a	1	52	2
110.2432	1	10	n/a	n/a	1	52	3
111.3598	1	10	n/a	n/a	1	52	4
112.6264	1	10	n/a	n/a	1	52	5
113.893	1	21	n/a	n/a	1	52	0
115.1094	1	10	n/a	n/a	1	52	1
116.2928	1	10	n/a	n/a	1	52	2
117.4926	1	10	n/a	n/a	1	52	3
118.5426	1	10	n/a	n/a	1	52	4
119.576	1	10	n/a	n/a	1	52	5
120.8258	1	10	n/a	n/a	1	52	6
121.5612	1	81	n/a	n/a	1	0	0
121.7612	1	81	n/a	n/a	1	0	0
121.9612	1	81	n/a	n/a	1	0	0
122.1612	1	81	n/a	n/a	1	0	0
122.3612	1	81	n/a	n/a	1	0	0
122.5612	1	81	n/a	n/a	1	0	0
122.7612	1	81	n/a	n/a	1	0	0
122.9612	1	81	n/a	n/a	1	0	0
123.1612	1	81	n/a	n/a	1	0	0
123.3612	1	81	n/a	n/a	1	0	0
124.5922	1	10	n/a	n/a	1	52	1
125.7256	1	21	n/a	n/a	1	52	0
126.8088	1	10	n/a	n/a	1	52	1
128.0754	1	10	n/a	n/a	1	52	2
129.2254	1	10	n/a	n/a	1	52	3
