onset	duration	value	response	rt	good	TMS	seq
144.6454	1	82	n/a	n/a	1	0	0
144.6734	1	82	n/a	n/a	1	0	0
144.7824	1	82	n/a	n/a	1	0	0
144.8514	1	82	n/a	n/a	1	0	0
144.9854	1	82	n/a	n/a	1	0	0
145.6454	1	82	n/a	n/a	1	0	0
145.9344	1	82	n/a	n/a	1	0	0
146.0184	1	82	n/a	n/a	1	0	0
146.3334	1	82	n/a	n/a	1	0	0
146.4664	1	82	n/a	n/a	1	0	0
147.664	1	10	n/a	n/a	1	52	1
148.7972	1	10	n/a	n/a	1	52	2
149.8472	1	10	n/a	n/a	1	52	3
150.9638	1	10	n/a	n/a	1	52	4
152.1138	1	10	n/a	n/a	1	52	5
153.2636	1	21	n/a	n/a	1	52	0
154.3802	1	10	n/a	n/a	1	52	1
155.4968	1	21	n/a	n/a	1	52	0
156.6302	1	10	n/a	n/a	1	52	1
157.93	1	10	n/a	n/a	1	52	2
159.1134	1	10	n/a	n/a	1	52	3
160.1632	1	10	n/a	n/a	1	52	4
161.3298	1	10	n/a	n/a	1	52	5
162.4798	1	10	n/a	n/a	1	52	6
163.5964	1	10	n/a	n/a	1	52	7
164.713	1	21	n/a	n/a	1	52	0
165.7962	1	10	n/a	n/a	1	52	1
166.8796	1	21	n/a	n/a	1	52	0
168.1294	1	10	n/a	n/a	1	52	1
169.4294	1	10	n/a	n/a	1	52	2
170.5382	1	82	n/a	n/a	1	0	0
170.5782	1	82	n/a	n/a	1	0	0
170.8032	1	82	n/a	n/a	1	0	0
171.1022	1	82	n/a	n/a	1	0	0
171.4872	1	82	n/a	n/a	1	0	0
171.539	1	82	n/a	n/a	1	0	0
171.691	1	82	n/a	n/a	1	0	0
171.748	1	82	n/a	n/a	1	0	0
172.045	1	82	n/a	n/a	1	0	0
172.453	1	82	n/a	n/a	1	0	0
173.5624	1	10	n/a	n/a	1	52	1
174.879	1	10	n/a	n/a	1	52	2
175.9956	1	10	n/a	n/a	1	52	3
177.1622	1	10	n/a	n/a	1	52	4
178.2122	1	10	n/a	n/a	1	52	5
179.2622	1	21	n/a	n/a	1	52	0
180.312	1	10	n/a	n/a	1	52	1
181.3954	1	10	n/a	n/a	1	52	2
182.662	1	10	n/a	n/a	1	52	3
183.8618	1	10	n/a	n/a	1	52	4
184.8952	1	10	n/a	n/a	1	52	5
185.9284	1	21	n/a	n/a	1	52	0
187.1116	1	10	n/a	n/a	1	52	1
188.345	1	10	n/a	n/a	1	52	2
189.6616	1	10	n/a	n/a	1	52	3
190.8448	1	10	n/a	n/a	1	52	4
192.1446	1	10	n/a	n/a	1	52	5
193.4612	1	10	n/a	n/a	1	52	6
194.5112	1	10	n/a	n/a	1	52	7
195.5612	1	21	n/a	n/a	1	52	0
196.5778	1	82	n/a	n/a	1	0	0
196.7998	1	82	n/a	n/a	1	0	0
196.8198	1	82	n/a	n/a	1	0	0
196.9498	1	82	n/a	n/a	1	0	0
197.3198	1	82	n/a	n/a	1	0	0
197.5778	1	82	n/a	n/a	1	0	0
197.707	1	82	n/a	n/a	1	0	0
198.084	1	82	n/a	n/a	1	0	0
198.395	1	82	n/a	n/a	1	0	0
198.487	1	82	n/a	n/a	1	0	0
199.711	1	10	n/a	n/a	1	52	1
200.8276	1	10	n/a	n/a	1	52	2
202.0442	1	10	n/a	n/a	1	52	3
203.3606	1	10	n/a	n/a	1	52	4
204.494	1	10	n/a	n/a	1	52	5
205.7106	1	10	n/a	n/a	1	52	6
206.9104	1	10	n/a	n/a	1	52	7
208.1104	1	21	n/a	n/a	1	52	0
209.2104	1	10	n/a	n/a	1	52	1
210.4102	1	10	n/a	n/a	1	52	2
211.4602	1	10	n/a	n/a	1	52	3
212.7768	1	10	n/a	n/a	1	52	4
214.0934	1	10	n/a	n/a	1	52	5
215.3766	1	10	n/a	n/a	1	52	6
216.4766	1	10	n/a	n/a	1	52	7
217.5766	1	21	n/a	n/a	1	52	0
218.7264	1	10	n/a	n/a	1	52	1
219.8764	1	10	n/a	n/a	1	52	2
221.0596	1	10	n/a	n/a	1	52	3
222.2428	1	21	n/a	n/a	1	52	0
223.0296	1	82	n/a	n/a	1	0	0
223.1276	1	82	n/a	n/a	1	0	0
223.4996	1	82	n/a	n/a	1	0	0
223.8286	1	82	n/a	n/a	1	0	0
223.8706	1	82	n/a	n/a	1	0	0
224.0296	1	82	n/a	n/a	1	0	0
224.3706	1	82	n/a	n/a	1	0	0
224.4496	1	82	n/a	n/a	1	0	0
224.6956	1	82	n/a	n/a	1	0	0
224.8106	1	82	n/a	n/a	1	0	0
226.026	1	10	n/a	n/a	1	52	1
227.226	1	10	n/a	n/a	1	52	2
228.3426	1	10	n/a	n/a	1	52	3
229.6258	1	10	n/a	n/a	1	52	4
230.859	1	10	n/a	n/a	1	52	5
232.0924	1	21	n/a	n/a	1	52	0
233.309	1	10	n/a	n/a	1	52	1
234.4256	1	10	n/a	n/a	1	52	2
235.6254	1	10	n/a	n/a	1	52	3
236.7754	1	10	n/a	n/a	1	52	4
239.3752	1	21	n/a	n/a	1	52	0
240.4084	1	10	n/a	n/a	1	52	1
241.5084	1	10	n/a	n/a	1	52	2
242.675	1	10	n/a	n/a	1	52	3
243.9082	1	10	n/a	n/a	1	52	4
245.0916	1	10	n/a	n/a	1	52	5
246.2582	1	10	n/a	n/a	1	52	6
247.2914	1	10	n/a	n/a	1	52	7
248.3246	1	21	n/a	n/a	1	52	0
249.2674	1	82	n/a	n/a	1	0	0
249.4444	1	82	n/a	n/a	1	0	0
249.7534	1	82	n/a	n/a	1	0	0
250.1364	1	82	n/a	n/a	1	0	0
250.2324	1	82	n/a	n/a	1	0	0
250.2682	1	82	n/a	n/a	1	0	0
250.3672	1	82	n/a	n/a	1	0	0
250.6172	1	82	n/a	n/a	1	0	0
250.8972	1	82	n/a	n/a	1	0	0
251.0492	1	82	n/a	n/a	1	0	0
252.3912	1	10	n/a	n/a	1	52	1
253.4744	1	10	n/a	n/a	1	52	2
254.6244	1	10	n/a	n/a	1	52	3
255.8908	1	10	n/a	n/a	1	52	4
256.9742	1	10	n/a	n/a	1	52	5
258.0574	1	21	n/a	n/a	1	52	0
259.1074	1	10	n/a	n/a	1	52	1
260.1574	1	21	n/a	n/a	1	52	0
261.274	1	10	n/a	n/a	1	52	1
263.8238	1	10	n/a	n/a	1	52	3
265.1236	1	10	n/a	n/a	1	52	4
266.3902	1	10	n/a	n/a	1	52	5
267.5568	1	10	n/a	n/a	1	52	6
268.7234	1	10	n/a	n/a	1	52	7
269.89	1	21	n/a	n/a	1	52	0
271.0734	1	10	n/a	n/a	1	52	1
272.1066	1	10	n/a	n/a	1	52	2
273.1898	1	10	n/a	n/a	1	52	3
274.2732	1	21	n/a	n/a	1	52	0
341.6942	1	82	n/a	n/a	1	0	0
341.9402	1	82	n/a	n/a	1	0	0
342.0482	1	82	n/a	n/a	1	0	0
342.1932	1	82	n/a	n/a	1	0	0
342.2412	1	82	n/a	n/a	1	0	0
342.6942	1	82	n/a	n/a	1	0	0
343.0012	1	82	n/a	n/a	1	0	0
343.0342	1	82	n/a	n/a	1	0	0
343.1202	1	82	n/a	n/a	1	0	0
343.5262	1	82	n/a	n/a	1	0	0
344.8022	1	10	n/a	n/a	1	50	1
345.9356	1	10	n/a	n/a	1	50	2
347.1022	1	10	n/a	n/a	1	50	3
348.252	1	10	n/a	n/a	1	50	4
349.3686	1	10	n/a	n/a	1	50	5
350.4852	1	21	n/a	n/a	1	50	0
351.5352	1	10	n/a	n/a	1	50	1
352.6518	1	10	n/a	n/a	1	50	2
353.8184	1	10	n/a	n/a	1	50	3
354.985	1	21	n/a	n/a	1	50	0
356.1182	1	10	n/a	n/a	1	50	1
357.3016	1	10	n/a	n/a	1	50	2
358.3514	1	10	n/a	n/a	1	50	3
359.4014	1	10	n/a	n/a	1	50	4
360.468	1	10	n/a	n/a	1	50	5
361.5346	1	21	n/a	n/a	1	50	0
362.6178	1	10	n/a	n/a	1	50	1
363.9344	1	10	n/a	n/a	1	50	2
365.2178	1	10	n/a	n/a	1	50	3
366.3176	1	10	n/a	n/a	1	50	4
367.0892	1	82	n/a	n/a	1	0	0
367.2092	1	82	n/a	n/a	1	0	0
367.3672	1	82	n/a	n/a	1	0	0
367.6962	1	82	n/a	n/a	1	0	0
367.9852	1	82	n/a	n/a	1	0	0
368.0892	1	82	n/a	n/a	1	0	0
368.1622	1	82	n/a	n/a	1	0	0
368.2982	1	82	n/a	n/a	1	0	0
368.5332	1	82	n/a	n/a	1	0	0
368.8062	1	82	n/a	n/a	1	0	0
370.2342	1	10	n/a	n/a	1	50	1
371.434	1	10	n/a	n/a	1	50	2
372.6672	1	10	n/a	n/a	1	50	3
373.8172	1	10	n/a	n/a	1	50	4
375.1338	1	10	n/a	n/a	1	50	5
376.317	1	10	n/a	n/a	1	50	6
377.6336	1	10	n/a	n/a	1	50	7
378.9502	1	21	n/a	n/a	1	50	0
379.9836	1	10	n/a	n/a	1	50	1
381.0168	1	21	n/a	n/a	1	50	0
382.2668	1	10	n/a	n/a	1	50	1
383.55	1	10	n/a	n/a	1	50	2
384.8666	1	10	n/a	n/a	1	50	3
386.0498	1	10	n/a	n/a	1	50	4
387.233	1	10	n/a	n/a	1	50	5
388.2996	1	10	n/a	n/a	1	50	6
389.3496	1	10	n/a	n/a	1	50	7
390.3996	1	21	n/a	n/a	1	50	0
391.6994	1	10	n/a	n/a	1	50	1
392.9994	1	21	n/a	n/a	1	50	0
393.867	1	82	n/a	n/a	1	0	0
394.125	1	82	n/a	n/a	1	0	0
394.217	1	82	n/a	n/a	1	0	0
394.656	1	82	n/a	n/a	1	0	0
394.826	1	82	n/a	n/a	1	0	0
394.867	1	82	n/a	n/a	1	0	0
395.305	1	82	n/a	n/a	1	0	0
395.327	1	82	n/a	n/a	1	0	0
395.49	1	82	n/a	n/a	1	0	0
395.609	1	82	n/a	n/a	1	0	0
396.9992	1	10	n/a	n/a	1	50	1
398.3158	1	10	n/a	n/a	1	50	2
399.4658	1	10	n/a	n/a	1	50	3
400.649	1	10	n/a	n/a	1	50	4
401.949	1	10	n/a	n/a	1	50	5
403.0322	1	10	n/a	n/a	1	50	6
404.3154	1	10	n/a	n/a	1	50	7
405.5986	1	21	n/a	n/a	1	50	0
406.7152	1	10	n/a	n/a	1	50	1
407.9152	1	10	n/a	n/a	1	50	2
408.9818	1	10	n/a	n/a	1	50	3
410.0818	1	10	n/a	n/a	1	50	4
411.265	1	10	n/a	n/a	1	50	5
412.4482	1	21	n/a	n/a	1	50	0
413.7648	1	10	n/a	n/a	1	50	1
415.0814	1	21	n/a	n/a	1	50	0
416.2648	1	10	n/a	n/a	1	50	1
417.548	1	10	n/a	n/a	1	50	2
418.7978	1	10	n/a	n/a	1	50	3
420.0478	1	21	n/a	n/a	1	50	0
420.8954	1	82	n/a	n/a	1	0	0
421.1504	1	82	n/a	n/a	1	0	0
421.1754	1	82	n/a	n/a	1	0	0
421.2254	1	82	n/a	n/a	1	0	0
421.5344	1	82	n/a	n/a	1	0	0
421.8954	1	82	n/a	n/a	1	0	0
421.9754	1	82	n/a	n/a	1	0	0
422.1974	1	82	n/a	n/a	1	0	0
422.6334	1	82	n/a	n/a	1	0	0
422.7924	1	82	n/a	n/a	1	0	0
423.981	1	10	n/a	n/a	1	50	1
