onset	duration	value	response	rt	good	Acu	estim	trial
0.0036	1	11	2	733.4	1	1	0 2 0	1
1.3521	1	11	1	585.2	1	1	1 0 0	2
3.4166	1	11	1	591.3	1	1	1 0 0	3
5.1315	1	12	2	908.8	1	1	3 3 2	1
7.7787	1	12	3	1010.1	1	1	3 2 2	2
9.9431	1	12	1	746	1	1	2 2 1	3
12.1407	1	12	2	750	1	1	3 3 2	4
14.6381	1	12	2	1014.8	1	1	1 1 2	5
17.3852	1	12	3	819	1	1	3 2 2	6
20.382	1	12	1	783.8	1	1	2 2 1	7
22.6963	1	11	2	742.2	1	1	0 2 0	1
24.6109	1	11	3	670.7	1	1	0 0 3	2
26.6088	1	11	3	730.4	1	1	0 0 3	3
29.5723	1	11	3	515.3	1	1	0 0 3	4
31.9531	1	12	3	808.9	1	1	3 2 2	1
33.3017	1	12	1	722.5	1	1	3 3 1	2
35.566	1	11	3	645.9	1	1	0 0 3	1
37.2142	1	11	3	534.8	1	1	0 0 3	2
39.0789	1	11	1	591.2	1	1	1 0 0	3
41.6096	1	11	3	489.5	1	1	0 0 3	4
43.8073	1	11	3	401.4	1	1	0 0 3	5
45.2391	1	12	2	886	1	1	2 1 1	1
48.2692	1	12	3	1038.9	1	1	3 1 1	2
49.8842	1	12	2	864.9	1	1	3 3 2	3
51.7988	1	12	2	894.3	1	1	3 3 2	4
53.9632	1	12	2	740.1	1	1	2 3 3	5
56.1276	1	12	1	717.6	1	1	3 3 1	6
58.8081	1	12	1	1083.6	1	1	3 3 1	7
61.8382	1	12	2	799.9	1	1	1 1 2	8
63.9693	1	12	2	976.5	1	1	2 3 3	1
65.3845	1	12	3	892	1	1	3 2 2	2
67.9651	1	12	1	670.4	1	1	3 3 1	3
70.7288	1	12	1	739.2	1	1	3 3 1	4
72.427	1	12	2	850	1	1	3 3 2	5
74.5081	1	12	3	847.5	1	1	3 1 1	6
76.5227	1	11	2	655	1	1	0 2 0	1
78.6704	1	11	2	496.9	1	1	0 2 0	2
80.7848	1	11	3	533.1	1	1	0 0 3	3
82.7161	1	11	1	450.9	1	1	1 0 0	4
85.5465	1	11	3	547.1	1	1	0 0 3	5
87.6942	1	11	1	435.7	1	1	1 0 0	6
89.6754	1	11	2	478.1	1	1	0 2 0	7
92.5724	1	11	1	494.5	1	1	1 0 0	8
94.7534	1	12	3	908	1	1	3 1 1	1
96.4683	1	12	1	695.7	1	1	3 3 1	2
98.0832	1	12	2	573.6	1	1	3 3 2	3
100.6472	1	12	2	664.7	1	1	2 3 3	4
102.8116	1	11	2	481.1	1	1	0 2 0	1
104.4432	1	11	2	360	1	1	0 2 0	2
107.0737	1	12	3	803.3	1	1	3 1 1	1
