onset	duration	value	response	rt	good	Acu	estim	trial
0.0147	1	11	3	408.9	1	1	0 0 3	1
3.6731	1	11	2	434.3	1	1	0 2 0	2
6.5166	1	11	1	396.8	1	1	1 0 0	3
9.4101	1	12	2	528.3	1	0	3 1 3	1
12.4532	1	12	1	485	1	0	2 1 1	2
16.1116	1	12	3	642.8	1	0	3 3 2	3
19.5039	1	12	2	554.6	1	1	2 1 1	4
22.0814	1	12	2	639.3	1	1	3 3 2	5
23.9772	1	12	2	539.7	1	1	3 3 2	6
26.5879	1	12	2	437	1	1	3 3 2	7
29.9137	1	12	1	526.4	1	1	2 1 2	8
33.2894	1	11	1	398.8	1	1	1 0 0	1
36.3658	1	11	1	427	1	1	1 0 0	2
38.7604	1	11	2	412.5	1	1	0 2 0	3
40.706	1	11	2	464.1	1	1	0 2 0	4
44.381	1	11	2	350.5	1	1	0 2 0	5
47.1248	1	11	3	380.2	1	1	0 0 3	6
50.6668	1	12	1	655.8	1	0	3 3 2	1
54.1256	1	12	2	610.2	1	1	3 3 2	2
56.7364	1	12	2	455.3	1	1	3 3 2	3
59.3472	1	12	1	451.7	1	1	3 3 1	4
62.2406	1	11	2	433.8	1	1	0 2 0	1
64.3359	1	11	2	433.1	1	1	0 2 0	2
67.9776	1	11	2	344.5	1	1	0 2 0	3
69.9399	1	11	2	395.6	1	1	0 2 0	4
72.1016	1	11	1	439.6	1	1	1 0 0	5
75.8764	1	11	1	423.6	1	1	1 0 0	6
78.4041	1	11	2	372.9	1	1	0 2 0	7
80.8153	1	12	3	558	1	1	1 3 1	1
84.0413	1	12	2	587.7	1	1	2 1 1	2
87.2008	1	12	1	526.9	1	1	2 1 2	3
90.6763	1	12	2	620	1	1	3 3 2	4
94.0021	1	12	1	663.1	1	0	3 2 2	5
96.6295	1	11	3	451.8	1	1	0 0 3	1
100.0717	1	11	2	458.7	1	1	0 2 0	2
102.4829	1	11	2	435.2	1	1	0 2 0	3
105.9085	1	11	3	584.2	1	1	0 0 3	4
108.2199	1	12	1	638.6	1	1	3 3 1	1
111.2464	1	12	1	470.6	1	1	3 3 1	2
114.8383	1	12	3	690.2	1	0	2 3 3	3
118.4801	1	12	1	496.7	1	1	2 2 1	4
121.2239	1	12	3	809.5	1	1	3 1 1	5
124.3834	1	12	2	801.9	1	0	2 3 2	6
128.1416	1	11	3	473.9	1	1	0 0 3	1
130.5361	1	11	2	506.3	1	1	0 2 0	2
133.9784	1	11	2	439.1	1	1	0 2 0	3
136.639	1	12	1	602	1	1	2 2 1	1
139.599	1	12	1	530.5	1	1	3 1 3	2
142.5423	1	12	1	506.6	1	1	3 1 3	3
145.4191	1	12	3	598.4	1	1	3 1 1	4
148.6286	1	12	1	512.9	1	1	2 2 1	5
150.7903	1	11	2	572.8	1	1	0 2 0	1
153.135	1	11	2	477.9	1	1	0 2 0	2
156.3278	1	11	2	398.7	1	1	0 2 0	3
158.3067	1	11	2	407.4	1	1	0 2 0	4
160.1831	1	11	2	355.2	1	1	0 2 0	5
162.2976	1	11	2	379.1	1	1	0 2 0	6
