onset	duration	value	response	rt	good	TMS	delta	fixed	seq
60.5124	1	81	n/a	n/a	1	0	0	0	0
60.7124	1	81	n/a	n/a	1	0	0	0	0
60.9124	1	81	n/a	n/a	1	0	0	0	0
61.1124	1	81	n/a	n/a	1	0	0	0	0
61.3124	1	81	n/a	n/a	1	0	0	0	0
61.5126	1	81	n/a	n/a	1	0	0.1	0	0
61.7126	1	81	n/a	n/a	1	0	0	0	0
61.9126	1	81	n/a	n/a	1	0	0	0	0
62.1126	1	81	n/a	n/a	1	0	0	0	0
62.3126	1	81	n/a	n/a	1	0	0	0	0
63.6546	1	10	351.2	351.2	1	51	0	0	1
64.6878	1	10	261.8	261.8	1	51	-0.1	0	2
66.0044	1	10	273.2	273.2	1	51	0	0	3
67.1878	1	10	258	258	1	51	0.2	0	4
68.4876	1	10	253.9	253.9	1	51	-0.2	0	5
69.5376	1	10	244	244	1	51	0.1	0	6
70.6708	1	10	198.7	198.7	1	51	-0.1	0	7
71.804	1	21	233.5	233.5	1	51	0	0	0
73.1374	1	10	277.9	277.9	1	51	17.9	0	1
74.204	1	10	345.5	345.5	1	51	-17.8	0	2
75.2706	1	10	254.9	254.9	1	51	0	0	3
76.3372	1	21	228.2	228.2	1	51	-1.4552e-11	0	0
77.4538	1	10	279.6	279.6	1	51	0	0	1
78.5704	1	21	251	251	1	51	0	0	0
79.737	1	10	236.4	236.4	1	51	0	0	1
80.8036	1	10	241.7	241.7	1	51	1.4552e-11	0	2
82.1368	1	10	316.5	316.5	1	51	0	0	3
83.2368	1	10	368.5	368.5	1	51	0	0	4
84.3034	1	10	277.8	277.8	1	51	-1.4552e-11	0	5
85.5532	1	10	307.9	307.9	1	51	-0.1	0	6
86.3428	1	81	n/a	n/a	1	0	0.1	0	0
86.5428	1	81	n/a	n/a	1	0	0	0	0
86.7428	1	81	n/a	n/a	1	0	0	0	0
86.9428	1	81	n/a	n/a	1	0	0	0	0
87.1428	1	81	n/a	n/a	1	0	0	0	0
87.3428	1	81	n/a	n/a	1	0	0	0	0
87.5428	1	81	n/a	n/a	1	0	0	0	0
87.7428	1	81	n/a	n/a	1	0	0	0	0
87.9428	1	81	n/a	n/a	1	0	0	0	0
88.1428	1	81	n/a	n/a	1	0	0	0	0
89.3864	1	10	394.7	394.7	1	51	-1.4552e-11	0	1
90.6864	1	10	310.8	310.8	1	51	0.1	0	2
91.7196	1	10	285.5	285.5	1	51	-0.1	0	3
92.8196	1	10	321.5	321.5	1	51	0.1	0	4
93.9694	1	10	243.6	243.6	1	51	-0.1	0	5
95.086	1	10	311	311	1	51	0	0	6
96.1526	1	10	284.4	284.4	1	51	1.4552e-11	0	7
97.2192	1	21	225.7	225.7	1	51	-1.4552e-11	0	0
98.5358	1	10	237.1	237.1	1	51	0	0	1
99.8524	1	21	-99	-99	1	51	0	0	0
101.1524	1	10	324.5	324.5	1	51	0.1	0	1
102.419	1	10	369.9	369.9	1	51	1.4552e-11	0	2
103.5022	1	10	310.6	310.6	1	51	-0.1	0	3
104.8022	1	10	290.7	290.7	1	51	0.1	0	4
105.8854	1	10	247.3	247.3	1	51	-0.1	0	5
106.9686	1	21	-99	-99	1	51	1.4552e-11	0	0
108.2352	1	10	313.5	313.5	1	51	-1.4552e-11	0	1
109.5352	1	10	245.4	245.4	1	51	0	0	2
110.8352	1	10	241.5	241.5	1	51	0.1	0	3
112.0516	1	10	288.9	288.9	1	51	-0.2	0	4
112.9782	1	81	n/a	n/a	1	0	0.2	0	0
113.1782	1	81	n/a	n/a	1	0	0	0	0
113.3782	1	81	n/a	n/a	1	0	0	0	0
113.5782	1	81	n/a	n/a	1	0	0	0	0
113.7782	1	81	n/a	n/a	1	0	0	0	0
113.9782	1	81	n/a	n/a	1	0	-0.1	0	0
114.1782	1	81	n/a	n/a	1	0	0	0	0
114.3782	1	81	n/a	n/a	1	0	0	0	0
114.5782	1	81	n/a	n/a	1	0	0	0	0
114.7782	1	81	n/a	n/a	1	0	0	0	0
116.0514	1	10	353.1	353.1	1	51	0	0	1
117.0848	1	10	295.8	295.8	1	51	0.1	0	2
118.4014	1	10	211.1	211.1	1	51	-1.4552e-11	0	3
119.7346	1	10	301.9	301.9	1	51	1.4552e-11	0	4
121.0344	1	10	265.9	265.9	1	51	-0.2	0	5
122.3344	1	21	101	101	1	51	0.1	0	0
123.401	1	10	283.3	283.3	1	51	0	0	1
124.551	1	10	-99	-99	1	51	0.1	0	2
125.7008	1	10	239.5	239.5	1	51	-0.1	0	3
126.8508	1	21	-99	-99	1	51	0	0	0
128.1008	1	10	207.5	207.5	1	51	0.1	0	1
129.1506	1	10	533.6	533.6	1	51	-0.1	0	2
130.2506	1	10	313.5	313.5	1	51	0	0	3
131.4506	1	10	361.6	361.6	1	51	0.1	0	4
132.6672	1	10	329	329	1	51	0	0	5
133.817	1	10	315.1	315.1	1	51	-0.1	0	6
134.9836	1	10	220.4	220.4	1	51	0	0	7
136.1502	1	21	-99	-99	1	51	0	0	0
137.3502	1	10	333.8	333.8	1	51	0.1	0	1
138.5168	1	10	527.2	527.2	1	51	-2.9104e-11	0	2
139.3972	1	81	n/a	n/a	1	0	-0.1	0	0
139.5972	1	81	n/a	n/a	1	0	0	0	0
139.7972	1	81	n/a	n/a	1	0	0	0	0
139.9972	1	81	n/a	n/a	1	0	0	0	0
140.1972	1	81	n/a	n/a	1	0	0	0	0
140.3972	1	81	n/a	n/a	1	0	0	0	0
140.5972	1	81	n/a	n/a	1	0	0	0	0
140.7972	1	81	n/a	n/a	1	0	0	0	0
140.9972	1	81	n/a	n/a	1	0	0	0	0
141.1972	1	81	n/a	n/a	1	0	0	0	0
142.4666	1	10	369.3	369.3	1	51	0.1	0	1
143.6498	1	21	-99	-99	1	51	-2.9104e-11	0	0
144.983	1	10	252.8	252.8	1	51	-0.1	0	1
146.083	1	10	384.9	384.9	1	51	0.1	0	2
147.4162	1	10	267.5	267.5	1	51	-0.1	0	3
148.6328	1	10	378.9	378.9	1	51	-2.9104e-11	0	4
149.7662	1	10	333.7	333.7	1	51	0.2	0	5
151.0494	1	10	314.3	314.3	1	51	-0.1	0	6
152.1494	1	10	350.4	350.4	1	51	0.1	0	7
153.2492	1	21	-99	-99	1	51	-0.2	0	0
154.3992	1	10	212.5	212.5	1	51	0.1	0	1
155.5658	1	21	-99	-99	1	51	-2.9104e-11	0	0
156.7656	1	10	245.9	245.9	1	51	-0.1	0	1
157.8824	1	10	425.3	425.3	1	51	0.2	0	2
159.0156	1	10	379.9	379.9	1	51	-0.1	0	3
160.1822	1	10	269.3	269.3	1	51	0	0	4
161.4988	1	10	296.7	296.7	1	51	-2.9104e-11	0	5
162.6986	1	10	312.8	312.8	1	51	-0.1	0	6
163.7652	1	10	494.1	494.1	1	51	0	0	7
164.8318	1	21	-99	-99	1	51	-2.9104e-11	0	0
165.6806	1	81	n/a	n/a	1	0	0.1	0	0
165.8806	1	81	n/a	n/a	1	0	0	0	0
166.0806	1	81	n/a	n/a	1	0	0	0	0
166.2806	1	81	n/a	n/a	1	0	0	0	0
166.4806	1	81	n/a	n/a	1	0	0	0	0
166.6806	1	81	n/a	n/a	1	0	0	0	0
166.8806	1	81	n/a	n/a	1	0	0	0	0
167.0806	1	81	n/a	n/a	1	0	0	0	0
167.2806	1	81	n/a	n/a	1	0	0	0	0
167.4806	1	81	n/a	n/a	1	0	0	0	0
168.7984	1	10	277	277	1	51	0.1	0	1
170.0316	1	21	-99	-99	1	51	-0.1	0	0
171.1316	1	10	263.7	263.7	1	51	0.1	0	1
172.2314	1	21	-99	-99	1	51	-0.1	0	0
173.3314	1	10	255.8	255.8	1	51	0	0	1
174.4314	1	21	1251.8	1251.8	1	51	0.1	0	0
175.748	1	10	-99	-99	1	51	0	0	1
176.8978	1	10	465.3	465.3	1	51	-0.1	0	2
177.9478	1	10	343.3	343.3	1	51	0	0	3
179.1976	1	10	309.3	309.3	1	51	-0.1	0	4
180.4142	1	10	340.7	340.7	1	51	0	0	5
