onset	duration	value	response	rt	good	Acu	estim	trial
0.0197	1	11	1	497	1	1	1 0 0	1
3.2458	1	11	2	430.7	1	1	0 2 0	2
7.0705	1	11	3	332.5	1	1	0 0 3	3
9.5482	1	11	1	376.8	1	1	1 0 0	4
12.1423	1	11	2	352.9	1	1	0 2 0	5
14.7364	1	11	3	339	1	1	0 0 3	6
17.3638	1	11	2	427.9	1	1	0 2 0	7
20.8061	1	12	3	668.3	1	0	2 2 1	1
24.5642	1	12	3	732.6	1	1	3 2 2	2
27.1251	1	12	3	699.5	1	1	1 3 1	3
29.9687	1	12	2	926.9	1	0	3 2 2	4
32.596	1	12	1	764.6	1	1	2 1 2	5
35.9884	1	11	3	503	1	1	0 0 3	1
39.2976	1	11	3	494.7	1	1	0 0 3	2
41.5425	1	11	3	390.3	1	1	0 0 3	3
44.4858	1	11	3	390.6	1	1	0 0 3	4
47.0966	1	11	1	468.3	1	1	1 0 0	5
49.7572	1	11	1	486.9	1	1	1 0 0	6
52.9999	1	11	3	307	1	1	0 0 3	7
56.0929	1	11	1	484	1	1	1 0 0	8
59.3688	1	12	1	790.3	1	1	2 1 2	1
63.2101	1	12	1	701.5	1	0	3 3 2	2
66.2533	1	12	1	726.2	1	1	3 1 3	3
68.8973	1	11	3	501	1	1	0 0 3	1
72.406	1	11	1	416.7	1	1	1 0 0	2
74.3516	1	11	1	512.4	1	1	1 0 0	3
77.7606	1	11	2	528.8	1	1	0 2 0	4
79.6895	1	11	2	480.3	1	1	0 2 0	5
81.9511	1	11	3	463.1	1	1	0 0 3	6
83.8967	1	12	3	725.2	1	1	3 1 1	1
87.3888	1	12	2	733.2	1	1	2 3 3	2
89.4175	1	12	1	906	1	1	3 1 3	3
91.4296	1	12	3	731.4	1	1	1 3 1	4
93.3752	1	11	1	445.9	1	1	1 0 0	1
95.4539	1	11	3	410.5	1	1	0 0 3	2
97.599	1	12	2	835.5	1	1	2 3 3	1
100.1765	1	12	1	977.2	1	1	3 3 1	2
102.9203	1	12	3	1041	1	1	3 2 2	3
106.1464	1	12	3	682.6	1	1	3 2 2	4
109.7881	1	11	1	513.8	1	1	1 0 0	1
113.6128	1	11	2	475	1	1	0 2 0	2
116.3233	1	11	1	524.7	1	1	1 0 0	3
119.3332	1	11	2	514.5	1	1	0 2 0	4
121.9938	1	11	3	370	1	1	0 0 3	5
124.2221	1	12	3	707.5	1	1	2 3 2	1
127.5978	1	12	1	717.4	1	1	3 1 3	2
131.0899	1	12	1	638.1	1	1	3 1 3	3
133.8005	1	11	3	467.7	1	1	0 0 3	1
136.2449	1	11	2	405.3	1	1	0 2 0	2
138.3236	1	12	2	981.7	1	1	1 1 2	1
141.0175	1	12	3	781.9	1	0	3 3 2	2
144.5262	1	12	3	879.6	1	1	2 3 2	3
146.6048	1	12	1	684.1	1	1	3 1 3	4
149.199	1	12	1	674.2	1	1	3 3 1	5
152.0259	1	12	1	723.6	1	1	2 2 1	6
155.4681	1	12	3	758.8	1	1	2 3 2	7
158.4946	1	12	1	624	1	1	2 1 2	8
161.8371	1	11	1	1020.8	1	1	1 0 0	1
164.6973	1	11	1	600.5	1	1	1 0 0	2
167.9233	1	11	1	579.6	1	1	1 0 0	3
170.5341	1	11	2	867.1	1	1	0 2 0	4
172.8954	1	11	3	697.4	1	1	0 0 3	5
176.6037	1	11	2	607.5	1	1	0 2 0	6
179.6302	1	12	3	558.7	1	1	1 3 1	1
182.0081	1	12	3	527.7	1	1	3 1 1	2
185.5667	1	12	3	464.3	1	1	3 1 1	3
189.3415	1	12	1	695.3	1	1	3 3 1	4
192.4179	1	12	3	483.6	1	1	1 3 1	5
194.9621	1	12	2	1106.1	1	0	2 1 2	6
198.7369	1	12	1	644.2	1	1	2 1 2	7
201.8299	1	11	1	419.9	1	1	1 0 0	1
205.1557	1	11	2	560.5	1	1	0 2 0	2
208.1989	1	11	3	365.4	1	1	0 0 3	3
210.3606	1	11	3	427.4	1	1	0 0 3	4
213.6865	1	11	1	351.4	1	1	1 0 0	5
215.8815	1	11	1	319.1	1	1	1 0 0	6
217.7772	1	12	3	613.2	1	0	2 3 3	1
221.1529	1	12	2	655.6	1	1	1 1 2	2
224.512	1	12	1	678.4	1	1	3 1 3	3
228.054	1	11	2	470.5	1	1	0 2 0	1
230.5816	1	11	1	420.9	1	1	1 0 0	2
233.0427	1	11	2	437	1	1	0 2 0	3
235.3375	1	11	3	354	1	1	0 0 3	4
238.2642	1	11	2	454.8	1	1	0 2 0	5
240.6588	1	11	2	399	1	1	0 2 0	6
242.9536	1	11	1	398	1	1	1 0 0	7
246.3127	1	12	3	630.4	1	1	2 3 2	1
250.0209	1	12	2	681.7	1	1	2 3 3	2
251.9665	1	12	3	724.3	1	1	3 2 2	3
255.7912	1	12	1	633.5	1	0	2 1 1	4
259.5161	1	11	2	599	1	1	0 2 0	1
261.495	1	11	2	560.5	1	1	0 2 0	2
264.4051	1	11	1	445.5	1	1	1 0 0	3
267.3152	1	11	1	401	1	1	1 0 0	4
270.4747	1	11	1	431.5	1	1	1 0 0	5
273.1852	1	12	1	713.6	1	1	2 2 1	1
276.3614	1	12	1	786.2	1	0	2 3 3	2
278.4732	1	11	1	456.5	1	1	1 0 0	1
280.6184	1	11	2	452	1	1	0 2 0	2
283.5285	1	11	2	370.3	1	1	0 2 0	3
286.372	1	11	2	414.6	1	1	0 2 0	4
288.7833	1	11	2	334.8	1	1	0 2 0	5
292.0426	1	11	1	454.6	1	1	1 0 0	6
295.5014	1	11	1	396	1	1	1 0 0	7
299.1265	1	11	1	370.4	1	1	1 0 0	8
301.1387	1	12	2	895.3	1	1	2 1 1	1
303.9656	1	12	3	651.6	1	1	2 3 2	2
306.9921	1	12	1	721.6	1	0	3 3 2	3
309.2536	1	12	1	717.2	1	1	3 3 1	4
311.2159	1	12	2	738.9	1	0	2 3 2	5
314.0428	1	12	2	766.5	1	1	2 3 3	6
316.1381	1	12	3	791.1	1	1	1 3 1	7
320.0126	1	11	3	957.3	1	1	0 0 3	1
323.405	1	11	3	499.6	1	1	0 0 3	2
326.8139	1	11	2	475.7	1	1	0 2 0	3
330.5388	1	11	1	365.1	1	1	1 0 0	4
333.1828	1	11	1	431.5	1	1	1 0 0	5
336.6084	1	12	3	1135	1	0	3 3 2	1
338.6372	1	12	2	1365.9	1	1	2 3 3	2
341.0151	1	12	2	673	1	1	1 1 2	3
343.9751	1	12	1	606.6	1	1	2 1 2	4
346.1202	1	12	2	767.2	1	1	2 3 3	5
349.6622	1	12	2	618.4	1	1	2 3 3	6
353.4703	1	11	3	428.5	1	1	0 0 3	1
356.7795	1	11	3	491.5	1	1	0 0 3	2
360.1552	1	11	3	373.8	1	1	0 0 3	3
363.8468	1	12	1	686	1	1	2 1 2	1
367.5883	1	12	3	544.9	1	1	3 2 2	2
370.698	1	11	3	465.3	1	1	0 0 3	1
373.2589	1	11	3	421.3	1	1	0 0 3	2
376.0359	1	11	2	349.4	1	1	0 2 0	3
378.2476	1	11	1	438.4	1	1	1 0 0	4
381.6898	1	12	1	639.6	1	0	2 3 3	1
384.1176	1	12	2	755.9	1	1	1 1 2	2
387.5432	1	12	3	655.4	1	1	2 3 2	3
391.052	1	12	2	818.8	1	1	2 1 1	4
393.3468	1	12	3	522.5	1	1	3 2 2	5
396.0906	1	12	3	575.4	1	1	2 3 2	6
399.6991	1	12	1	777.3	1	1	3 1 3	7
403.4905	1	12	3	915.8	1	0	3 3 1	8
405.8186	1	11	1	492	1	1	1 0 0	1
408.5623	1	11	1	515.7	1	1	1 0 0	2
410.4414	1	11	2	535.8	1	1	0 2 0	3
412.4535	1	11	3	440.2	1	1	0 0 3	4
415.3137	1	11	2	428.3	1	1	0 2 0	5
417.991	1	11	3	411.4	1	1	0 0 3	6
420.369	1	11	3	399.2	1	1	0 0 3	7
422.9299	1	12	3	837.9	1	1	3 1 1	1
425.7402	1	12	3	623.6	1	1	2 3 2	2
428.5837	1	12	1	628.8	1	1	2 2 1	3
430.9949	1	12	2	672.4	1	1	1 1 2	4
434.3706	1	12	2	549.8	1	1	3 3 2	5
437.8129	1	11	1	569.7	1	1	1 0 0	1
440.2407	1	11	1	410.7	1	1	1 0 0	2
443.0676	1	11	3	444.6	1	1	0 0 3	3
445.7615	1	11	3	463.7	1	1	0 0 3	4
449.4366	1	11	3	386.9	1	1	0 0 3	5
453.095	1	11	2	422.9	1	1	0 2 0	6
455.2567	1	11	1	362.7	1	0	0 2 0	7
457.4684	1	11	1	480.9	1	1	1 0 0	8
460.129	1	12	1	802	1	1	3 3 1	1
462.1744	1	12	2	578.7	1	0	2 1 2	2
464.7353	1	12	-99	-99	1	0	2 1 2	3
466.7807	1	12	3	777.4	1	1	3 2 2	4
470.0067	1	11	2	487.8	1	1	0 2 0	1
473.3325	1	11	2	415	1	1	0 2 0	2
477.0907	1	11	2	393.3	1	1	0 2 0	3
480.4331	1	12	3	556.2	1	1	1 3 1	1
482.4452	1	12	3	593.7	1	1	3 1 1	2
484.6902	1	12	1	593.2	1	0	2 3 3	3
488.5148	1	12	2	625.5	1	1	3 3 2	4
491.8074	1	12	1	639.8	1	1	3 1 3	5
495.3993	1	12	1	676.3	1	1	2 2 1	6
498.0267	1	11	3	473	1	1	0 0 3	1
501.2361	1	11	2	382.4	1	1	0 2 0	2
505.0441	1	12	2	627.2	1	1	2 3 3	1
508.4198	1	12	3	612.4	1	1	2 3 2	2
510.6647	1	12	3	693.6	1	1	3 2 2	3
512.6103	1	12	2	568.2	1	1	1 1 2	4
514.7555	1	12	3	588.4	1	1	2 3 2	5
517.6822	1	12	2	847.7	1	1	2 3 3	6
520.7918	1	12	1	572.4	1	1	2 2 1	7
523.1864	1	11	2	382.7	1	1	0 2 0	1
526.745	1	11	3	403.4	1	1	0 0 3	2
529.4722	1	11	2	350.4	1	1	0 2 0	3
531.4012	1	12	3	739.3	1	0	3 3 1	1
535.1095	1	12	2	1029.7	1	1	1 1 2	2
538.851	1	11	3	450.1	1	1	0 0 3	1
540.8465	1	11	2	532.1	1	1	0 2 0	2
544.006	1	11	1	407.3	1	1	1 0 0	3
547.5314	1	11	2	378.1	1	1	0 2 0	4
549.743	1	11	2	318.2	1	1	0 2 0	5
552.2374	1	11	3	394	1	1	0 0 3	6
555.5466	1	11	1	420.7	1	1	1 0 0	7
559.2715	1	11	1	407.4	1	1	1 0 0	8
562.7137	1	12	3	917.2	1	0	3 3 2	1
566.3388	1	12	2	768.1	1	0	1 3 1	2
570.0471	1	12	3	760.3	1	1	3 2 2	3
571.9594	1	12	2	641.2	1	1	2 1 1	4
575.0691	1	12	3	624.2	1	1	3 2 2	5
578.5113	1	11	1	479.2	1	1	1 0 0	1
582.0699	1	11	2	434.6	1	1	0 2 0	2
585.113	1	11	1	488.5	1	1	1 0 0	3
588.6384	1	11	2	450.2	1	1	0 2 0	4
590.8334	1	11	1	437.7	1	1	1 0 0	5
594.392	1	11	1	495.6	1	1	1 0 0	6
598.0671	1	12	1	1075.5	1	1	3 3 1	1
600.2787	1	12	2	587.5	1	1	2 1 1	2
603.671	1	12	3	567.9	1	1	3 2 2	3
605.8993	1	12	2	749.7	1	1	2 3 3	4
609.3914	1	11	3	497.4	1	1	0 0 3	1
613.1164	1	11	3	490.1	1	1	0 0 3	2
616.226	1	11	1	381.9	1	1	1 0 0	3
618.9864	1	11	3	364	1	1	0 0 3	4
621.9963	1	11	2	366.7	1	1	0 2 0	5
624.923	1	12	3	587	1	1	3 2 2	1
628.7144	1	12	2	607.9	1	1	1 1 2	2
632.1899	1	12	1	974.5	1	1	2 1 2	3
635.1332	1	12	2	762.2	1	0	3 1 3	4
638.3759	1	12	3	521.3	1	1	1 3 1	5
640.7372	1	12	3	763.1	1	1	2 3 2	6
642.7327	1	12	1	1012.3	1	1	2 2 1	7
645.2437	1	12	3	508.2	1	0	3 3 1	8
647.9542	1	11	1	472.3	1	1	1 0 0	1
651.2135	1	11	1	416.7	1	1	1 0 0	2
653.4584	1	12	1	615.9	1	0	2 1 1	1
657.2831	1	12	2	822.2	1	1	1 1 2	2
660.0934	1	12	1	703.7	1	1	2 1 2	3
663.2197	1	12	2	600.7	1	1	1 1 2	4
666.2794	1	12	3	530.4	1	1	1 3 1	5
669.9877	1	12	3	575.8	1	0	3 3 1	6
673.247	1	11	2	429.3	1	1	0 2 0	1
675.7746	1	11	1	353.6	1	1	1 0 0	2
678.8344	1	11	2	351.4	1	1	0 2 0	3
681.5449	1	11	2	349.5	1	1	0 2 0	4
685.0869	1	12	3	576.9	1	1	3 2 2	1
688.1799	1	12	3	539.7	1	1	2 3 2	2
691.7219	1	12	3	456.9	1	1	3 1 1	3
694.8149	1	12	1	727	1	1	3 3 1	4
698.0908	1	12	2	514.9	1	1	2 1 1	5
700.8346	1	12	2	689.3	1	1	1 1 2	6
703.0463	1	12	2	769.4	1	1	2 3 3	7
705.4741	1	11	3	442.5	1	1	0 0 3	1
709.2157	1	11	3	441.3	1	1	0 0 3	2
711.1446	1	11	3	444.7	1	1	0 0 3	3
714.8529	1	12	2	491	1	0	2 3 2	1
717.1976	1	12	3	582.4	1	1	3 2 2	2
719.7418	1	12	2	550.1	1	1	2 1 1	3
723.4002	1	12	1	883.4	1	1	3 3 1	4
725.6119	1	12	3	759.4	1	1	3 2 2	5
728.9876	1	12	3	711.9	1	1	2 3 2	6
731.6981	1	11	3	424.2	1	1	0 0 3	1
734.3255	1	11	1	436.1	1	1	1 0 0	2
738.1336	1	11	3	410.4	1	1	0 0 3	3
741.7255	1	11	1	403.9	1	1	1 0 0	4
743.6212	1	11	3	405.4	1	1	0 0 3	5
746.3982	1	11	3	417.8	1	1	0 0 3	6
748.8094	1	11	2	439.7	1	1	0 2 0	7
751.1042	1	12	3	470.8	1	1	3 2 2	1
753.582	1	12	2	798.4	1	1	1 1 2	2
756.9411	1	12	2	655	1	1	2 1 1	3
759.5019	1	12	3	539.4	1	1	2 3 2	4
762.7778	1	12	3	513.2	1	1	2 3 2	5
765.8708	1	12	1	747.2	1	1	3 1 3	6
767.9162	1	12	2	865.4	1	0	2 1 2	7
