onset	duration	value	response	rt	good	TMS	seq
97.576	1	82	n/a	n/a	1	0	0
97.645	1	82	n/a	n/a	1	0	0
97.96	1	82	n/a	n/a	1	0	0
98.23	1	82	n/a	n/a	1	0	0
98.462	1	82	n/a	n/a	1	0	0
98.576	1	82	n/a	n/a	1	0	0
98.829	1	82	n/a	n/a	1	0	0
98.889	1	82	n/a	n/a	1	0	0
99.028	1	82	n/a	n/a	1	0	0
99.207	1	82	n/a	n/a	1	0	0
100.5634	1	10	n/a	n/a	1	52	1
101.6466	1	10	n/a	n/a	1	52	2
102.7466	1	10	n/a	n/a	1	52	3
104.0132	1	10	n/a	n/a	1	52	4
105.0464	1	10	n/a	n/a	1	52	5
106.1464	1	10	n/a	n/a	1	52	6
107.1796	1	10	n/a	n/a	1	52	7
108.2128	1	21	n/a	n/a	1	52	0
109.4294	1	10	n/a	n/a	1	52	1
110.646	1	10	n/a	n/a	1	52	2
111.9294	1	10	n/a	n/a	1	52	3
113.1626	1	10	n/a	n/a	1	52	4
114.4124	1	10	n/a	n/a	1	52	5
115.7124	1	10	n/a	n/a	1	52	6
116.929	1	10	n/a	n/a	1	52	7
118.1456	1	21	n/a	n/a	1	52	0
119.3788	1	10	n/a	n/a	1	52	1
120.5622	1	10	n/a	n/a	1	52	2
121.862	1	10	n/a	n/a	1	52	3
123.162	1	10	n/a	n/a	1	52	4
124.2694	1	82	n/a	n/a	1	0	0
124.5504	1	82	n/a	n/a	1	0	0
124.8864	1	82	n/a	n/a	1	0	0
125.0694	1	82	n/a	n/a	1	0	0
125.1134	1	82	n/a	n/a	1	0	0
125.2694	1	82	n/a	n/a	1	0	0
125.6074	1	82	n/a	n/a	1	0	0
125.7334	1	82	n/a	n/a	1	0	0
125.9914	1	82	n/a	n/a	1	0	0
126.0874	1	82	n/a	n/a	1	0	0
127.195	1	10	n/a	n/a	1	52	1
128.3116	1	10	n/a	n/a	1	52	2
129.595	1	10	n/a	n/a	1	52	3
130.6448	1	10	n/a	n/a	1	52	4
131.9614	1	10	n/a	n/a	1	52	5
133.278	1	21	n/a	n/a	1	52	0
134.5612	1	10	n/a	n/a	1	52	1
135.8278	1	10	n/a	n/a	1	52	2
136.8944	1	10	n/a	n/a	1	52	3
137.961	1	10	n/a	n/a	1	52	4
139.1444	1	10	n/a	n/a	1	52	5
140.3276	1	21	n/a	n/a	1	52	0
141.3776	1	10	n/a	n/a	1	52	1
142.5274	1	10	n/a	n/a	1	52	2
143.6108	1	10	n/a	n/a	1	52	3
144.794	1	10	n/a	n/a	1	52	4
146.0272	1	10	n/a	n/a	1	52	5
147.2606	1	21	n/a	n/a	1	52	0
148.577	1	10	n/a	n/a	1	52	1
149.7604	1	10	n/a	n/a	1	52	2
150.6658	1	82	n/a	n/a	1	0	0
150.9528	1	82	n/a	n/a	1	0	0
151.1848	1	82	n/a	n/a	1	0	0
151.2398	1	82	n/a	n/a	1	0	0
151.2678	1	82	n/a	n/a	1	0	0
151.6658	1	82	n/a	n/a	1	0	0
151.9948	1	82	n/a	n/a	1	0	0
152.0778	1	82	n/a	n/a	1	0	0
152.2358	1	82	n/a	n/a	1	0	0
152.2928	1	82	n/a	n/a	1	0	0
153.8434	1	10	n/a	n/a	1	52	1
154.96	1	10	n/a	n/a	1	52	2
156.1766	1	10	n/a	n/a	1	52	3
157.3598	1	10	n/a	n/a	1	52	4
158.5264	1	10	n/a	n/a	1	52	5
159.5764	1	10	n/a	n/a	1	52	6
160.7264	1	10	n/a	n/a	1	52	7
161.8762	1	21	n/a	n/a	1	52	0
163.0596	1	10	n/a	n/a	1	52	1
164.1262	1	10	n/a	n/a	1	52	2
165.176	1	10	n/a	n/a	1	52	3
166.226	1	21	n/a	n/a	1	52	0
167.376	1	10	n/a	n/a	1	52	1
168.5258	1	21	n/a	n/a	1	52	0
169.6924	1	10	n/a	n/a	1	52	1
171.009	1	10	n/a	n/a	1	52	2
172.2256	1	10	n/a	n/a	1	52	3
173.4922	1	10	n/a	n/a	1	52	4
174.7256	1	10	n/a	n/a	1	52	5
175.9922	1	10	n/a	n/a	1	52	6
176.7846	1	82	n/a	n/a	1	0	0
176.9276	1	82	n/a	n/a	1	0	0
177.2976	1	82	n/a	n/a	1	0	0
177.4626	1	82	n/a	n/a	1	0	0
177.7436	1	82	n/a	n/a	1	0	0
177.7846	1	82	n/a	n/a	1	0	0
177.9166	1	82	n/a	n/a	1	0	0
178.1916	1	82	n/a	n/a	1	0	0
178.5436	1	82	n/a	n/a	1	0	0
178.6476	1	82	n/a	n/a	1	0	0
179.7918	1	10	n/a	n/a	1	52	1
181.0418	1	10	n/a	n/a	1	52	2
182.225	1	10	n/a	n/a	1	52	3
183.2584	1	10	n/a	n/a	1	52	4
184.4082	1	10	n/a	n/a	1	52	5
185.5582	1	10	n/a	n/a	1	52	6
186.8082	1	10	n/a	n/a	1	52	7
188.058	1	21	n/a	n/a	1	52	0
189.358	1	10	n/a	n/a	1	52	1
190.6578	1	21	n/a	n/a	1	52	0
191.9078	1	10	n/a	n/a	1	52	1
193.1244	1	10	n/a	n/a	1	52	2
194.4244	1	10	n/a	n/a	1	52	3
195.6076	1	10	n/a	n/a	1	52	4
196.7576	1	10	n/a	n/a	1	52	5
197.9074	1	21	n/a	n/a	1	52	0
199.1574	1	10	n/a	n/a	1	52	1
200.3406	1	10	n/a	n/a	1	52	2
201.6238	1	10	n/a	n/a	1	52	3
202.8072	1	10	n/a	n/a	1	52	4
203.674	1	82	n/a	n/a	1	0	0
203.697	1	82	n/a	n/a	1	0	0
203.858	1	82	n/a	n/a	1	0	0
