onset	duration	value	response	rt	good	Acu	estim	trial
0.0098	1	11	2	555.8	1	1	0 2 0	1
3.2397	1	11	2	464.8	1	1	0 2 0	2
5.5539	1	11	1	377	1	1	1 0 0	3
8.7838	1	11	1	364.2	1	1	1 0 0	4
11.764	1	11	1	395.6	1	1	1 0 0	5
13.945	1	11	2	433.3	1	1	0 2 0	6
17.2249	1	11	2	413.3	1	1	0 2 0	7
20.4049	1	11	3	423.4	1	1	0 0 3	8
22.9855	1	12	3	779.2	1	0	3 3 2	1
25.7659	1	12	3	652.1	1	1	1 3 1	2
27.8969	1	12	1	792.9	1	1	3 3 1	3
31.0603	1	11	2	501.9	1	1	0 2 0	1
33.0249	1	11	2	419.5	1	1	0 2 0	2
36.5877	1	11	2	416	1	1	0 2 0	3
38.7688	1	11	1	410.6	1	1	1 0 0	4
42.0986	1	11	1	368.9	1	1	1 0 0	5
44.3795	1	11	3	368.8	1	1	0 0 3	6
46.8269	1	12	2	801.9	1	1	1 1 2	1
50.6729	1	12	2	572.3	1	0	1 3 1	2
54.1525	1	12	1	721.9	1	1	3 3 1	3
57.7987	1	12	3	605.2	1	1	3 1 1	4
61.0286	1	12	1	704.2	1	1	2 1 2	5
63.9422	1	11	2	554.9	1	1	0 2 0	1
67.7714	1	11	1	521.3	1	1	1 0 0	2
71.6507	1	11	3	556.9	1	1	0 0 3	3
74.7641	1	11	1	654.1	1	1	1 0 0	4
76.9118	1	12	3	827.4	1	1	3 1 1	1
80.2749	1	12	2	628.3	1	1	1 1 2	2
82.8222	1	12	2	655	1	1	2 1 1	3
85.1364	1	12	3	707.7	1	1	2 3 2	4
87.5838	1	12	1	1156.7	1	1	2 1 2	5
89.615	1	12	1	1156.1	1	1	2 2 1	6
92.0791	1	12	3	610.3	1	1	3 1 1	7
95.4422	1	11	2	556.3	1	1	0 2 0	1
98.6555	1	11	1	513.7	1	1	1 0 0	2
102.4181	1	11	2	447.8	1	1	0 2 0	3
104.7657	1	12	1	728.3	1	1	2 2 1	1
107.6626	1	12	1	749.9	1	1	2 1 2	2
109.5606	1	12	3	633.2	1	1	3 1 1	3
112.4076	1	12	2	713.8	1	0	2 1 2	4
115.188	1	12	1	803.6	1	1	2 1 2	5
118.7342	1	12	2	870.9	1	1	3 3 2	6
121.7977	1	12	1	637.8	1	1	3 3 1	7
124.3616	1	12	1	979.4	1	1	2 1 2	8
127.1587	1	11	3	605.4	1	1	0 0 3	1
130.7382	1	11	2	416.3	1	1	0 2 0	2
133.0025	1	11	3	444.5	1	1	0 0 3	3
136.0493	1	11	2	423.5	1	1	0 2 0	4
138.6632	1	12	3	656.7	1	1	3 1 1	1
140.6943	1	12	1	764.5	1	1	2 1 2	2
142.892	1	12	3	635.6	1	1	1 3 1	3
145.8223	1	12	3	653.5	1	1	1 3 1	4
148.9856	1	12	3	663.1	1	0	3 1 3	5
152.8149	1	12	3	773.6	1	1	3 1 1	6
155.1291	1	11	1	564.8	1	1	1 0 0	1
157.7596	1	11	1	456.5	1	1	1 0 0	2
159.6743	1	11	3	496.3	1	1	0 0 3	3
162.7377	1	11	1	520.4	1	1	1 0 0	4
165.002	1	11	3	540.8	1	1	0 0 3	5
168.8812	1	12	1	970	1	0	3 2 2	1
171.7282	1	12	2	1065.7	1	1	3 3 2	2
175.1579	1	12	3	600.4	1	1	3 2 2	3
178.7042	1	12	2	651.4	1	1	2 1 1	4
182.5334	1	12	1	795.1	1	1	3 3 1	5
185.6801	1	12	2	915.4	1	1	2 3 3	6
189.2264	1	12	1	691	1	1	2 1 2	7
192.8226	1	11	1	568.9	1	1	1 0 0	1
196.0025	1	11	3	494.9	1	1	0 0 3	2
199.2991	1	11	1	431.3	1	1	1 0 0	3
201.247	1	11	1	368.8	1	1	1 0 0	4
204.6434	1	11	3	463.6	1	1	0 0 3	5
206.558	1	12	3	773.8	1	1	3 2 2	1
210.3374	1	12	2	780.1	1	1	2 3 3	2
214.1001	1	12	2	671.1	1	1	1 1 2	3
216.0147	1	12	3	1051.8	1	0	3 3 1	4
218.0625	1	12	1	821.2	1	1	3 1 3	5
220.6099	1	12	1	642.7	1	1	3 1 3	6
222.5744	1	12	1	607.4	1	1	3 3 1	7
225.2716	1	11	2	531.5	1	1	0 2 0	1
227.6191	1	11	3	552	1	1	0 0 3	2
231.0322	1	11	3	453.7	1	1	0 0 3	3
234.5784	1	12	1	581	1	0	2 3 3	1
236.8427	1	12	3	756.8	1	1	3 2 2	2
240.6387	1	12	2	862.4	1	1	2 3 3	3
243.8353	1	12	2	524.2	1	1	2 1 1	4
246.8155	1	12	2	484.9	1	1	2 1 1	5
250.2618	1	12	3	763.8	1	1	2 3 2	6
253.1255	1	12	2	654.9	1	1	2 1 1	7
255.0568	1	12	3	636.6	1	1	1 3 1	8
258.6363	1	11	2	627.2	1	1	0 2 0	1
261.6997	1	11	2	436.7	1	1	0 2 0	2
263.7143	1	11	2	453.4	1	1	0 2 0	3
266.145	1	11	1	463.6	1	1	1 0 0	4
268.376	1	11	1	444.3	1	1	1 0 0	5
271.556	1	11	2	373.2	1	1	0 2 0	6
273.8203	1	12	1	712.1	1	1	3 3 1	1
277.533	1	12	3	651.7	1	1	3 1 1	2
280.43	1	12	3	711.4	1	0	2 2 1	3
283.8263	1	12	3	559	1	1	3 1 1	4
287.2561	1	11	2	542.3	1	1	0 2 0	1
289.9532	1	11	3	467.5	1	1	0 0 3	2
292.9667	1	11	2	409.7	1	1	0 2 0	3
295.8137	1	11	1	406	1	1	1 0 0	4
299.3599	1	12	2	758.6	1	1	3 3 2	1
301.8739	1	12	2	702.6	1	1	1 1 2	2
305.3369	1	12	2	510.5	1	1	1 1 2	3
308.6668	1	11	2	471.7	1	1	0 2 0	1
310.981	1	11	3	442.2	1	1	0 0 3	2
313.0954	1	11	3	425.4	1	1	0 0 3	3
315.9757	1	11	2	396.4	1	1	0 2 0	4
318.7061	1	11	1	442.3	1	1	1 0 0	5
321.2535	1	11	2	390.1	1	1	0 2 0	6
324.9662	1	11	3	399	1	1	0 0 3	7
327.2804	1	11	3	393.5	1	1	0 0 3	8
329.6945	1	12	2	634.6	1	1	2 1 1	1
333.1409	1	12	1	774.6	1	1	3 1 3	2
335.6216	1	12	1	621.6	1	1	3 3 1	3
339.1679	1	12	3	632.6	1	1	1 3 1	4
341.5487	1	12	2	607.7	1	1	2 1 1	5
345.3113	1	12	3	685.9	1	0	3 1 3	6
348.0085	1	11	1	603.9	1	1	1 0 0	1
350.689	1	11	1	523.5	1	1	1 0 0	2
354.3185	1	11	1	376.1	1	1	1 0 0	3
357.1821	1	11	3	479.5	1	1	0 0 3	4
360.4287	1	11	2	372.3	1	1	0 2 0	5
364.0249	1	11	1	392.6	1	1	1 0 0	6
366.5722	1	11	1	342.4	1	1	1 0 0	7
368.7532	1	12	2	693.5	1	1	3 3 2	1
372.4493	1	12	1	617.7	1	1	3 3 1	2
375.546	1	12	1	466.6	1	1	2 2 1	3
377.5772	1	12	3	922.6	1	1	2 3 2	4
381.3066	1	12	3	724.2	1	1	3 1 1	5
383.6375	1	11	1	488	1	1	1 0 0	1
386.3013	1	11	3	411.3	1	1	0 0 3	2
390.064	1	11	1	424.1	1	1	1 0 0	3
392.2617	1	11	1	399.2	1	1	1 0 0	4
395.8579	1	11	3	397.4	1	1	0 0 3	5
399.554	1	11	1	378.5	1	1	1 0 0	6
402.4842	1	11	1	414.1	1	1	1 0 0	7
405.9639	1	12	2	592.8	1	1	2 1 1	1
408.1949	1	12	2	603.6	1	1	1 1 2	2
412.0408	1	12	2	609.3	1	1	2 1 1	3
415.5704	1	12	3	922.3	1	0	3 1 3	4
418.9834	1	12	2	638.1	1	0	2 1 2	5
421.6307	1	12	1	876.3	1	0	2 3 3	6
423.9116	1	11	2	567.8	1	1	0 2 0	1
427.4412	1	11	3	502.3	1	1	0 0 3	2
429.5889	1	11	3	400.1	1	1	0 0 3	3
431.5202	1	12	-99	-99	1	0	3 1 3	1
435.3328	1	12	2	751.7	1	0	2 1 2	2
438.2964	1	12	1	968.9	1	0	1 3 1	3
440.8603	1	12	1	904.1	1	1	2 2 1	4
442.9748	1	12	3	804	1	1	1 3 1	5
446.3046	1	12	1	782.2	1	1	2 2 1	6
448.8019	1	12	3	774.1	1	1	3 2 2	7
450.8331	1	12	2	736.1	1	1	2 3 3	8
454.5126	1	11	2	432	1	1	0 2 0	1
456.7768	1	11	3	443.4	1	1	0 0 3	2
459.5572	1	11	3	423.2	1	1	0 0 3	3
463.3366	1	11	1	424.4	1	1	1 0 0	4
465.9338	1	11	1	408.5	1	1	1 0 0	5
468.4645	1	12	2	807.4	1	1	1 1 2	1
470.9285	1	12	3	543.1	1	1	3 1 1	2
474.1085	1	12	2	549.8	1	1	3 3 2	3
477.7546	1	12	3	586.2	1	1	3 1 1	4
481.1511	1	11	3	467.8	1	1	0 0 3	1
483.1156	1	11	3	486.8	1	1	0 0 3	2
485.6796	1	11	1	421.1	1	1	1 0 0	3
488.5932	1	11	3	399.7	1	1	0 0 3	4
490.8575	1	11	1	434	1	1	1 0 0	5
493.7544	1	11	1	383.7	1	1	1 0 0	6
495.6524	1	12	3	599.3	1	1	3 1 1	1
499.1154	1	12	1	597.3	1	1	2 1 2	2
502.4785	1	12	1	847.8	1	1	2 1 2	3
505.1757	1	12	3	594.4	1	1	1 3 1	4
509.0382	1	12	3	683.8	1	1	1 3 1	5
512.5512	1	12	3	753	1	1	3 2 2	6
515.7811	1	12	2	728.1	1	1	1 1 2	7
