onset	duration	value	response	rt	good	TMS	delta	fixed	seq
57.4756	1	81	n/a	n/a	1	0	0	0	0
57.6756	1	81	n/a	n/a	1	0	0	0	0
57.8756	1	81	n/a	n/a	1	0	0	0	0
58.0756	1	81	n/a	n/a	1	0	0	0	0
58.2756	1	81	n/a	n/a	1	0	0	0	0
58.4756	1	81	n/a	n/a	1	0	0	0	0
58.6756	1	81	n/a	n/a	1	0	0	0	0
58.8756	1	81	n/a	n/a	1	0	0	0	0
59.0756	1	81	n/a	n/a	1	0	0	0	0
59.2756	1	81	n/a	n/a	1	0	0	0	0
60.6492	1	10	n/a	n/a	1	51	0	0	1
61.9324	1	21	n/a	n/a	1	51	0	0	0
63.0324	1	10	n/a	n/a	1	51	0	0	1
64.349	1	10	n/a	n/a	1	51	0	0	2
65.5988	1	10	n/a	n/a	1	51	-0.1	0	3
66.6656	1	10	n/a	n/a	1	51	0.2	0	4
67.7488	1	10	n/a	n/a	1	51	-0.1	0	5
68.8654	1	10	n/a	n/a	1	51	0	0	6
70.0654	1	10	n/a	n/a	1	51	0.1	0	7
71.2652	1	21	n/a	n/a	1	51	-0.1	0	0
72.3484	1	10	n/a	n/a	1	51	-0.1	0	1
73.4318	1	21	n/a	n/a	1	51	0.1	0	0
74.515	1	10	n/a	n/a	1	51	0	0	1
75.6816	1	10	n/a	n/a	1	51	0	0	2
76.9316	1	10	n/a	n/a	1	51	0	0	3
78.1482	1	10	n/a	n/a	1	51	0	0	4
79.3814	1	10	n/a	n/a	1	51	0	0	5
80.698	1	10	n/a	n/a	1	51	0	0	6
81.9812	1	10	n/a	n/a	1	51	-0.1	0	7
83.2646	1	21	n/a	n/a	1	51	0.2	0	0
90.402	1	81	n/a	n/a	1	0	-0.1	0	0
90.602	1	81	n/a	n/a	1	0	0	0	0
90.802	1	81	n/a	n/a	1	0	0	0	0
91.002	1	81	n/a	n/a	1	0	0	0	0
91.202	1	81	n/a	n/a	1	0	0	0	0
91.402	1	81	n/a	n/a	1	0	0	0	0
91.602	1	81	n/a	n/a	1	0	0	0	0
91.802	1	81	n/a	n/a	1	0	0	0	0
92.002	1	81	n/a	n/a	1	0	0	0	0
92.202	1	81	n/a	n/a	1	0	0	0	0
93.564	1	10	n/a	n/a	1	51	0.1	0	1
94.7306	1	10	n/a	n/a	1	51	0	0	2
95.9972	1	10	n/a	n/a	1	51	-1.4552e-11	0	3
97.2638	1	21	n/a	n/a	1	51	1.4552e-11	0	0
98.497	1	10	n/a	n/a	1	51	-0.1	0	1
99.7302	1	21	n/a	n/a	1	51	0	0	0
100.8302	1	10	n/a	n/a	1	51	0	0	1
101.8968	1	10	n/a	n/a	1	51	0	0	2
103.0634	1	10	n/a	n/a	1	51	-1.4552e-11	0	3
104.1132	1	10	n/a	n/a	1	51	-0.1	0	4
105.2466	1	10	n/a	n/a	1	51	0.1	0	5
106.3798	1	21	n/a	n/a	1	51	-0.1	0	0
107.4298	1	10	n/a	n/a	1	51	0.1	0	1
108.4798	1	21	n/a	n/a	1	51	0.1	0	0
109.6296	1	10	n/a	n/a	1	51	-0.2	0	1
110.7296	1	10	n/a	n/a	1	51	0.1	0	2
111.8128	1	10	n/a	n/a	1	51	-0.1	0	3
112.9462	1	10	n/a	n/a	1	51	0.2	0	4
114.196	1	10	n/a	n/a	1	51	-0.2	0	5
115.446	1	21	n/a	n/a	1	51	0.1	0	0
121.8426	1	81	n/a	n/a	1	0	-0.1	0	0
122.0426	1	81	n/a	n/a	1	0	0	0	0
122.2426	1	81	n/a	n/a	1	0	0	0	0
122.4426	1	81	n/a	n/a	1	0	0	0	0
122.6426	1	81	n/a	n/a	1	0	0	0	0
122.8426	1	81	n/a	n/a	1	0	0	0	0
123.0426	1	81	n/a	n/a	1	0	-1.4552e-11	0	0
123.2426	1	81	n/a	n/a	1	0	0	0	0
123.4426	1	81	n/a	n/a	1	0	0	0	0
123.6426	1	81	n/a	n/a	1	0	0	0	0
124.762	1	10	n/a	n/a	1	51	0	0	1
125.7954	1	21	n/a	n/a	1	51	0.1	0	0
126.8786	1	10	n/a	n/a	1	51	-0.1	0	1
128.1952	1	10	n/a	n/a	1	51	-1.4552e-11	0	2
