onset	duration	value	response	rt	good	TMS	seq
219.4602	1	81	n/a	n/a	1	0	0
219.6602	1	81	n/a	n/a	1	0	0
219.8602	1	81	n/a	n/a	1	0	0
220.0602	1	81	n/a	n/a	1	0	0
220.2602	1	81	n/a	n/a	1	0	0
220.4602	1	81	n/a	n/a	1	0	0
220.6602	1	81	n/a	n/a	1	0	0
220.8602	1	81	n/a	n/a	1	0	0
221.0602	1	81	n/a	n/a	1	0	0
221.2602	1	81	n/a	n/a	1	0	0
222.5398	1	10	n/a	n/a	1	51	1
223.7232	1	10	n/a	n/a	1	51	2
224.9064	1	10	n/a	n/a	1	51	3
226.2064	1	10	n/a	n/a	1	51	4
227.273	1	10	n/a	n/a	1	51	5
228.4562	1	10	n/a	n/a	1	51	6
229.4894	1	10	n/a	n/a	1	51	7
230.5228	1	21	n/a	n/a	1	51	0
231.706	1	10	n/a	n/a	1	51	1
232.9392	1	10	n/a	n/a	1	51	2
234.1226	1	10	n/a	n/a	1	51	3
235.4224	1	10	n/a	n/a	1	51	4
236.7058	1	10	n/a	n/a	1	51	5
237.989	1	21	n/a	n/a	1	51	0
239.189	1	10	n/a	n/a	1	51	1
240.2388	1	10	n/a	n/a	1	51	2
241.4554	1	10	n/a	n/a	1	51	3
242.672	1	21	n/a	n/a	1	51	0
243.7386	1	10	n/a	n/a	1	51	1
244.9218	1	10	n/a	n/a	1	51	2
245.7464	1	81	n/a	n/a	1	0	0
245.9464	1	81	n/a	n/a	1	0	0
246.1464	1	81	n/a	n/a	1	0	0
246.3464	1	81	n/a	n/a	1	0	0
246.5464	1	81	n/a	n/a	1	0	0
246.7464	1	81	n/a	n/a	1	0	0
246.9464	1	81	n/a	n/a	1	0	0
247.1464	1	81	n/a	n/a	1	0	0
247.3464	1	81	n/a	n/a	1	0	0
247.5464	1	81	n/a	n/a	1	0	0
248.6716	1	10	n/a	n/a	1	51	1
249.705	1	21	n/a	n/a	1	51	0
250.8216	1	10	n/a	n/a	1	51	1
252.1048	1	10	n/a	n/a	1	51	2
253.2714	1	10	n/a	n/a	1	51	3
254.388	1	10	n/a	n/a	1	51	4
255.5046	1	10	n/a	n/a	1	51	5
256.6212	1	21	n/a	n/a	1	51	0
257.9044	1	10	n/a	n/a	1	51	1
258.971	1	10	n/a	n/a	1	51	2
260.071	1	10	n/a	n/a	1	51	3
261.1376	1	10	n/a	n/a	1	51	4
262.2042	1	10	n/a	n/a	1	51	5
263.2374	1	10	n/a	n/a	1	51	6
264.3708	1	10	n/a	n/a	1	51	7
265.504	1	21	n/a	n/a	1	51	0
266.7206	1	10	n/a	n/a	1	51	1
267.8538	1	10	n/a	n/a	1	51	2
269.1038	1	10	n/a	n/a	1	51	3
270.3538	1	21	n/a	n/a	1	51	0
271.2634	1	81	n/a	n/a	1	0	0
271.4634	1	81	n/a	n/a	1	0	0
271.6634	1	81	n/a	n/a	1	0	0
271.8634	1	81	n/a	n/a	1	0	0
272.0634	1	81	n/a	n/a	1	0	0
272.2634	1	81	n/a	n/a	1	0	0
272.4634	1	81	n/a	n/a	1	0	0
272.6634	1	81	n/a	n/a	1	0	0
272.8634	1	81	n/a	n/a	1	0	0
273.0634	1	81	n/a	n/a	1	0	0
274.2702	1	10	n/a	n/a	1	51	1
275.3868	1	21	n/a	n/a	1	51	0
276.4534	1	10	n/a	n/a	1	51	1
277.77	1	10	n/a	n/a	1	51	2
278.87	1	10	n/a	n/a	1	51	3
279.9698	1	21	n/a	n/a	1	51	0
281.2698	1	10	n/a	n/a	1	51	1
282.303	1	10	n/a	n/a	1	51	2
283.5864	1	10	n/a	n/a	1	51	3
284.6362	1	10	n/a	n/a	1	51	4
285.7028	1	10	n/a	n/a	1	51	5
286.9194	1	10	n/a	n/a	1	51	6
288.1528	1	10	n/a	n/a	1	51	7
289.386	1	21	n/a	n/a	1	51	0
290.6858	1	10	n/a	n/a	1	51	1
292.0024	1	10	n/a	n/a	1	51	2
293.1524	1	10	n/a	n/a	1	51	3
294.2356	1	10	n/a	n/a	1	51	4
295.2856	1	10	n/a	n/a	1	51	5
296.3356	1	10	n/a	n/a	1	51	6
297.224	1	81	n/a	n/a	1	0	0
297.424	1	81	n/a	n/a	1	0	0
297.624	1	81	n/a	n/a	1	0	0
297.824	1	81	n/a	n/a	1	0	0
298.024	1	81	n/a	n/a	1	0	0
298.224	1	81	n/a	n/a	1	0	0
298.424	1	81	n/a	n/a	1	0	0
298.624	1	81	n/a	n/a	1	0	0
298.824	1	81	n/a	n/a	1	0	0
299.024	1	81	n/a	n/a	1	0	0
300.1854	1	10	n/a	n/a	1	51	1
301.402	1	10	n/a	n/a	1	51	2
302.5518	1	10	n/a	n/a	1	51	3
303.7018	1	21	n/a	n/a	1	51	0
304.735	1	10	n/a	n/a	1	51	1
305.785	1	10	n/a	n/a	1	51	2
306.985	1	10	n/a	n/a	1	51	3
308.0682	1	10	n/a	n/a	1	51	4
309.1182	1	10	n/a	n/a	1	51	5
310.168	1	21	n/a	n/a	1	51	0
311.4846	1	10	n/a	n/a	1	51	1
312.618	1	10	n/a	n/a	1	51	2
313.9012	1	10	n/a	n/a	1	51	3
315.0178	1	10	n/a	n/a	1	51	4
316.2344	1	10	n/a	n/a	1	51	5
317.3344	1	10	n/a	n/a	1	51	6
318.5176	1	10	n/a	n/a	1	51	7
319.7008	1	21	n/a	n/a	1	51	0
320.8174	1	10	n/a	n/a	1	51	1
321.934	1	21	n/a	n/a	1	51	0
322.8638	1	81	n/a	n/a	1	0	0
323.0638	1	81	n/a	n/a	1	0	0
323.2638	1	81	n/a	n/a	1	0	0
323.4638	1	81	n/a	n/a	1	0	0
323.6638	1	81	n/a	n/a	1	0	0
323.8638	1	81	n/a	n/a	1	0	0
324.0638	1	81	n/a	n/a	1	0	0
324.2638	1	81	n/a	n/a	1	0	0
324.4638	1	81	n/a	n/a	1	0	0
324.6638	1	81	n/a	n/a	1	0	0
326.0338	1	10	n/a	n/a	1	51	1
327.1504	1	10	n/a	n/a	1	51	2
328.4336	1	10	n/a	n/a	1	51	3
329.5336	1	10	n/a	n/a	1	51	4
330.8502	1	10	n/a	n/a	1	51	5
332.1668	1	21	n/a	n/a	1	51	0
333.2834	1	10	n/a	n/a	1	51	1
334.5334	1	10	n/a	n/a	1	51	2
335.8332	1	10	n/a	n/a	1	51	3
336.9332	1	10	n/a	n/a	1	51	4
338.1832	1	10	n/a	n/a	1	51	5
339.333	1	10	n/a	n/a	1	51	6
340.583	1	10	n/a	n/a	1	51	7
341.833	1	21	n/a	n/a	1	51	0
342.9496	1	10	n/a	n/a	1	51	1
344.0828	1	10	n/a	n/a	1	51	2
345.366	1	10	n/a	n/a	1	51	3
346.4492	1	10	n/a	n/a	1	51	4
347.6492	1	10	n/a	n/a	1	51	5
348.8492	1	21	n/a	n/a	1	51	0
363.539	1	81	n/a	n/a	1	0	0
363.739	1	81	n/a	n/a	1	0	0
363.939	1	81	n/a	n/a	1	0	0
364.139	1	81	n/a	n/a	1	0	0
364.339	1	81	n/a	n/a	1	0	0
364.539	1	81	n/a	n/a	1	0	0
364.739	1	81	n/a	n/a	1	0	0
364.939	1	81	n/a	n/a	1	0	0
365.139	1	81	n/a	n/a	1	0	0
365.339	1	81	n/a	n/a	1	0	0
366.5482	1	10	n/a	n/a	1	50	1
367.6814	1	10	n/a	n/a	1	50	2
368.7314	1	10	n/a	n/a	1	50	3
370.0312	1	10	n/a	n/a	1	50	4
371.1478	1	10	n/a	n/a	1	50	5
372.1978	1	10	n/a	n/a	1	50	6
373.3644	1	10	n/a	n/a	1	50	7
374.531	1	21	n/a	n/a	1	50	0
375.7976	1	10	n/a	n/a	1	50	1
377.0642	1	21	n/a	n/a	1	50	0
378.2642	1	10	n/a	n/a	1	50	1
379.564	1	10	n/a	n/a	1	50	2
380.8806	1	10	n/a	n/a	1	50	3
382.1638	1	10	n/a	n/a	1	50	4
383.4638	1	10	n/a	n/a	1	50	5
384.5304	1	10	n/a	n/a	1	50	6
385.747	1	10	n/a	n/a	1	50	7
386.9636	1	21	n/a	n/a	1	50	0
388.1802	1	10	n/a	n/a	1	50	1
389.2634	1	10	n/a	n/a	1	50	2
390.0788	1	81	n/a	n/a	1	0	0
390.2788	1	81	n/a	n/a	1	0	0
390.4788	1	81	n/a	n/a	1	0	0
390.6788	1	81	n/a	n/a	1	0	0
390.8788	1	81	n/a	n/a	1	0	0
391.079	1	81	n/a	n/a	1	0	0
391.279	1	81	n/a	n/a	1	0	0
391.479	1	81	n/a	n/a	1	0	0
391.679	1	81	n/a	n/a	1	0	0
391.879	1	81	n/a	n/a	1	0	0
393.2298	1	10	n/a	n/a	1	50	1
394.3966	1	10	n/a	n/a	1	50	2
395.4298	1	10	n/a	n/a	1	50	3
396.7464	1	10	n/a	n/a	1	50	4
397.913	1	10	n/a	n/a	1	50	5
399.0796	1	21	n/a	n/a	1	50	0
400.3794	1	10	n/a	n/a	1	50	1
401.6794	1	21	n/a	n/a	1	50	0
402.9126	1	10	n/a	n/a	1	50	1
403.9626	1	10	n/a	n/a	1	50	2
404.9958	1	10	n/a	n/a	1	50	3
406.0292	1	21	n/a	n/a	1	50	0
407.2458	1	10	n/a	n/a	1	50	1
408.4956	1	10	n/a	n/a	1	50	2
409.7622	1	10	n/a	n/a	1	50	3
410.8456	1	10	n/a	n/a	1	50	4
411.9622	1	10	n/a	n/a	1	50	5
413.1788	1	10	n/a	n/a	1	50	6
414.462	1	10	n/a	n/a	1	50	7
415.7452	1	21	n/a	n/a	1	50	0
416.612	1	81	n/a	n/a	1	0	0
416.812	1	81	n/a	n/a	1	0	0
417.012	1	81	n/a	n/a	1	0	0
417.212	1	81	n/a	n/a	1	0	0
417.412	1	81	n/a	n/a	1	0	0
417.612	1	81	n/a	n/a	1	0	0
417.812	1	81	n/a	n/a	1	0	0
418.012	1	81	n/a	n/a	1	0	0
418.212	1	81	n/a	n/a	1	0	0
418.412	1	81	n/a	n/a	1	0	0
419.7616	1	10	n/a	n/a	1	50	1
420.9616	1	10	n/a	n/a	1	50	2
422.2116	1	10	n/a	n/a	1	50	3
423.4782	1	10	n/a	n/a	1	50	4
424.7614	1	10	n/a	n/a	1	50	5
426.0446	1	21	n/a	n/a	1	50	0
427.1112	1	10	n/a	n/a	1	50	1
428.1946	1	10	n/a	n/a	1	50	2
429.5112	1	10	n/a	n/a	1	50	3
430.611	1	10	n/a	n/a	1	50	4
431.6444	1	10	n/a	n/a	1	50	5
432.6776	1	21	n/a	n/a	1	50	0
433.8942	1	10	n/a	n/a	1	50	1
435.0942	1	10	n/a	n/a	1	50	2
436.1274	1	10	n/a	n/a	1	50	3
437.444	1	10	n/a	n/a	1	50	4
438.5106	1	10	n/a	n/a	1	50	5
439.6438	1	10	n/a	n/a	1	50	6
440.9272	1	10	n/a	n/a	1	50	7
442.2104	1	21	n/a	n/a	1	50	0
443.324	1	81	n/a	n/a	1	0	0
443.524	1	81	n/a	n/a	1	0	0
443.724	1	81	n/a	n/a	1	0	0
443.924	1	81	n/a	n/a	1	0	0
444.124	1	81	n/a	n/a	1	0	0
444.324	1	81	n/a	n/a	1	0	0
444.524	1	81	n/a	n/a	1	0	0
444.724	1	81	n/a	n/a	1	0	0
444.924	1	81	n/a	n/a	1	0	0
445.124	1	81	n/a	n/a	1	0	0
446.3268	1	10	n/a	n/a	1	50	1
447.4434	1	21	n/a	n/a	1	50	0
448.6434	1	10	n/a	n/a	1	50	1
449.8932	1	10	n/a	n/a	1	50	2
