onset	duration	value	response	rt	good	TMS	delta	fixed	seq
102.675	1	81	n/a	n/a	1	0	0	0	0
102.875	1	81	n/a	n/a	1	0	0	0	0
103.075	1	81	n/a	n/a	1	0	0	0	0
103.275	1	81	n/a	n/a	1	0	0	0	0
103.475	1	81	n/a	n/a	1	0	0	0	0
103.675	1	81	n/a	n/a	1	0	0	0	0
103.875	1	81	n/a	n/a	1	0	0	0	0
104.075	1	81	n/a	n/a	1	0	0	0	0
104.275	1	81	n/a	n/a	1	0	0	0	0
104.475	1	81	n/a	n/a	1	0	0	0	0
105.8708	1	10	n/a	n/a	1	51	0	0	1
107.0374	1	10	n/a	n/a	1	51	0	0	2
108.1706	1	10	n/a	n/a	1	51	0	0	3
109.4038	1	10	n/a	n/a	1	51	-0.1	0	4
110.5872	1	10	n/a	n/a	1	51	0.1	0	5
111.737	1	10	n/a	n/a	1	51	-0.1	0	6
112.8704	1	10	n/a	n/a	1	51	0.1	0	7
114.0036	1	21	n/a	n/a	1	51	-0.1	0	0
115.1702	1	10	n/a	n/a	1	51	-1.4552e-11	0	1
116.47	1	10	n/a	n/a	1	51	-0.1	0	2
117.5534	1	10	n/a	n/a	1	51	0.1	0	3
118.6866	1	10	n/a	n/a	1	51	1.4552e-11	0	4
119.7866	1	10	n/a	n/a	1	51	0	0	5
120.9032	1	10	n/a	n/a	1	51	-1.4552e-11	0	6
122.0864	1	10	n/a	n/a	1	51	0	0	7
123.2696	1	21	n/a	n/a	1	51	-0.1	0	0
124.4862	1	10	n/a	n/a	1	51	0	0	1
125.7862	1	10	n/a	n/a	1	51	0.1	0	2
126.8694	1	10	n/a	n/a	1	51	-0.1	0	3
128.1028	1	10	n/a	n/a	1	51	0.1	0	4
129.0254	1	81	n/a	n/a	1	0	-0.1	0	0
129.2254	1	81	n/a	n/a	1	0	0	0	0
129.4254	1	81	n/a	n/a	1	0	0	0	0
129.6254	1	81	n/a	n/a	1	0	0	0	0
129.8254	1	81	n/a	n/a	1	0	0	0	0
130.0254	1	81	n/a	n/a	1	0	0	0	0
130.2254	1	81	n/a	n/a	1	0	0	0	0
130.4254	1	81	n/a	n/a	1	0	0	0	0
130.6254	1	81	n/a	n/a	1	0	0	0	0
130.8254	1	81	n/a	n/a	1	0	0	0	0
132.0024	1	10	n/a	n/a	1	51	-0.1	0	1
133.0858	1	21	n/a	n/a	1	51	0.2	0	0
134.319	1	10	n/a	n/a	1	51	-0.1	0	1
135.6022	1	10	n/a	n/a	1	51	-0.1	0	2
136.6688	1	10	n/a	n/a	1	51	-2.9104e-11	0	3
137.7522	1	21	n/a	n/a	1	51	17.9	0	0
138.8688	1	10	n/a	n/a	1	51	-17.7	0	1
140.0354	1	10	n/a	n/a	1	51	2.9104e-11	0	2
141.102	1	10	n/a	n/a	1	51	0	0	3
142.2186	1	10	n/a	n/a	1	51	-0.1	0	4
143.4518	1	10	n/a	n/a	1	51	-2.9104e-11	0	5
144.6518	1	10	n/a	n/a	1	51	0	0	6
145.7016	1	10	n/a	n/a	1	51	-0.1	0	7
146.7516	1	21	n/a	n/a	1	51	0.1	0	0
148.0182	1	10	n/a	n/a	1	51	-2.9104e-11	0	1
149.2848	1	21	n/a	n/a	1	51	0	0	0
150.368	1	10	n/a	n/a	1	51	-0.1	0	1
151.4514	1	21	n/a	n/a	1	51	0.1	0	0
152.7512	1	10	n/a	n/a	1	51	-0.1	0	1
154.0678	1	10	n/a	n/a	1	51	-2.9104e-11	0	2
155.0386	1	81	n/a	n/a	1	0	0.1	0	0
155.2386	1	81	n/a	n/a	1	0	0	0	0
155.4386	1	81	n/a	n/a	1	0	0	0	0
155.6386	1	81	n/a	n/a	1	0	0	0	0
155.8386	1	81	n/a	n/a	1	0	0	0	0
156.0386	1	81	n/a	n/a	1	0	0	0	0
156.2386	1	81	n/a	n/a	1	0	0	0	0
156.4386	1	81	n/a	n/a	1	0	0	0	0
156.6386	1	81	n/a	n/a	1	0	0	0	0
156.8386	1	81	n/a	n/a	1	0	0	0	0
157.9676	1	10	n/a	n/a	1	51	-0.1	0	1
159.1176	1	10	n/a	n/a	1	51	0.1	0	2
160.2674	1	10	n/a	n/a	1	51	-0.2	0	3
161.4508	1	10	n/a	n/a	1	51	18	0	4
162.6674	1	10	n/a	n/a	1	51	-17.8	0	5
163.9172	1	21	n/a	n/a	1	51	-0.2	0	0
165.1172	1	10	n/a	n/a	1	51	0.1	0	1
166.3172	1	10	n/a	n/a	1	51	0.1	0	2
167.3504	1	10	n/a	n/a	1	51	-0.1	0	3
168.3836	1	21	n/a	n/a	1	51	-0.1	0	0
169.4836	1	10	n/a	n/a	1	51	0.1	0	1
170.5836	1	21	n/a	n/a	1	51	0.1	0	0
171.8668	1	10	n/a	n/a	1	51	-0.1	0	1
173.15	1	21	n/a	n/a	1	51	-0.1	0	0
174.2666	1	10	n/a	n/a	1	51	2.9104e-11	0	1
175.3332	1	10	n/a	n/a	1	51	0	0	2
176.4332	1	10	n/a	n/a	1	51	0.1	0	3
177.5664	1	10	n/a	n/a	1	51	-0.1	0	4
178.7498	1	10	n/a	n/a	1	51	0.1	0	5
179.8664	1	10	n/a	n/a	1	51	0	0	6
180.6868	1	81	n/a	n/a	1	0	0	0	0
180.8868	1	81	n/a	n/a	1	0	0	0	0
181.0868	1	81	n/a	n/a	1	0	0	0	0
