onset	duration	value	response	rt	good	Acu	estim	trial
0.0101	1	11	1	702.4	1	1	1 0 0	1
3.0864	1	11	2	483.6	1	1	0 2 0	2
5.6307	1	11	1	417.2	1	1	1 0 0	3
7.543	1	12	1	649.7	1	0	2 3 3	1
10.4198	1	12	2	537.2	1	1	2 3 3	2
12.9973	1	12	1	665	1	1	3 3 1	3
15.525	1	12	1	532.4	1	1	2 2 1	4
19.2665	1	12	3	951.8	1	1	3 1 1	5
21.844	1	11	2	522.8	1	1	0 2 0	1
25.6853	1	11	3	669.4	1	1	0 0 3	2
28.7783	1	11	2	500.2	1	1	0 2 0	3
31.8214	1	11	2	492.6	1	1	0 2 0	4
34.5153	1	12	3	782.2	1	1	3 1 1	1
37.3922	1	12	2	612.5	1	1	2 3 3	2
41.1337	1	12	2	643.7	1	0	1 3 1	3
44.6591	1	12	2	717.9	1	1	2 1 1	4
47.5692	1	12	3	797.2	1	1	2 3 2	5
50.1467	1	12	3	622.7	1	1	3 2 2	6
53.8383	1	12	3	606.6	1	1	3 2 2	7
57.2639	1	11	3	537.2	1	1	0 0 3	1
61.0886	1	11	1	482	1	1	1 0 0	2
63.4166	1	11	1	425	1	1	1 0 0	3
65.3456	1	11	2	437.2	1	1	0 2 0	4
68.2723	1	11	3	381.7	1	1	0 0 3	5
70.7168	1	11	3	399.7	1	1	0 0 3	6
74.2089	1	12	2	739	1	1	3 3 2	1
77.4017	1	12	3	991.2	1	1	2 3 2	2
79.6799	1	12	1	529.4	1	1	3 3 1	3
81.8416	1	12	2	666.4	1	1	2 1 1	4
84.9014	1	12	2	1021.9	1	0	3 1 3	5
88.1108	1	12	1	672.7	1	1	3 1 3	6
90.7049	1	12	2	820.1	1	0	2 3 2	7
93.1494	1	12	1	563.3	1	1	2 2 1	8
96.2258	1	11	2	538.5	1	1	0 2 0	1
98.3543	1	11	1	475.5	1	1	1 0 0	2
100.5493	1	11	1	410	1	1	1 0 0	3
104.058	1	11	1	396.6	1	1	1 0 0	4
107.5335	1	11	2	502.6	1	1	0 2 0	5
110.9757	1	11	2	423.3	1	1	0 2 0	6
114.2517	1	11	2	446.4	1	1	0 2 0	7
117.4611	1	11	3	469	1	1	0 0 3	8
120.604	1	12	3	825.3	1	1	3 1 1	1
123.9797	1	12	1	535.3	1	1	3 3 1	2
127.6214	1	12	3	744.2	1	1	3 1 1	3
130.3486	1	12	2	597.2	1	1	2 3 3	4
132.8928	1	11	3	597	1	1	0 0 3	1
136.3517	1	11	2	581.4	1	1	0 2 0	2
138.7629	1	11	3	380.8	1	1	0 0 3	3
141.3238	1	12	2	642.6	1	1	2 1 1	1
144.4999	1	12	2	805.4	1	1	3 3 2	2
147.0109	1	12	2	628.3	1	1	2 1 1	3
149.8711	1	12	2	698.5	1	1	2 3 3	4
152.8477	1	12	2	1042.2	1	0	3 3 1	5
156.5726	1	12	3	905.6	1	1	1 3 1	6
159.2831	1	11	3	650.1	1	1	0 0 3	1
162.6921	1	11	2	511	1	1	0 2 0	2
166.1842	1	11	1	451.9	1	1	1 0 0	3
168.6952	1	11	2	418.1	1	1	0 2 0	4
170.857	1	11	2	417.8	1	1	0 2 0	5
172.9689	1	11	2	425.3	1	1	0 2 0	6
175.9787	1	11	1	428.4	1	1	1 0 0	7
179.1881	1	12	2	594.2	1	1	2 1 1	1
182.3975	1	12	1	660.6	1	1	2 2 1	2
185.424	1	12	3	787.1	1	1	3 2 2	3
187.2953	1	12	3	512.6	1	1	3 2 2	4
189.3485	1	12	3	353.8	1	0	3 3 1	5
191.5435	1	11	1	520.7	1	1	1 0 0	1
194.1709	1	11	2	387.3	1	1	0 2 0	2
197.3471	1	11	1	406	1	1	1 0 0	3
201.0387	1	11	3	440.8	1	1	0 0 3	4
204.1317	1	11	1	427.8	1	1	1 0 0	5
207.075	1	11	1	407.9	1	1	1 0 0	6
209.7689	1	12	3	614.6	1	1	3 1 1	1
212.0804	1	12	3	521.6	1	1	3 1 1	2
213.9927	1	12	1	700	1	1	2 1 2	3
216.3707	1	12	1	481	1	1	2 1 2	4
218.9815	1	12	1	573.9	1	1	2 2 1	5
222.3571	1	11	3	562.6	1	1	0 0 3	1
224.7517	1	11	3	501.7	1	1	0 0 3	2
228.327	1	11	1	407.8	1	1	1 0 0	3
231.9189	1	12	2	701.5	1	1	3 3 2	1
233.9476	1	12	-99	-99	1	0	1 3 1	2
236.442	1	12	2	976.1	1	0	2 3 2	3
240.0837	1	12	1	641.5	1	1	3 1 3	4
243.4095	1	12	2	702.8	1	1	2 1 1	5
246.7021	1	12	3	722.6	1	1	2 3 2	6
249.7785	1	12	1	532.5	1	1	2 1 2	7
252.0566	1	12	1	744.4	1	1	3 1 3	8
254.0688	1	11	3	550.4	1	1	0 0 3	1
257.0121	1	11	1	392.4	1	1	1 0 0	2
259.39	1	11	3	447.5	1	1	0 0 3	3
262.7159	1	11	2	490.5	1	1	0 2 0	4
265.8255	1	11	2	499.8	1	1	0 2 0	5
269.2012	1	11	3	421.1	1	1	0 0 3	6
272.4106	1	11	1	447.6	1	1	1 0 0	7
274.4892	1	12	3	809	1	1	3 2 2	1
277.2995	1	12	3	980.4	1	1	3 1 1	2
279.7274	1	12	2	515.8	1	0	2 3 2	3
282.6208	1	12	3	661.3	1	1	2 3 2	4
285.3979	1	11	2	473.1	1	1	0 2 0	1
288.1749	1	11	1	377.5	1	1	1 0 0	2
291.3345	1	11	2	392	1	1	0 2 0	3
293.8455	1	11	1	450.8	1	1	1 0 0	4
297.0549	1	11	3	461.5	1	1	0 0 3	5
299.2665	1	12	1	606.7	1	1	2 1 2	1
302.3595	1	12	2	740.6	1	1	3 3 2	2
304.9038	1	12	1	516.1	1	1	2 1 2	3
307.2651	1	12	1	465.7	1	1	2 2 1	4
309.7595	1	12	2	793.6	1	1	1 1 2	5
313.0354	1	12	1	603.5	1	1	3 1 3	6
315.7958	1	12	3	719.6	1	1	1 3 1	7
319.0385	1	12	2	718.8	1	1	2 1 1	8
321.3665	1	11	2	705.7	1	1	0 2 0	1
324.6425	1	11	2	498.6	1	1	0 2 0	2
326.904	1	11	2	421.6	1	1	0 2 0	3
328.833	1	12	3	990.5	1	0	1 1 2	1
331.7597	1	12	1	529.7	1	1	3 3 1	2
334.4204	1	12	2	631.6	1	1	2 3 3	3
338.0954	1	12	3	750.2	1	1	2 3 2	4
341.8868	1	12	2	583.4	1	1	1 1 2	5
345.4288	1	12	2	838.5	1	1	2 3 3	6
348.0562	1	12	2	805.5	1	1	2 1 1	7
351.0993	1	11	3	504.7	1	1	0 0 3	1
353.4107	1	11	2	563	1	1	0 2 0	2
357.0026	1	11	2	419.3	1	1	0 2 0	3
359.4305	1	11	3	563.6	1	1	0 0 3	4
362.6232	1	11	3	440.8	1	1	0 0 3	5
366.0654	1	11	2	399.9	1	1	0 2 0	6
368.4767	1	12	2	879.9	1	1	1 1 2	1
371.7359	1	12	1	889.7	1	1	3 1 3	2
375.6105	1	12	2	608.4	1	1	2 1 1	3
378.7867	1	12	1	721.1	1	1	3 3 1	4
380.7156	1	11	1	640.5	1	1	1 0 0	1
382.6446	1	11	3	503.7	1	1	0 0 3	2
384.8563	1	11	3	455.7	1	1	0 0 3	3
388.0657	1	11	3	384.2	1	1	0 0 3	4
390.6432	1	11	2	352.6	1	1	0 2 0	5
394.0854	1	11	2	390.5	1	1	0 2 0	6
396.8126	1	11	1	359.8	1	1	1 0 0	7
399.7559	1	12	3	647.3	1	1	3 2 2	1
402.0175	1	12	2	570.4	1	1	2 1 1	2
405.1271	1	12	2	499.6	1	0	2 3 2	3
408.5028	1	12	1	556	1	1	2 1 2	4
410.914	1	12	3	489.8	1	0	2 3 3	5
414.2564	1	12	1	585.4	1	1	2 1 2	6
418.0645	1	11	2	508.1	1	1	0 2 0	1
420.8748	1	11	2	349.8	1	1	0 2 0	2
422.8537	1	11	2	351.4	1	1	0 2 0	3
425.2482	1	11	2	356.6	1	1	0 2 0	4
427.3435	1	12	1	488.2	1	0	2 1 1	1
429.8046	1	12	-99	-99	1	0	1 1 2	2
433.2801	1	12	3	511.8	1	1	3 1 1	3
436.0239	1	12	1	649.3	1	1	2 1 2	4
439.5326	1	12	2	574	1	1	2 1 1	5
441.8773	1	12	3	503.1	1	1	1 3 1	6
445.386	1	12	2	527.6	1	0	2 3 2	7
449.0943	1	12	2	746.1	1	1	2 3 3	8
452.6529	1	11	3	418.4	1	1	0 0 3	1
455.0309	1	11	3	459.3	1	1	0 0 3	2
457.0097	1	11	2	397.8	1	1	0 2 0	3
460.0695	1	11	3	409.6	1	1	0 0 3	4
462.2479	1	11	3	405	1	1	0 0 3	5
464.2933	1	12	2	539.1	1	1	2 1 1	1
467.8186	1	12	1	559.3	1	1	2 1 2	2
471.1444	1	12	1	838	1	0	1 1 2	3
474.3372	1	11	2	500.6	1	1	0 2 0	1
476.5655	1	11	1	422.7	1	1	1 0 0	2
479.5089	1	11	1	414.2	1	1	1 0 0	3
482.5187	1	11	2	417.7	1	1	0 2 0	4
484.5308	1	12	2	822.5	1	0	2 1 2	1
487.1582	1	12	3	545.3	1	1	3 2 2	2
489.8521	1	12	1	559.4	1	1	2 2 1	3
493.7101	1	12	3	619.4	1	1	1 3 1	4
495.8718	1	12	1	502.1	1	0	2 1 1	5
499.2143	1	11	2	464.6	1	1	0 2 0	1
501.7918	1	11	1	310.1	1	1	1 0 0	2
505.2007	1	11	3	391.5	1	1	0 0 3	3
507.878	1	11	1	404.4	1	1	1 0 0	4
511.6029	1	11	3	387	1	1	0 0 3	5
514.7624	1	11	2	383.1	1	1	0 2 0	6
518.4042	1	11	3	422.9	1	1	0 0 3	7
521.464	1	11	3	374.7	1	1	0 0 3	8
524.7565	1	12	3	706.8	1	1	3 2 2	1
526.8351	1	12	2	743.7	1	1	2 3 3	2
529.0801	1	12	1	453	1	0	1 1 2	3
532.3726	1	12	2	569.8	1	1	2 1 1	4
534.5677	1	12	3	670.3	1	1	1 3 1	5
538.093	1	12	3	584.4	1	1	1 3 1	6
541.5851	1	11	3	479.3	1	1	0 0 3	1
545.1936	1	11	2	362	1	1	0 2 0	2
548.9185	1	11	2	417.8	1	1	0 2 0	3
551.812	1	11	3	384.7	1	1	0 0 3	4
555.2209	1	11	2	400.8	1	1	0 2 0	5
557.1333	1	11	3	497.1	1	1	0 0 3	6
560.3261	1	11	1	403.9	1	1	1 0 0	7
562.4546	1	12	2	601.2	1	1	2 1 1	1
565.0653	1	12	3	532.8	1	0	3 1 3	2
567.8258	1	12	3	575.7	1	1	3 2 2	3
571.4176	1	11	2	461	1	1	0 2 0	1
573.5129	1	11	3	391.1	1	1	0 0 3	2
575.4252	1	11	2	386.3	1	1	0 2 0	3
578.5182	1	11	1	442.1	1	1	1 0 0	4
582.1766	1	11	3	382.8	1	1	0 0 3	5
585.8184	1	11	1	432.7	1	1	1 0 0	6
588.0134	1	12	2	582.7	1	1	2 1 1	1
590.8903	1	12	1	832.4	1	1	2 1 2	2
594.3325	1	12	3	844.3	1	1	2 3 2	3
596.6439	1	12	3	572.6	1	1	3 2 2	4
600.3688	1	12	2	783.5	1	1	3 3 2	5
602.8798	1	12	2	532.2	1	0	2 1 2	6
605.9063	1	12	3	744.5	1	1	2 3 2	7
607.8685	1	11	3	452.5	1	1	0 0 3	1
609.9305	1	11	2	616.2	1	1	0 2 0	2
612.7575	1	11	1	400.1	1	1	1 0 0	3
615.0357	1	11	1	410.8	1	1	1 0 0	4
617.3803	1	11	2	344	1	1	0 2 0	5
620.4401	1	11	2	408.1	1	1	0 2 0	6
622.5686	1	11	2	386	1	1	0 2 0	7
625.5618	1	11	1	386.6	1	1	1 0 0	8
627.9731	1	12	1	688.5	1	0	2 1 1	1
630.6337	1	12	2	611.9	1	1	2 1 1	2
633.3609	1	12	3	621.1	1	1	2 3 2	3
636.4705	1	11	2	476.4	1	1	0 2 0	1
639.9127	1	11	1	337.7	1	1	1 0 0	2
642.6232	1	11	1	419.9	1	1	1 0 0	3
645.7329	1	11	1	386.7	1	1	1 0 0	4
649.2915	1	11	2	409.5	1	1	0 2 0	5
652.0187	1	12	2	827.4	1	1	3 3 2	1
655.2114	1	12	2	932.4	1	1	2 1 1	2
658.2213	1	12	2	563	1	1	2 3 3	3
661.9462	1	12	1	634.7	1	1	2 2 1	4
665.8208	1	11	2	484.6	1	1	0 2 0	1
668.3816	1	11	3	451.6	1	1	0 0 3	2
671.6077	1	11	1	399.5	1	1	1 0 0	3
674.5178	1	11	2	375.9	1	1	0 2 0	4
678.0764	1	11	2	405.9	1	1	0 2 0	5
681.7182	1	11	1	421.4	1	1	1 0 0	6
684.7613	1	11	2	431	1	1	0 2 0	7
688.403	1	12	1	618	1	1	3 3 1	1
690.8143	1	12	1	587.5	1	1	3 1 3	2
694.323	1	12	3	886.5	1	1	3 2 2	3
697.5989	1	12	1	513.9	1	1	2 2 1	4
701.1409	1	11	1	467.2	1	1	1 0 0	1
704.9988	1	11	3	404.1	1	1	0 0 3	2
707.0442	1	11	2	517.2	1	1	0 2 0	3
709.5219	1	11	2	372.4	1	1	0 2 0	4
713.0473	1	11	1	376.3	1	1	1 0 0	5
716.872	1	12	1	654.4	1	1	2 2 1	1
720.3142	1	12	2	722.6	1	1	2 3 3	2
723.1578	1	12	1	519.4	1	1	2 2 1	3
726.1177	1	12	2	489	1	0	2 1 2	4
728.9114	1	12	3	539.6	1	1	3 2 2	5
731.3891	1	12	2	678.2	1	1	3 3 2	6
733.7006	1	11	1	452.1	1	1	1 0 0	1
736.012	1	11	3	455.5	1	1	0 0 3	2
738.9886	1	11	1	330.3	1	1	1 0 0	3
741.7989	1	11	2	367.5	1	1	0 2 0	4
744.6092	1	11	2	449.7	1	1	0 2 0	5
746.6546	1	11	3	413	1	1	0 0 3	6
749.2654	1	11	2	396.3	1	1	0 2 0	7
753.0402	1	11	1	384.9	1	1	1 0 0	8
755.1188	1	12	2	662.1	1	0	2 2 1	1
758.6774	1	12	2	662	1	1	2 3 3	2
760.7727	1	12	1	433.9	1	1	2 2 1	3
763.6495	1	11	1	479.7	1	1	1 0 0	1
767.5241	1	11	3	453.8	1	1	0 0 3	2
770.1847	1	11	1	348.1	1	1	1 0 0	3
773.7267	1	11	1	417.7	1	1	1 0 0	4
775.9051	1	11	2	416.8	1	1	0 2 0	5
778.9316	1	11	1	410.1	1	1	1 0 0	6
782.7563	1	11	2	416.7	1	1	0 2 0	7
785.4502	1	11	1	384.2	1	1	1 0 0	8
788.643	1	12	3	600.6	1	1	3 1 1	1
791.1207	1	12	2	545.8	1	1	3 3 2	2
793.9809	1	12	1	567.3	1	1	3 3 1	3
796.5584	1	12	3	1023.5	1	1	2 3 2	4
799.1858	1	11	1	429.6	1	1	1 0 0	1
801.3642	1	11	3	414.6	1	1	0 0 3	2
804.0249	1	11	3	392.1	1	1	0 0 3	3
807.7664	1	11	1	400.1	1	1	1 0 0	4
810.876	1	11	1	339.4	1	1	1 0 0	5
813.9025	1	11	2	390.6	1	1	0 2 0	6
816.1142	1	11	2	367.7	1	1	0 2 0	7
819.3735	1	12	2	521.4	1	1	2 3 3	1
822.1339	1	12	3	613.5	1	1	2 3 2	2
825.3267	1	12	1	438.4	1	0	3 1 1	3
827.9707	1	11	1	433.5	1	1	1 0 0	1
830.2156	1	11	2	361.3	1	1	0 2 0	2
832.3275	1	11	3	379.7	1	0	1 0 0	3
834.905	1	11	2	404.6	1	1	0 2 0	4
836.8672	1	11	1	360.2	1	1	1 0 0	5
840.6254	1	11	2	388.1	1	1	0 2 0	6
844.3171	1	12	2	512	1	1	2 1 1	1
846.5952	1	12	-99	-99	1	0	1 1 2	2
