onset	duration	value	response	rt	good	TMS	seq
121.8692	1	82	n/a	n/a	1	0	0
121.9042	1	82	n/a	n/a	1	0	0
122.1292	1	82	n/a	n/a	1	0	0
122.4232	1	82	n/a	n/a	1	0	0
122.4982	1	82	n/a	n/a	1	0	0
122.8692	1	82	n/a	n/a	1	0	0
122.9562	1	82	n/a	n/a	1	0	0
123.2912	1	82	n/a	n/a	1	0	0
123.6002	1	82	n/a	n/a	1	0	0
123.7202	1	82	n/a	n/a	1	0	0
125.0124	1	10	n/a	n/a	1	52	1
126.2622	1	10	n/a	n/a	1	52	2
127.2956	1	10	n/a	n/a	1	52	3
128.612	1	10	n/a	n/a	1	52	4
129.6788	1	10	n/a	n/a	1	52	5
130.7454	1	21	n/a	n/a	1	52	0
131.8786	1	10	n/a	n/a	1	52	1
133.1452	1	10	n/a	n/a	1	52	2
134.4118	1	10	n/a	n/a	1	52	3
135.595	1	10	n/a	n/a	1	52	4
136.845	1	10	n/a	n/a	1	52	5
138.0948	1	21	n/a	n/a	1	52	0
139.3948	1	10	n/a	n/a	1	52	1
140.478	1	10	n/a	n/a	1	52	2
141.678	1	10	n/a	n/a	1	52	3
142.878	1	21	n/a	n/a	1	52	0
144.1112	1	10	n/a	n/a	1	52	1
145.1778	1	10	n/a	n/a	1	52	2
146.4944	1	10	n/a	n/a	1	52	3
147.811	1	21	n/a	n/a	1	52	0
148.7146	1	82	n/a	n/a	1	0	0
148.7536	1	82	n/a	n/a	1	0	0
149.1506	1	82	n/a	n/a	1	0	0
149.3076	1	82	n/a	n/a	1	0	0
149.6146	1	82	n/a	n/a	1	0	0
149.7148	1	82	n/a	n/a	1	0	0
149.9696	1	82	n/a	n/a	1	0	0
150.2906	1	82	n/a	n/a	1	0	0
150.3536	1	82	n/a	n/a	1	0	0
150.5136	1	82	n/a	n/a	1	0	0
151.7608	1	10	n/a	n/a	1	52	1
152.9774	1	10	n/a	n/a	1	52	2
154.0772	1	10	n/a	n/a	1	52	3
155.3938	1	10	n/a	n/a	1	52	4
156.6604	1	10	n/a	n/a	1	52	5
157.9604	1	10	n/a	n/a	1	52	6
159.027	1	10	n/a	n/a	1	52	7
160.0936	1	21	n/a	n/a	1	52	0
161.2602	1	10	n/a	n/a	1	52	1
162.51	1	10	n/a	n/a	1	52	2
163.7266	1	10	n/a	n/a	1	52	3
164.81	1	10	n/a	n/a	1	52	4
165.8766	1	10	n/a	n/a	1	52	5
166.9764	1	10	n/a	n/a	1	52	6
168.0764	1	10	n/a	n/a	1	52	7
169.1764	1	21	n/a	n/a	1	52	0
170.243	1	10	n/a	n/a	1	52	1
171.3928	1	10	n/a	n/a	1	52	2
172.5762	1	10	n/a	n/a	1	52	3
173.6094	1	10	n/a	n/a	1	52	4
174.3608	1	82	n/a	n/a	1	0	0
174.4028	1	82	n/a	n/a	1	0	0
174.4968	1	82	n/a	n/a	1	0	0
174.7378	1	82	n/a	n/a	1	0	0
175.1778	1	82	n/a	n/a	1	0	0
175.3608	1	82	n/a	n/a	1	0	0
175.5078	1	82	n/a	n/a	1	0	0
175.7888	1	82	n/a	n/a	1	0	0
175.8578	1	82	n/a	n/a	1	0	0
176.2848	1	82	n/a	n/a	1	0	0
177.4092	1	10	n/a	n/a	1	52	1
178.7258	1	10	n/a	n/a	1	52	2
179.9256	1	10	n/a	n/a	1	52	3
181.1256	1	21	n/a	n/a	1	52	0
182.2588	1	10	n/a	n/a	1	52	1
183.3922	1	21	n/a	n/a	1	52	0
184.692	1	10	n/a	n/a	1	52	1
185.792	1	10	n/a	n/a	1	52	2
187.042	1	10	n/a	n/a	1	52	3
188.1418	1	10	n/a	n/a	1	52	4
189.4252	1	10	n/a	n/a	1	52	5
190.7084	1	21	n/a	n/a	1	52	0
191.8416	1	10	n/a	n/a	1	52	1
193.0916	1	10	n/a	n/a	1	52	2
194.2416	1	10	n/a	n/a	1	52	3
195.3414	1	10	n/a	n/a	1	52	4
196.3748	1	10	n/a	n/a	1	52	5
197.5746	1	10	n/a	n/a	1	52	6
198.6246	1	10	n/a	n/a	1	52	7
199.6746	1	21	n/a	n/a	1	52	0
200.5582	1	82	n/a	n/a	1	0	0
200.8402	1	82	n/a	n/a	1	0	0
200.8662	1	82	n/a	n/a	1	0	0
201.1272	1	82	n/a	n/a	1	0	0
201.2242	1	82	n/a	n/a	1	0	0
201.5582	1	82	n/a	n/a	1	0	0
201.9582	1	82	n/a	n/a	1	0	0
201.9832	1	82	n/a	n/a	1	0	0
202.2632	1	82	n/a	n/a	1	0	0
202.3412	1	82	n/a	n/a	1	0	0
203.7742	1	10	n/a	n/a	1	52	1
204.9908	1	10	n/a	n/a	1	52	2
206.1908	1	10	n/a	n/a	1	52	3
207.374	1	21	n/a	n/a	1	52	0
208.4074	1	10	n/a	n/a	1	52	1
209.4572	1	21	n/a	n/a	1	52	0
210.6072	1	10	n/a	n/a	1	52	1
211.7572	1	21	n/a	n/a	1	52	0
212.957	1	10	n/a	n/a	1	52	1
214.157	1	21	n/a	n/a	1	52	0
215.1902	1	10	n/a	n/a	1	52	1
216.2402	1	10	n/a	n/a	1	52	2
217.4234	1	10	n/a	n/a	1	52	3
218.6234	1	10	n/a	n/a	1	52	4
