name	x	y	z	impedance 
Fp1 	50.651 	 149.513 	 128.098 	1.000000 
Fp2 	57.257 	 93.979 	 131.416 	0.000000 
F3 	77.452 	 163.672 	 85.961 	6.000000 
F4 	85.193 	 80.636 	 92.753 	2.000000 
C3 	129.713 	 178.360 	 70.785 	3.000000 
C4 	137.555 	 68.116 	 79.992 	2.000000 
P3 	189.672 	 176.163 	 70.351 	4.000000 
P4 	200.183 	 79.052 	 79.427 	5.000000 
O1 	229.142 	 159.853 	 113.016 	1.000000 
O2 	235.011 	 104.162 	 115.966 	2.000000 
F7 	86.203 	 184.324 	 129.386 	7.000000 
F8 	97.507 	 65.577 	 132.460 	2.000000 
T7 	134.732 	 198.620 	 125.726 	7.000000 
T8 	142.887 	 55.372 	 132.991 	7.000000 
P7 	190.019 	 193.581 	 122.572 	1.000000 
P8 	206.161 	 66.183 	 122.092 	3.000000 
Fz 	73.781 	 121.030 	 73.080 	3.000000 
Cz 	131.055 	 123.466 	 45.795 	4.000000 
Pz 	196.131 	 127.968 	 56.676 	3.000000 
Iz 	237.519 	 137.266 	 145.348 	5.000000 
FC1 	102.641 	 148.797 	 61.253 	6.000000 
FC2 	108.903 	 94.165 	 65.946 	4.000000 
CP1 	161.110 	 156.228 	 46.530 	5.000000 
CP2 	165.492 	 93.314 	 51.718 	3.000000 
FC5 	104.054 	 186.250 	 99.464 	1.000000 
FC6 	113.992 	 61.718 	 106.840 	2.000000 
CP5 	166.354 	 195.230 	 94.833 	4.000000 
CP6 	171.547 	 60.867 	 99.314 	5.000000 
TP9 	168.992 	 197.477 	 154.824 	5.000000 
TP10 	178.367 	 62.644 	 159.460 	4.000000 
31 	171.683 	 197.029 	 181.222 	7.000000 
32 	177.446 	 68.567 	 185.024 	8.000000 
F1 	77.314 	 141.419 	 72.391 	1.000000 
F2 	80.673 	 97.149 	 78.629 	2.000000 
C1 	132.297 	 150.120 	 50.449 	4.000000 
C2 	134.706 	 94.360 	 56.500 	5.000000 
P1 	189.701 	 157.591 	 58.322 	7.000000 
P2 	196.533 	 104.577 	 61.018 	3.000000 
AF3 	57.787 	 149.892 	 99.400 	2.000000 
AF4 	63.744 	 92.636 	 101.896 	5.000000 
FC3 	101.417 	 171.424 	 76.972 	1.000000 
FC4 	113.891 	 72.065 	 85.609 	2.000000 
CP3 	158.485 	 180.579 	 64.774 	2.000000 
CP4 	167.376 	 71.092 	 70.901 	3.000000 
PO3 	213.648 	 159.443 	 83.054 	1.000000 
PO4 	219.627 	 102.980 	 87.501 	1.000000 
F5 	78.811 	 175.880 	 107.233 	2.000000 
F6 	90.906 	 69.968 	 114.805 	5.000000 
C5 	131.150 	 192.470 	 96.737 	2.000000 
C6 	143.077 	 57.838 	 105.415 	3.000000 
P5 	188.137 	 190.695 	 93.810 	3.000000 
P6 	201.947 	 69.396 	 98.701 	3.000000 
AF7 	67.444 	 171.816 	 128.969 	7.000000 
AF8 	74.528 	 77.170 	 132.618 	3.000000 
FT7 	107.746 	 194.073 	 124.680 	4.000000 
FT8 	119.017 	 58.658 	 132.654 	3.000000 
TP7 	163.343 	 199.268 	 124.219 	2.000000 
TP8 	176.358 	 58.660 	 126.624 	3.000000 
PO7 	215.065 	 179.193 	 112.839 	6.000000 
PO8 	223.662 	 82.259 	 119.435 	2.000000 
Fpz 	47.657 	 123.971 	 127.262 	1.000000 
CPz 	169.223 	 124.149 	 42.325 	5.000000 
POz 	220.701 	 131.307 	 82.009 	4.000000 
Oz 	236.337 	 135.361 	 110.044 	5.000000 
