onset	duration	value	response	rt	good	TMS	seq
176.0254	1	81	n/a	n/a	1	0	0
176.2254	1	81	n/a	n/a	1	0	0
176.4254	1	81	n/a	n/a	1	0	0
176.6254	1	81	n/a	n/a	1	0	0
176.8254	1	81	n/a	n/a	1	0	0
177.0254	1	81	n/a	n/a	1	0	0
177.2254	1	81	n/a	n/a	1	0	0
177.4254	1	81	n/a	n/a	1	0	0
177.6254	1	81	n/a	n/a	1	0	0
177.8254	1	81	n/a	n/a	1	0	0
178.9646	1	10	-99	-99	1	51	1
180.2812	1	10	-99	-99	1	51	2
181.4644	1	10	-99	-99	1	51	3
182.7144	1	10	-99	-99	1	51	4
183.981	1	10	-99	-99	1	51	5
185.1308	1	10	-99	-99	1	51	6
186.2142	1	10	-99	-99	1	51	7
187.2974	1	21	-99	-99	1	51	0
188.3974	1	10	-99	-99	1	51	1
189.4972	1	21	-99	-99	1	51	0
190.6638	1	10	-99	-99	1	51	1
191.9804	1	10	-99	-99	1	51	2
193.2636	1	10	-99	-99	1	51	3
194.347	1	10	-99	-99	1	51	4
195.4136	1	10	-99	-99	1	51	5
196.4802	1	21	-99	-99	1	51	0
197.7134	1	10	-99	-99	1	51	1
198.98	1	10	-99	-99	1	51	2
200.18	1	10	-99	-99	1	51	3
201.2966	1	10	-99	-99	1	51	4
202.3492	1	81	n/a	n/a	1	0	0
202.5492	1	81	n/a	n/a	1	0	0
202.7492	1	81	n/a	n/a	1	0	0
202.9492	1	81	n/a	n/a	1	0	0
203.1492	1	81	n/a	n/a	1	0	0
203.3492	1	81	n/a	n/a	1	0	0
203.5492	1	81	n/a	n/a	1	0	0
203.7492	1	81	n/a	n/a	1	0	0
203.9492	1	81	n/a	n/a	1	0	0
204.1492	1	81	n/a	n/a	1	0	0
205.413	1	10	-99	-99	1	51	1
206.5462	1	10	-99	-99	1	51	2
207.8128	1	10	-99	-99	1	51	3
209.0794	1	21	-99	-99	1	51	0
210.246	1	10	-99	-99	1	51	1
211.4292	1	10	-99	-99	1	51	2
212.6458	1	10	-99	-99	1	51	3
213.6958	1	10	-99	-99	1	51	4
214.8624	1	10	-99	-99	1	51	5
216.129	1	10	-99	-99	1	51	6
217.3456	1	10	-99	-99	1	51	7
218.5622	1	21	-99	-99	1	51	0
219.6622	1	10	-99	-99	1	51	1
220.812	1	10	-99	-99	1	51	2
221.8786	1	10	-99	-99	1	51	3
222.9452	1	21	-99	-99	1	51	0
224.2118	1	10	-99	-99	1	51	1
225.4784	1	21	-99	-99	1	51	0
226.5784	1	10	-99	-99	1	51	1
227.7282	1	10	-99	-99	1	51	2
228.623	1	81	n/a	n/a	1	0	0
228.823	1	81	n/a	n/a	1	0	0
229.023	1	81	n/a	n/a	1	0	0
229.223	1	81	n/a	n/a	1	0	0
229.423	1	81	n/a	n/a	1	0	0
229.623	1	81	n/a	n/a	1	0	0
229.823	1	81	n/a	n/a	1	0	0
230.023	1	81	n/a	n/a	1	0	0
230.223	1	81	n/a	n/a	1	0	0
230.423	1	81	n/a	n/a	1	0	0
231.628	1	10	-99	-99	1	51	1
232.7446	1	21	-99	-99	1	51	0
234.0612	1	10	-99	-99	1	51	1
235.2112	1	10	-99	-99	1	51	2
236.4612	1	10	-99	-99	1	51	3
237.711	1	21	-99	-99	1	51	0
238.8944	1	10	-99	-99	1	51	1
239.961	1	10	-99	-99	1	51	2
241.2776	1	10	-99	-99	1	51	3
242.594	1	21	-99	-99	1	51	0
243.644	1	10	-99	-99	1	51	1
244.7772	1	10	-99	-99	1	51	2
245.8438	1	10	-99	-99	1	51	3
247.1604	1	10	-99	-99	1	51	4
248.427	1	10	-99	-99	1	51	5
249.6936	1	21	-99	-99	1	51	0
250.9436	1	10	-99	-99	1	51	1
252.2602	1	10	-99	-99	1	51	2
253.4602	1	10	-99	-99	1	51	3
254.66	1	21	-99	-99	1	51	0
255.6116	1	81	n/a	n/a	1	0	0
255.8116	1	81	n/a	n/a	1	0	0
256.0116	1	81	n/a	n/a	1	0	0
256.2116	1	81	n/a	n/a	1	0	0
256.4116	1	81	n/a	n/a	1	0	0
256.6118	1	81	n/a	n/a	1	0	0
256.8116	1	81	n/a	n/a	1	0	0
257.0116	1	81	n/a	n/a	1	0	0
257.2116	1	81	n/a	n/a	1	0	0
257.4116	1	81	n/a	n/a	1	0	0
258.5598	1	10	-99	-99	1	51	1
259.6764	1	10	-99	-99	1	51	2
260.8096	1	10	-99	-99	1	51	3
261.9096	1	10	-99	-99	1	51	4
263.1596	1	10	-99	-99	1	51	5
264.4762	1	10	-99	-99	1	51	6
265.526	1	10	-99	-99	1	51	7
266.576	1	21	-99	-99	1	51	0
267.626	1	10	-99	-99	1	51	1
268.6926	1	10	-99	-99	1	51	2
269.9592	1	10	-99	-99	1	51	3
271.1258	1	10	-99	-99	1	51	4
272.2256	1	10	-99	-99	1	51	5
273.3256	1	21	-99	-99	1	51	0
274.5588	1	10	-99	-99	1	51	1
275.8088	1	10	-99	-99	1	51	2
277.0754	1	10	-99	-99	1	51	3
278.3586	1	10	-99	-99	1	51	4
279.6752	1	10	-99	-99	1	51	5
280.7918	1	10	-99	-99	1	51	6
281.8454	1	81	n/a	n/a	1	0	0
282.0454	1	81	n/a	n/a	1	0	0
282.2454	1	81	n/a	n/a	1	0	0
282.4454	1	81	n/a	n/a	1	0	0
282.6454	1	81	n/a	n/a	1	0	0
282.8454	1	81	n/a	n/a	1	0	0
283.0454	1	81	n/a	n/a	1	0	0
283.2454	1	81	n/a	n/a	1	0	0
283.4454	1	81	n/a	n/a	1	0	0
283.6454	1	81	n/a	n/a	1	0	0
285.0082	1	10	-99	-99	1	51	1
286.0916	1	10	-99	-99	1	51	2
287.3082	1	10	-99	-99	1	51	3
288.5246	1	10	-99	-99	1	51	4
289.8412	1	10	-99	-99	1	51	5
291.1578	1	21	-99	-99	1	51	0
292.4578	1	10	-99	-99	1	51	1
293.7744	1	10	-99	-99	1	51	2
294.9076	1	10	-99	-99	1	51	3
295.941	1	10	-99	-99	1	51	4
297.1242	1	10	-99	-99	1	51	5
298.2408	1	10	-99	-99	1	51	6
299.324	1	10	-99	-99	1	51	7
300.4074	1	21	-99	-99	1	51	0
301.6572	1	10	-99	-99	1	51	1
302.7072	1	10	-99	-99	1	51	2
303.9738	1	10	-99	-99	1	51	3
305.0904	1	10	-99	-99	1	51	4
306.3404	1	10	-99	-99	1	51	5
