name	x	y	z	impedance 
Fp1 	50.651 	 149.513 	 128.098 	0.000000 
Fp2 	55.731 	 96.348 	 124.754 	0.000000 
F3 	90.388 	 169.028 	 81.734 	0.000000 
F4 	92.620 	 79.789 	 87.803 	1.000000 
C3 	139.779 	 180.259 	 69.277 	1.000000 
C4 	147.210 	 68.464 	 76.408 	1.000000 
P3 	195.087 	 175.646 	 74.486 	1.000000 
P4 	202.496 	 81.464 	 78.997 	3.000000 
O1 	229.348 	 161.925 	 116.007 	1.000000 
O2 	237.404 	 107.520 	 122.416 	2.000000 
F7 	88.162 	 185.313 	 126.802 	2.000000 
F8 	96.006 	 66.266 	 134.753 	1.000000 
T7 	139.244 	 199.405 	 126.857 	1.000000 
T8 	149.181 	 55.550 	 134.342 	1.000000 
P7 	191.450 	 193.076 	 123.438 	2.000000 
P8 	206.446 	 65.968 	 129.923 	1.000000 
Fz 	79.631 	 118.114 	 69.484 	0.000000 
Cz 	142.769 	 122.895 	 43.326 	3.000000 
Pz 	200.712 	 125.975 	 60.325 	2.000000 
Iz 	236.784 	 139.105 	 148.430 	3.000000 
FC1 	115.851 	 153.894 	 58.559 	0.000000 
FC2 	116.708 	 92.967 	 63.967 	0.000000 
CP1 	170.687 	 155.857 	 46.941 	1.000000 
CP2 	174.757 	 93.693 	 53.045 	1.000000 
FC5 	111.505 	 187.629 	 96.552 	1.000000 
FC6 	116.086 	 60.204 	 110.188 	1.000000 
CP5 	163.328 	 195.155 	 96.168 	1.000000 
CP6 	176.783 	 61.504 	 104.230 	2.000000 
TP9 	172.070 	 200.591 	 154.223 	4.000000 
TP10 	180.150 	 64.411 	 163.259 	5.000000 
31 	169.862 	 199.297 	 176.459 	5.000000 
32 	173.681 	 66.475 	 178.033 	3.000000 
F1 	84.025 	 146.921 	 70.210 	0.000000 
F2 	85.494 	 95.742 	 76.512 	1.000000 
C1 	140.971 	 151.589 	 48.793 	1.000000 
C2 	147.117 	 92.384 	 55.512 	2.000000 
P1 	193.755 	 154.897 	 60.268 	2.000000 
P2 	202.959 	 104.214 	 66.408 	3.000000 
AF3 	62.131 	 154.867 	 94.278 	0.000000 
AF4 	65.777 	 90.897 	 100.660 	0.000000 
FC3 	109.033 	 167.814 	 70.534 	1.000000 
FC4 	111.291 	 73.856 	 84.063 	1.000000 
CP3 	164.927 	 183.059 	 66.746 	2.000000 
CP4 	175.998 	 70.412 	 75.334 	1.000000 
PO3 	215.625 	 160.268 	 86.345 	1.000000 
PO4 	224.954 	 107.283 	 93.496 	2.000000 
F5 	82.389 	 177.628 	 105.921 	1.000000 
F6 	90.441 	 69.954 	 115.980 	2.000000 
C5 	138.631 	 193.028 	 93.629 	1.000000 
C6 	146.522 	 57.730 	 106.519 	2.000000 
P5 	196.144 	 188.577 	 97.164 	2.000000 
P6 	205.045 	 69.632 	 102.805 	2.000000 
AF7 	66.856 	 170.953 	 123.593 	1.000000 
AF8 	74.520 	 77.096 	 131.110 	2.000000 
FT7 	110.752 	 194.912 	 125.805 	1.000000 
FT8 	120.843 	 58.413 	 133.862 	2.000000 
TP7 	163.211 	 199.574 	 126.796 	1.000000 
TP8 	177.598 	 58.447 	 133.450 	2.000000 
PO7 	211.897 	 183.042 	 116.009 	2.000000 
PO8 	227.106 	 84.632 	 123.570 	2.000000 
Fpz 	47.796 	 122.568 	 120.488 	0.000000 
CPz 	170.930 	 125.104 	 42.570 	3.000000 
POz 	222.939 	 136.517 	 85.273 	2.000000 
Oz 	236.767 	 140.890 	 114.490 	2.000000 
