onset	duration	value	response	rt	good	Acu	estim	trial
0.0182	1	11	3	1147	1	1	0 0 3	1
1.5666	1	11	1	535.5	1	1	1 0 0	2
3.1982	1	11	2	479.9	1	1	0 2 0	3
4.5634	1	11	3	494.3	1	1	0 0 3	4
6.4614	1	11	3	535.8	1	1	0 0 3	5
9.2918	1	11	1	440.8	1	1	1 0 0	6
11.939	1	12	3	1288.8	1	0	3 3 2	1
13.9202	1	12	2	777.2	1	1	2 3 3	2
16.2011	1	12	1	836.2	1	1	2 2 1	3
19.0481	1	12	3	852.7	1	1	3 1 1	4
21.7286	1	12	2	894.6	1	1	1 1 2	5
23.2437	1	12	3	764.3	1	1	3 1 1	6
25.2582	1	12	1	786.9	1	1	3 3 1	7
28.0053	1	11	1	678.2	1	1	1 0 0	1
30.203	1	11	3	813.4	1	1	0 0 3	2
31.718	1	11	3	538.9	1	1	0 0 3	3
33.4329	1	11	1	573.1	1	1	1 0 0	4
35.7471	1	12	1	906	1	1	2 2 1	1
38.694	1	12	2	842.8	1	1	3 3 2	2
40.875	1	12	1	709.2	1	1	2 2 1	3
42.2902	1	11	2	836.7	1	1	0 2 0	1
43.8885	1	11	2	604.3	1	1	0 2 0	2
46.6522	1	11	3	744.1	1	1	0 0 3	1
49.4326	1	11	2	790.3	1	1	0 2 0	2
51.0809	1	11	1	563.5	1	1	1 0 0	3
52.596	1	11	2	572.4	1	1	0 2 0	4
53.9445	1	11	1	535.5	1	1	1 0 0	5
56.5251	1	12	2	889.5	1	1	3 3 2	1
58.7395	1	12	1	707.3	1	1	3 3 1	2
60.5875	1	12	2	942.9	1	1	2 3 3	3
63.2847	1	12	1	680.8	1	1	3 3 1	4
65.1494	1	12	2	767.4	1	1	2 3 3	5
67.5801	1	12	1	725.6	1	1	2 2 1	6
70.2773	1	12	3	687.6	1	1	3 2 2	7
72.9078	1	12	2	848.7	1	1	2 3 3	8
74.3563	1	11	2	758.8	1	1	0 2 0	1
77.1034	1	11	1	520.8	1	1	1 0 0	2
80.1335	1	11	3	602.4	1	1	0 0 3	3
82.0648	1	11	2	625.2	1	1	0 2 0	4
84.3124	1	11	1	500.3	1	1	1 0 0	5
85.8774	1	11	2	607.5	1	1	0 2 0	6
87.7588	1	11	2	715.5	1	1	0 2 0	7
90.6724	1	11	1	538.1	1	1	1 0 0	8
93.6359	1	12	2	880.6	1	1	2 1 1	1
95.3341	1	12	3	528.2	1	1	3 2 2	2
98.0646	1	12	3	613.1	1	1	3 2 2	3
