onset	duration	value	response	rt	good	TMS	delta	fixed	seq
93.4562	1	82	n/a	n/a	1	0	0	0	0
93.6782	1	82	n/a	n/a	1	0	0	0	0
93.9552	1	82	n/a	n/a	1	0	0	0	0
94.0212	1	82	n/a	n/a	1	0	0	0	0
94.0542	1	82	n/a	n/a	1	0	0	0	0
94.4562	1	82	n/a	n/a	1	0	0	0	0
94.5992	1	82	n/a	n/a	1	0	0	0	0
94.8242	1	82	n/a	n/a	1	0	0	0	0
94.8722	1	82	n/a	n/a	1	0	0	0	0
95.2172	1	82	n/a	n/a	1	0	0	0	0
96.395	1	10	725.4	725.4	1	52	0	0	1
97.4616	1	10	266.8	266.8	1	52	0	0	2
98.5448	1	10	207.5	207.5	1	52	-0.1	0	3
99.6282	1	21	228.3	228.3	1	52	0.2	0	0
100.9448	1	10	383.7	383.7	1	52	1.4552e-11	0	1
102.0446	1	10	291.6	291.6	1	52	-0.2	0	2
103.1112	1	10	185	185	1	52	0	0	3
104.1778	1	21	-99	-99	1	52	0	0	0
105.2112	1	10	213.1	213.1	1	52	0.1	0	1
106.4778	1	10	226.5	226.5	1	52	0	0	2
107.711	1	10	209.3	209.3	1	52	0	0	3
108.811	1	10	229.2	229.2	1	52	0	0	4
110.0108	1	10	-99	-99	1	52	-0.1	0	5
111.2108	1	21	-99	-99	1	52	0	0	0
112.344	1	10	216.1	216.1	1	52	-1.4552e-11	0	1
113.4274	1	10	204.8	204.8	1	52	0.1	0	2
114.6772	1	10	234.8	234.8	1	52	-0.2	0	3
115.9772	1	10	246.8	246.8	1	52	0.1	0	4
117.2938	1	10	210.2	210.2	1	52	1.4552e-11	0	5
118.477	1	10	227	227	1	52	-1.4552e-11	0	6
119.2424	1	82	n/a	n/a	1	0	-0.1	0	0
119.5784	1	82	n/a	n/a	1	0	0	0	0
119.8394	1	82	n/a	n/a	1	0	0	0	0
119.9574	1	82	n/a	n/a	1	0	0	0	0
120.0034	1	82	n/a	n/a	1	0	0	0	0
120.2424	1	82	n/a	n/a	1	0	0	0	0
120.4014	1	82	n/a	n/a	1	0	0	0	0
120.7884	1	82	n/a	n/a	1	0	0	0	0
120.8504	1	82	n/a	n/a	1	0	0	0	0
121.1354	1	82	n/a	n/a	1	0	0	0	0
122.4434	1	10	468.4	468.4	1	52	0	0	1
123.4934	1	10	234.4	234.4	1	52	0	0	2
124.7434	1	10	248.5	248.5	1	52	0.1	0	3
125.9932	1	21	230.6	230.6	1	52	-0.1	0	0
127.0764	1	10	299.3	299.3	1	52	-0.1	0	1
128.1598	1	21	223.9	223.9	1	52	0.1	0	0
129.2096	1	10	374	374	1	52	-0.1	0	1
130.2596	1	21	268	268	1	52	0	0	0
131.4596	1	10	268.1	268.1	1	52	0.1	0	1
132.7428	1	10	296.8	296.8	1	52	-0.1	0	2
133.9594	1	10	328.1	328.1	1	52	0	0	3
135.076	1	10	283.5	283.5	1	52	2.9104e-11	0	4
136.2926	1	10	250.9	250.9	1	52	0	0	5
137.5426	1	10	281	281	1	52	0.1	0	6
138.6758	1	10	283.7	283.7	1	52	-0.1	0	7
139.809	1	21	-99	-99	1	52	-0.1	0	0
141.0924	1	10	171.1	171.1	1	52	0.2	0	1
142.3756	1	21	101	101	1	52	-0.1	0	0
143.5922	1	10	295.2	295.2	1	52	0	0	1
144.6922	1	10	267.3	267.3	1	52	0.1	0	2
145.6258	1	82	n/a	n/a	1	0	-0.1	0	0
145.9638	1	82	n/a	n/a	1	0	0	0	0
145.9968	1	82	n/a	n/a	1	0	0	0	0
146.1418	1	82	n/a	n/a	1	0	0	0	0
146.4398	1	82	n/a	n/a	1	0	0	0	0
146.6258	1	82	n/a	n/a	1	0	0	0	0
146.7358	1	82	n/a	n/a	1	0	0	0	0
146.9678	1	82	n/a	n/a	1	0	0	0	0
147.1548	1	82	n/a	n/a	1	0	0	0	0
147.4548	1	82	n/a	n/a	1	0	0	0	0
148.7252	1	10	442	442	1	52	-0.1	0	1
149.9252	1	21	250.1	250.1	1	52	0.1	0	0
150.975	1	10	288.1	288.1	1	52	-0.2	0	1
152.025	1	10	310.2	310.2	1	52	0.1	0	2
153.2916	1	10	243.5	243.5	1	52	2.9104e-11	0	3
154.5582	1	21	-99	-99	1	52	0	0	0
155.6914	1	10	227.6	227.6	1	52	-0.1	0	1
156.8248	1	21	278.4	278.4	1	52	0.2	0	0
158.1246	1	10	418.4	418.4	1	52	-0.2	0	1
159.4246	1	21	302.4	302.4	1	52	0.1	0	0
160.6912	1	10	331.8	331.8	1	52	0	0	1
161.8078	1	10	335.2	335.2	1	52	-2.9104e-11	0	2
162.9244	1	10	274.6	274.6	1	52	2.9104e-11	0	3
164.041	1	21	-99	-99	1	52	-2.9104e-11	0	0
165.1076	1	10	251.4	251.4	1	52	2.9104e-11	0	1
166.2408	1	10	222	222	1	52	-0.1	0	2
167.3074	1	10	259.4	259.4	1	52	-2.9104e-11	0	3
168.5406	1	10	306.1	306.1	1	52	-0.1	0	4
169.7072	1	10	307.5	307.5	1	52	2.9104e-11	0	5
170.8738	1	21	260.9	260.9	1	52	-5.8208e-11	0	0
171.9884	1	82	n/a	n/a	1	0	0.1	0	0
172.3654	1	82	n/a	n/a	1	0	0	0	0
172.4104	1	82	n/a	n/a	1	0	0	0	0
172.5404	1	82	n/a	n/a	1	0	0	0	0
172.8164	1	82	n/a	n/a	1	0	0	0	0
172.9884	1	82	n/a	n/a	1	0	0	0	0
173.0874	1	82	n/a	n/a	1	0	0	0	0
173.2124	1	82	n/a	n/a	1	0	0	0	0
173.5844	1	82	n/a	n/a	1	0	0	0	0
173.8954	1	82	n/a	n/a	1	0	0	0	0
175.1736	1	10	473	473	1	52	-0.1	0	1
176.2902	1	10	348.4	348.4	1	52	2.9104e-11	0	2
177.3402	1	10	274.5	274.5	1	52	0.1	0	3
178.3902	1	21	-99	-99	1	52	0	0	0
