onset	duration	value	response	rt	good	Acu	estim	trial
0.0186	1	11	1	721.2	1	1	1 0 0	1
3.3485	1	11	2	527.3	1	1	0 2 0	2
6.5784	1	11	3	349.9	1	1	0 0 3	3
8.7428	1	11	3	452.3	1	1	0 0 3	4
11.1402	1	11	3	387.6	1	1	0 0 3	5
14.6865	1	12	2	605.1	1	0	3 1 3	1
18.3992	1	12	3	923.2	1	1	1 3 1	2
21.5292	1	12	1	993.9	1	1	3 1 3	3
25.0089	1	12	1	603.1	1	1	3 1 3	4
26.9901	1	12	3	787.6	1	1	3 1 1	5
28.8881	1	12	2	745.9	1	0	3 1 3	6
31.6352	1	12	2	848.1	1	1	3 3 2	7
33.9994	1	11	2	753.8	1	1	0 2 0	1
36.5966	1	11	1	626.5	1	1	1 0 0	2
39.9098	1	11	1	406.9	1	1	1 0 0	3
42.4571	1	12	2	822.2	1	1	1 1 2	1
44.5882	1	12	3	684.6	1	1	3 1 1	2
47.5351	1	12	1	670.4	1	0	2 3 3	3
49.7994	1	12	3	1083.5	1	1	3 2 2	4
53.4288	1	12	3	680.9	1	1	3 2 2	5
56.8419	1	12	3	734	1	1	1 3 1	6
58.9397	1	11	3	663.7	1	1	0 0 3	1
62.2528	1	11	1	444.2	1	1	1 0 0	2
65.2164	1	11	2	561.3	1	1	0 2 0	3
68.9624	1	11	1	424.8	1	1	1 0 0	4
70.8771	1	12	2	541.7	1	0	1 3 1	1
72.875	1	12	2	696.3	1	1	2 3 3	2
74.9561	1	12	3	820.7	1	1	3 2 2	3
77.9529	1	12	3	619.4	1	1	3 1 1	4
81.0663	1	12	2	1211.7	1	0	2 1 2	5
84.6292	1	12	1	907.8	1	1	3 3 1	6
88.2087	1	12	3	681.1	1	1	2 3 2	7
90.4231	1	12	1	933	1	0	1 3 1	8
93.4366	1	11	1	569.5	1	1	1 0 0	1
96.45	1	11	2	609	1	1	0 2 0	2
98.9474	1	11	2	419.2	1	1	0 2 0	3
102.6601	1	11	2	430.3	1	1	0 2 0	4
105.1741	1	12	1	690.5	1	1	3 1 3	1
108.8869	1	12	3	645.1	1	1	3 1 1	2
112.2833	1	12	1	661	1	1	2 1 2	3
115.5299	1	12	3	629.2	1	1	2 3 2	4
118.0439	1	12	1	590.3	1	1	3 1 3	5
121.4403	1	12	1	511.9	1	1	3 1 3	6
123.6879	1	11	2	562.1	1	1	0 2 0	1
125.5859	1	11	2	497.4	1	1	0 2 0	2
128.8325	1	11	3	473.6	1	1	0 0 3	3
132.0957	1	11	1	421.1	1	1	1 0 0	4
134.1602	1	11	1	450.3	1	1	1 0 0	5
137.0904	1	11	1	397.5	1	1	1 0 0	6
139.4879	1	11	3	489.2	1	1	0 0 3	7
142.5679	1	12	3	859.3	1	0	3 3 1	1
146.2307	1	12	2	679.8	1	1	2 1 1	2
148.9445	1	12	2	691.3	1	1	2 3 3	3
152.1745	1	12	2	596	1	1	2 3 3	4
156.037	1	12	1	680.2	1	1	2 1 2	5
159.5	1	11	1	413.3	1	1	1 0 0	1
161.8309	1	11	3	513.3	1	1	0 0 3	2
165.3605	1	11	3	478.1	1	1	0 0 3	3
167.5249	1	12	2	939.7	1	0	1 3 1	1
171.1044	1	12	1	741.3	1	0	3 3 2	2
174.1512	1	12	2	896.4	1	1	1 1 2	3
177.4644	1	12	2	940.4	1	1	2 3 3	4
181.1771	1	12	2	1557.8	1	0	2 3 2	5
183.6245	1	12	1	750.5	1	1	2 1 2	6
185.9221	1	12	2	1104	1	0	1 3 1	7
189.3352	1	12	3	937.9	1	1	3 2 2	8
192.8981	1	11	3	679	1	1	0 0 3	1
196.1446	1	11	3	577.4	1	1	0 0 3	2
198.3423	1	11	3	471.4	1	1	0 0 3	3
201.9218	1	11	2	671.3	1	1	0 2 0	4
203.9863	1	11	3	528.2	1	1	0 0 3	5
205.8843	1	12	1	755.7	1	1	3 1 3	1
209.3973	1	12	2	676.9	1	1	2 1 1	2
212.3275	1	12	1	657.4	1	1	3 3 1	3
215.9071	1	12	1	568.8	1	1	3 3 1	4
218.0048	1	12	1	585.8	1	1	3 1 3	5
220.2858	1	12	3	1030.1	1	1	2 3 2	6
222.8997	1	12	3	1069.4	1	1	2 3 2	7
225.9131	1	11	3	710.3	1	1	0 0 3	1
228.4938	1	11	1	432.4	1	1	1 0 0	2
230.9745	1	11	3	559.7	1	1	0 0 3	3
233.5551	1	11	3	486.1	1	1	0 0 3	4
235.6861	1	11	1	433.8	1	1	1 0 0	5
237.6341	1	11	1	389.1	1	1	1 0 0	6
241.2469	1	11	2	482.7	1	1	0 2 0	7
243.711	1	11	2	422.6	1	1	0 2 0	8
247.4903	1	12	3	849.2	1	1	1 3 1	1
250.2374	1	12	1	418.1	1	0	2 1 1	2
252.3352	1	12	2	600	1	1	2 1 1	3
255.0823	1	11	2	482.1	1	1	0 2 0	1
257.5797	1	11	3	495.7	1	1	0 0 3	2
260.9927	1	11	2	455	1	1	0 2 0	3
263.3569	1	11	1	428.4	1	1	1 0 0	4
266.2039	1	11	3	389.9	1	1	0 0 3	5
269.7668	1	11	2	476.3	1	1	0 2 0	6
271.6648	1	12	3	751.2	1	0	3 3 2	1
273.9291	1	12	3	635.5	1	0	3 3 2	2
276.543	1	12	2	745.8	1	0	3 1 1	3
280.0393	1	12	2	745.9	1	1	1 1 2	4
282.1204	1	11	3	563.8	1	1	0 0 3	1
284.6344	1	11	2	523	1	1	0 2 0	2
287.4315	1	11	2	471.3	1	1	0 2 0	3
289.6957	1	11	3	453.9	1	1	0 0 3	4
292.9589	1	11	3	477.8	1	1	0 0 3	5
296.2388	1	11	1	448.5	1	1	1 0 0	6
299.0025	1	11	1	449.3	1	1	1 0 0	7
301.117	1	11	3	452.3	1	1	0 0 3	8
304.0472	1	12	3	829.6	1	1	3 2 2	1
306.7111	1	12	2	756.4	1	1	2 3 3	2
308.7755	1	12	2	652.5	1	1	1 1 2	3
312.0388	1	12	3	601	1	1	3 1 1	4
315.5684	1	12	3	620.6	1	1	3 1 1	5
319.1979	1	11	2	507.4	1	1	0 2 0	1
321.2124	1	11	1	600.7	1	1	1 0 0	2
324.5922	1	11	2	461.8	1	1	0 2 0	3
327.9719	1	11	3	438.2	1	1	0 0 3	4
330.4859	1	11	3	407.3	1	1	0 0 3	5
334.0655	1	11	2	476.9	1	1	0 2 0	6
336.4463	1	12	3	1081.7	1	1	2 3 2	1
338.5607	1	12	1	624.5	1	1	3 3 1	2
342.4233	1	12	2	1139	1	0	1 3 1	3
345.5533	1	12	1	1193.1	1	1	2 1 2	4
349.2328	1	12	2	730.4	1	1	2 3 3	5
352.2795	1	12	3	635.4	1	1	3 1 1	6
355.9257	1	12	1	651.5	1	1	3 1 3	7
358.4064	1	11	1	581.7	1	1	1 0 0	1
362.1192	1	11	3	485.2	1	1	0 0 3	2
365.6321	1	11	2	493	1	1	0 2 0	3
369.1617	1	11	2	426.4	1	1	0 2 0	4
371.9421	1	12	1	1238.3	1	1	2 1 2	1
374.3229	1	12	2	818.9	1	1	2 3 3	2
377.5861	1	12	2	627.5	1	1	2 3 3	3
380.1001	1	11	3	593.5	1	1	0 0 3	1
382.8972	1	11	3	422.7	1	1	0 0 3	2
384.9117	1	11	3	352.4	1	1	0 0 3	3
388.4913	1	12	2	766.7	1	1	2 3 3	1
392.3538	1	12	2	527.4	1	0	2 1 2	2
395.334	1	12	2	638.9	1	0	3 1 3	3
397.3319	1	12	2	733.8	1	1	2 1 1	4
399.8626	1	12	2	644	1	1	2 1 1	5
402.4765	1	12	3	636.1	1	0	3 3 2	6
405.4567	1	12	-99	-99	1	0	1 3 1	7
409.2527	1	11	2	525.2	1	1	0 2 0	1
411.2838	1	11	3	510.5	1	1	0 0 3	2
413.9976	1	11	1	510	1	1	1 0 0	3
417.4606	1	11	1	461	1	1	1 0 0	4
420.0912	1	11	1	398.7	1	1	1 0 0	5
423.2046	1	11	3	491	1	1	0 0 3	6
425.4522	1	11	1	481.2	1	1	1 0 0	7
428.449	1	11	1	440.2	1	1	1 0 0	8
430.7965	1	12	3	736.8	1	0	2 2 1	1
433.9266	1	12	1	885.5	1	1	3 1 3	2
436.4239	1	12	1	649.3	1	1	3 3 1	3
439.6871	1	12	1	659.9	1	1	2 2 1	4
443.2167	1	11	2	586.5	1	1	0 2 0	1
446.43	1	11	1	419.8	1	1	1 0 0	2
449.8431	1	11	1	437.9	1	1	1 0 0	3
452.3071	1	11	2	513	1	1	0 2 0	4
454.2717	1	11	3	487.7	1	1	0 0 3	5
457.8513	1	11	1	427.4	1	1	1 0 0	6
460.9313	1	12	1	703.4	1	1	2 1 2	1
463.745	1	12	2	830.8	1	1	3 3 2	2
466.9084	1	12	2	797.9	1	1	1 1 2	3
469.2392	1	12	1	519.4	1	0	2 1 1	4
471.387	1	12	1	643.5	1	1	2 2 1	5
473.5513	1	11	3	642.2	1	1	0 0 3	1
476.3317	1	11	3	471.6	1	1	0 0 3	2
480.0278	1	11	2	516	1	1	0 2 0	3
482.7416	1	11	1	396.4	1	1	1 0 0	4
485.3389	1	11	3	497.2	1	1	0 0 3	5
488.1859	1	12	3	871.3	1	1	2 3 2	1
491.5157	1	12	1	599.1	1	1	2 2 1	2
495.3783	1	12	2	1228.9	1	0	2 3 2	3
498.2419	1	12	2	969.5	1	1	2 3 3	4
500.4396	1	12	3	798.5	1	1	3 2 2	5
503.2033	1	12	2	1128.5	1	1	3 3 2	6
505.8838	1	11	2	512.2	1	1	0 2 0	1
507.9483	1	11	1	450.3	1	0	0 2 0	2
510.1959	1	11	1	471.6	1	1	1 0 0	3
514.0252	1	12	2	690.1	1	1	1 1 2	1
516.3727	1	12	1	916.5	1	1	3 1 3	2
519.8524	1	12	1	616.8	1	1	3 1 3	3
522.9824	1	12	2	743.7	1	1	3 3 2	4
525.4465	1	11	3	483.2	1	1	0 0 3	1
527.5276	1	11	2	567	1	1	0 2 0	2
531.3236	1	11	1	416.4	1	1	1 0 0	3
534.1872	1	11	3	523.4	1	1	0 0 3	4
536.8844	1	11	2	421.5	1	1	0 2 0	5
539.2818	1	11	3	559	1	1	0 0 3	6
541.979	1	11	3	412.7	1	1	0 0 3	7
543.9602	1	12	3	786.6	1	1	1 3 1	1
546.6407	1	12	3	476.9	1	0	3 3 1	2
549.5044	1	12	1	672	1	1	3 1 3	3
552.3846	1	12	1	469.9	1	1	2 2 1	4
555.7644	1	12	1	559.6	1	1	2 1 2	5
557.7956	1	12	2	894.3	1	0	1 3 1	6
559.9433	1	12	3	827	1	1	3 2 2	7
563.04	1	12	2	807	1	1	2 3 3	8
565.5874	1	11	2	498.3	1	1	0 2 0	1
568.1014	1	11	3	495.3	1	1	0 0 3	2
570.0826	1	11	3	450.4	1	1	0 0 3	3
573.3791	1	11	3	436.9	1	1	0 0 3	4
576.043	1	11	2	479.3	1	1	0 2 0	5
578.3738	1	12	1	870.2	1	1	3 3 1	1
581.7702	1	12	2	1178	1	0	1 3 1	2
584.0512	1	12	1	734.3	1	1	2 1 2	3
587.6973	1	12	1	596.5	1	1	2 1 2	4
590.8273	1	12	2	778.4	1	1	2 3 3	5
594.2071	1	12	3	613.6	1	1	3 1 1	6
597.3205	1	12	3	599	1	1	3 2 2	7
599.5847	1	12	3	891.6	1	1	1 3 1	8
602.0322	1	11	2	584.9	1	1	0 2 0	1
605.3287	1	11	2	542.2	1	1	0 2 0	2
609.1746	1	11	3	497	1	1	0 0 3	3
612.0549	1	12	2	604.4	1	0	1 3 1	1
615.0684	1	12	2	714.6	1	1	3 3 2	2
617.5657	1	12	2	657.2	1	1	2 1 1	3
620.9455	1	12	3	969.9	1	1	2 3 2	4
623.3097	1	11	2	465.1	1	1	0 2 0	1
625.191	1	11	3	530.1	1	1	0 0 3	2
627.705	1	11	3	447.1	1	1	0 0 3	3
630.9516	1	11	3	468.5	1	1	0 0 3	4
634.5644	1	11	1	454	1	1	1 0 0	5
637.4614	1	11	2	452.5	1	1	0 2 0	6
640.1252	1	11	3	457.1	1	1	0 0 3	7
643.8213	1	12	3	910.9	1	1	3 2 2	1
646.7682	1	12	2	591.4	1	1	2 1 1	2
649.4986	1	12	1	760.2	1	1	3 1 3	3
653.3446	1	12	3	559.9	1	0	3 3 2	4
655.8253	1	12	1	694.3	1	0	1 1 2	5
658.3559	1	12	2	566.6	1	1	2 1 1	6
660.5869	1	11	2	476.1	1	1	0 2 0	1
663.4672	1	11	1	494.3	1	1	1 0 0	2
665.7814	1	11	2	537.2	1	1	0 2 0	3
668.0124	1	11	2	410.5	1	1	0 2 0	4
670.5764	1	11	3	549.7	1	1	0 0 3	5
672.6575	1	11	1	480.3	1	1	1 0 0	6
676.3536	1	12	3	727	1	0	3 3 2	1
679.2672	1	12	2	717.9	1	1	2 1 1	2
682.0809	1	12	3	1063.1	1	1	2 3 2	3
685.9601	1	12	1	681.2	1	1	3 3 1	4
689.0901	1	12	3	744	1	1	3 1 1	5
692.6031	1	12	1	694.2	1	1	2 2 1	6
695.7664	1	12	2	691.6	1	1	1 1 2	7
699.4958	1	11	3	495.6	1	1	0 0 3	1
702.7257	1	11	1	486.7	1	1	1 0 0	2
705.3729	1	11	3	588.6	1	1	0 0 3	3
707.5539	1	12	2	622.5	1	0	1 3 1	1
710.8005	1	12	3	726.2	1	1	3 2 2	2
712.8317	1	12	2	602.1	1	1	1 1 2	3
715.8951	1	12	1	771.3	1	1	3 1 3	4
719.4081	1	12	1	878	1	0	1 3 1	5
722.638	1	11	1	602.7	1	1	1 0 0	1
725.0188	1	11	2	545.7	1	1	0 2 0	2
727.4829	1	11	1	511.5	1	1	1 0 0	3
730.3132	1	11	3	528.6	1	1	0 0 3	4
733.3433	1	12	2	784.5	1	1	2 3 3	1
736.3069	1	12	2	755.4	1	1	2 1 1	2
739.1871	1	12	1	693.7	1	1	2 2 1	3
742.517	1	12	3	704.8	1	1	3 1 1	4
745.3307	1	12	1	771.7	1	1	3 1 3	5
748.0278	1	12	1	658.6	1	1	3 1 3	6
751.1412	1	12	1	792.2	1	1	2 2 1	7
754.6042	1	12	1	636.3	1	1	3 3 1	8
758.3835	1	11	2	426.3	1	1	0 2 0	1
762.2294	1	11	3	596.4	1	1	0 0 3	2
764.4771	1	11	1	490.1	1	1	1 0 0	3
767.2575	1	11	3	451.2	1	1	0 0 3	4
769.5217	1	11	3	495.9	1	1	0 0 3	5
771.4863	1	11	1	501.6	1	1	1 0 0	6
774.2667	1	11	2	476.6	1	1	0 2 0	7
777.5799	1	11	1	417.2	1	1	1 0 0	8
780.2604	1	12	2	598.5	1	0	2 3 2	1
783.1573	1	12	3	627.8	1	1	3 1 1	2
786.8701	1	12	3	803.7	1	1	3 2 2	3
790.383	1	12	3	687.3	1	1	1 3 1	4
794.1124	1	12	1	747.3	1	1	2 1 2	5
796.9261	1	12	3	640.8	1	1	3 1 1	6
799.7897	1	12	3	510.7	1	1	3 1 1	7
803.5524	1	11	2	491.4	1	1	0 2 0	1
807.4317	1	11	2	475.7	1	1	0 2 0	2
809.8291	1	11	3	515.4	1	1	0 0 3	3
812.5429	1	11	3	448.7	1	1	0 0 3	4
814.674	1	11	2	511.3	1	1	0 2 0	5
817.9372	1	12	1	928.5	1	1	2 2 1	1
821.7832	1	12	1	543.6	1	1	3 3 1	2
825.1962	1	12	1	699.2	1	1	2 1 2	3
828.0765	1	12	1	511.1	1	1	2 1 2	4
830.5905	1	12	2	731.4	1	1	2 1 1	5
833.937	1	12	3	767.1	1	1	3 2 2	6
837.067	1	11	3	588.7	1	1	0 0 3	1
838.965	1	11	3	431.8	1	1	0 0 3	2
841.1627	1	11	3	483.8	1	1	0 0 3	3
843.5102	1	12	3	722.3	1	0	2 2 1	1
845.4748	1	12	2	941.6	1	1	1 1 2	2
847.5226	1	12	3	960.2	1	1	1 3 1	3
850.1032	1	12	3	700.3	1	1	3 2 2	4
