onset	duration	value	response	rt	good	TMS	seq
91.755	1	82	n/a	n/a	1	0	0
92.026	1	82	n/a	n/a	1	0	0
92.378	1	82	n/a	n/a	1	0	0
92.524	1	82	n/a	n/a	1	0	0
92.692	1	82	n/a	n/a	1	0	0
92.755	1	82	n/a	n/a	1	0	0
93.104	1	82	n/a	n/a	1	0	0
93.402	1	82	n/a	n/a	1	0	0
93.542	1	82	n/a	n/a	1	0	0
93.706	1	82	n/a	n/a	1	0	0
94.9234	1	10	n/a	n/a	1	52	1
96.2066	1	21	n/a	n/a	1	52	0
97.4398	1	10	n/a	n/a	1	52	1
98.5232	1	10	n/a	n/a	1	52	2
99.5732	1	10	n/a	n/a	1	52	3
100.8396	1	10	n/a	n/a	1	52	4
102.123	1	10	n/a	n/a	1	52	5
103.4062	1	21	n/a	n/a	1	52	0
104.7062	1	10	n/a	n/a	1	52	1
106.006	1	21	n/a	n/a	1	52	0
107.056	1	10	n/a	n/a	1	52	1
108.356	1	10	n/a	n/a	1	52	2
109.4058	1	10	n/a	n/a	1	52	3
110.5392	1	10	n/a	n/a	1	52	4
111.8558	1	10	n/a	n/a	1	52	5
113.089	1	10	n/a	n/a	1	52	6
114.3222	1	10	n/a	n/a	1	52	7
115.5556	1	21	n/a	n/a	1	52	0
116.6054	1	10	n/a	n/a	1	52	1
117.7388	1	10	n/a	n/a	1	52	2
118.7462	1	82	n/a	n/a	1	0	0
118.9722	1	82	n/a	n/a	1	0	0
119.0312	1	82	n/a	n/a	1	0	0
119.1922	1	82	n/a	n/a	1	0	0
119.4442	1	82	n/a	n/a	1	0	0
119.7462	1	82	n/a	n/a	1	0	0
119.8732	1	82	n/a	n/a	1	0	0
120.3102	1	82	n/a	n/a	1	0	0
120.6362	1	82	n/a	n/a	1	0	0
120.7012	1	82	n/a	n/a	1	0	0
121.8884	1	10	n/a	n/a	1	52	1
123.055	1	10	n/a	n/a	1	52	2
124.2384	1	10	n/a	n/a	1	52	3
125.4382	1	10	n/a	n/a	1	52	4
126.7216	1	10	n/a	n/a	1	52	5
128.0048	1	21	n/a	n/a	1	52	0
129.038	1	10	n/a	n/a	1	52	1
130.2046	1	10	n/a	n/a	1	52	2
131.4712	1	10	n/a	n/a	1	52	3
132.5546	1	10	n/a	n/a	1	52	4
133.7378	1	10	n/a	n/a	1	52	5
134.921	1	21	n/a	n/a	1	52	0
136.0376	1	10	n/a	n/a	1	52	1
137.3042	1	10	n/a	n/a	1	52	2
138.6042	1	10	n/a	n/a	1	52	3
139.904	1	21	n/a	n/a	1	52	0
141.1206	1	10	n/a	n/a	1	52	1
142.404	1	10	n/a	n/a	1	52	2
143.4706	1	10	n/a	n/a	1	52	3
144.7038	1	10	n/a	n/a	1	52	4
145.6132	1	82	n/a	n/a	1	0	0
145.8912	1	82	n/a	n/a	1	0	0
145.9942	1	82	n/a	n/a	1	0	0
146.1902	1	82	n/a	n/a	1	0	0
146.2532	1	82	n/a	n/a	1	0	0
146.6132	1	82	n/a	n/a	1	0	0
146.6552	1	82	n/a	n/a	1	0	0
146.7922	1	82	n/a	n/a	1	0	0
146.9562	1	82	n/a	n/a	1	0	0
147.3962	1	82	n/a	n/a	1	0	0
148.737	1	10	n/a	n/a	1	52	1
149.8368	1	10	n/a	n/a	1	52	2
151.1034	1	10	n/a	n/a	1	52	3
152.27	1	10	n/a	n/a	1	52	4
153.47	1	10	n/a	n/a	1	52	5
154.67	1	21	n/a	n/a	1	52	0
155.7532	1	10	n/a	n/a	1	52	1
156.9198	1	10	n/a	n/a	1	52	2
158.053	1	10	n/a	n/a	1	52	3
159.2196	1	10	n/a	n/a	1	52	4
160.303	1	10	n/a	n/a	1	52	5
161.6194	1	10	n/a	n/a	1	52	6
162.936	1	10	n/a	n/a	1	52	7
164.2526	1	21	n/a	n/a	1	52	0
165.4026	1	10	n/a	n/a	1	52	1
166.6192	1	10	n/a	n/a	1	52	2
167.9192	1	10	n/a	n/a	1	52	3
169.1024	1	10	n/a	n/a	1	52	4
170.1356	1	10	n/a	n/a	1	52	5
171.169	1	10	n/a	n/a	1	52	6
171.9384	1	82	n/a	n/a	1	0	0
172.2154	1	82	n/a	n/a	1	0	0
172.3244	1	82	n/a	n/a	1	0	0
172.4754	1	82	n/a	n/a	1	0	0
172.8514	1	82	n/a	n/a	1	0	0
