onset	duration	value	response	rt	good	Acu	estim	trial
0.0088	1	11	1	857.1	1	1	1 0 0	1
1.8235	1	11	1	598	1	1	1 0 0	2
4.837	1	11	3	667.5	1	1	0 0 3	3
7.5342	1	12	2	1057.9	1	1	3 3 2	1
9.4655	1	12	2	1139.1	1	1	2 3 3	2
11.5632	1	12	2	808.6	1	1	1 1 2	3
13.2948	1	12	2	955.1	1	1	2 3 3	4
15.6589	1	12	1	800.8	1	1	2 2 1	5
17.9232	1	12	2	787.4	1	1	2 3 3	6
20.8201	1	12	2	785	1	1	1 1 2	7
22.6016	1	11	1	742.8	1	1	1 0 0	1
24.6161	1	11	2	555.1	1	1	0 2 0	2
26.4142	1	11	2	882.6	1	1	0 2 0	3
28.0791	1	11	2	721.6	1	1	0 2 0	4
29.9105	1	11	3	717.6	1	1	0 0 3	5
32.3579	1	11	2	575.8	1	1	0 2 0	6
35.2216	1	11	3	774	1	1	0 0 3	7
37.6523	1	11	1	620.9	1	1	1 0 0	8
39.0509	1	12	2	868.5	1	1	1 1 2	1
41.8812	1	12	3	850.3	1	1	3 2 2	2
44.3286	1	12	1	852.1	1	1	3 3 1	3
45.877	1	12	2	640.2	1	1	2 1 1	4
47.775	1	11	2	737.7	1	1	0 2 0	1
49.8228	1	11	2	703.4	1	1	0 2 0	2
52.4367	1	11	2	560.4	1	1	0 2 0	3
54.0683	1	11	3	705.9	1	1	0 0 3	4
56.8487	1	11	3	640	1	1	0 0 3	5
59.5625	1	12	2	1145	1	1	3 3 2	1
61.6436	1	12	2	799	1	1	1 1 2	2
63.7747	1	12	1	671.4	1	1	3 3 1	3
66.5218	1	12	1	741.7	1	1	2 2 1	4
68.7028	1	12	1	605.2	1	1	2 2 1	5
70.9838	1	12	2	860.3	1	1	1 1 2	6
72.4489	1	11	1	704.7	1	1	1 0 0	1
74.2636	1	11	3	734.3	1	1	0 0 3	2
76.6611	1	11	1	583.6	1	1	1 0 0	1
79.225	1	11	1	732	1	1	1 0 0	2
81.4227	1	12	2	763.9	1	1	2 3 3	1
84.0866	1	12	2	840.2	1	1	3 3 2	2
86.8004	1	12	2	728.6	1	1	1 1 2	3
88.2155	1	12	2	754.4	1	1	2 1 1	4
90.7462	1	12	1	733.6	1	1	2 2 1	1
92.5443	1	12	2	799.8	1	1	2 1 1	2
94.126	1	12	3	890.7	1	1	3 2 2	3
97.1061	1	12	1	850.6	1	1	2 2 1	4
99.1706	1	12	2	581.4	1	1	1 1 2	5
102.0343	1	11	2	568.2	1	1	0 2 0	1
103.3828	1	11	2	600.3	1	1	0 2 0	2
104.9312	1	11	1	613.1	1	1	1 0 0	3
107.0789	1	11	3	668.8	1	1	0 0 3	4
109.7095	1	11	3	547.2	1	1	0 0 3	5
111.2911	1	11	3	628.6	1	1	0 0 3	6
112.673	1	11	2	839.7	1	1	0 2 0	7
114.904	1	11	3	583.2	1	1	0 0 3	8
117.6511	1	12	1	967.7	1	1	3 3 1	1
119.7655	1	12	1	647.6	1	1	3 3 1	2
122.2962	1	12	3	999.4	1	1	3 1 1	3
124.7436	1	12	3	650.6	1	1	3 1 1	4
127.0911	1	12	1	902.1	1	1	3 3 1	5
128.9225	1	12	1	869.8	1	1	2 2 1	6
131.27	1	12	1	605.1	1	1	3 3 1	7
134.0338	1	11	2	595.7	1	1	0 2 0	1
136.5311	1	11	1	569.2	1	1	1 0 0	2
138.3126	1	11	3	538.9	1	1	0 0 3	3
140.76	1	11	3	630.6	1	1	0 0 3	4
142.5414	1	11	2	487.3	1	1	0 2 0	5
144.0565	1	11	3	672.5	1	1	0 0 3	6
145.5383	1	12	2	913.4	1	1	2 1 1	1
147.7026	1	12	2	815.5	1	1	3 3 2	2
150.6495	1	12	2	733.1	1	1	1 1 2	3
152.7973	1	11	3	567.8	1	1	0 0 3	1
155.1614	1	11	1	535.5	1	1	1 0 0	2
158.1915	1	11	2	609.3	1	1	0 2 0	3
159.5401	1	11	2	652.3	1	1	0 2 0	4
161.3882	1	12	3	1155.1	1	1	3 1 1	1
163.436	1	12	3	1026.7	1	1	3 1 1	2
165.2674	1	11	3	911.2	1	1	0 0 3	1
167.4151	1	11	3	771.9	1	1	0 0 3	2
169.1133	1	11	1	1005.1	1	1	1 0 0	3
172.1102	1	11	3	563.3	1	1	0 0 3	4
174.3245	1	11	3	656.8	1	1	0 0 3	5
176.2891	1	11	2	644.7	1	1	0 2 0	6
177.8374	1	11	2	616.3	1	1	0 2 0	7
179.4191	1	11	1	583.3	1	1	1 0 0	8
182.4492	1	12	3	775.1	1	1	3 1 1	1
184.4971	1	12	3	593.6	1	1	3 1 1	2
186.2286	1	12	2	752.5	1	1	2 3 3	3
188.1432	1	12	2	781.2	1	1	1 1 2	4
189.8414	1	12	2	803.1	1	1	2 3 3	5
192.6385	1	12	3	781.3	1	1	3 1 1	6
195.0359	1	12	3	622.6	1	1	3 1 1	7
197.0505	1	11	1	691.6	1	1	1 0 0	1
198.5822	1	11	3	618.6	1	1	0 0 3	2
200.7799	1	11	1	631.7	1	1	1 0 0	3
202.3282	1	12	3	973.5	1	1	3 2 2	1
204.9588	1	12	2	778.9	1	1	2 3 3	2
206.4072	1	12	2	838.5	1	1	2 3 3	3
207.7558	1	12	2	937	1	1	2 1 1	4
209.2376	1	12	1	943.6	1	1	2 2 1	5
212.018	1	12	2	823.4	1	1	2 3 3	6
214.2656	1	11	2	907.8	1	1	0 2 0	1
216.4133	1	11	3	655.3	1	1	0 0 3	2
218.1282	1	11	2	809.4	1	1	0 2 0	3
220.0928	1	11	3	635.1	1	1	0 0 3	4
222.6567	1	11	2	558.2	1	1	0 2 0	5
224.4215	1	11	3	590.6	1	1	0 0 3	1
225.8367	1	11	3	630.1	1	1	0 0 3	2
228.3674	1	11	2	568.6	1	1	0 2 0	3
231.1644	1	11	3	566.9	1	1	0 0 3	4
233.5286	1	11	3	552.7	1	1	0 0 3	5
235.4099	1	12	2	1121.2	1	0	2 2 1	1
238.1737	1	12	2	1488.4	1	1	2 3 3	2
241.1372	1	12	1	1186	1	1	3 3 1	3
243.7011	1	12	3	937.2	1	1	3 1 1	4
245.0997	1	12	2	842	1	1	1 1 2	5
247.93	1	12	1	969.2	1	1	2 2 1	6
249.495	1	12	1	668.5	1	1	2 2 1	7
251.6594	1	11	1	852.3	1	1	1 0 0	1
254.3565	1	11	1	586.9	1	1	1 0 0	2
256.0215	1	12	2	705.2	1	1	1 1 2	1
258.7852	1	12	2	856.9	1	1	1 1 2	2
260.7498	1	12	2	846.8	1	1	3 3 2	3
263.6634	1	12	1	989.9	1	1	3 3 1	4
265.295	1	11	1	704.9	1	1	1 0 0	1
267.2096	1	11	1	656.7	1	1	1 0 0	2
270.1898	1	11	3	735.2	1	1	0 0 3	3
271.555	1	11	2	1045.2	1	1	0 2 0	1
274.1023	1	11	3	520.1	1	1	0 0 3	2
276.5664	1	11	2	540	1	1	0 2 0	3
278.6309	1	11	2	753.3	1	1	0 2 0	4
280.8286	1	11	1	452	1	1	1 0 0	5
282.66	1	11	3	619.1	1	1	0 0 3	6
284.0751	1	12	2	881.8	1	1	2 1 1	1
285.9898	1	12	2	940.4	1	1	2 3 3	2
288.3539	1	12	1	681.2	1	1	2 2 1	3
291.3341	1	12	3	682.6	1	1	3 1 1	4
292.7992	1	12	2	667.1	1	1	1 1 2	5
294.2311	1	12	2	736.1	1	1	1 1 2	6
295.9126	1	12	3	770.7	1	1	3 1 1	7
297.6441	1	12	1	895.4	1	1	3 3 1	8
299.6254	1	11	3	655.2	1	1	0 0 3	1
301.4401	1	11	3	599.8	1	1	0 0 3	2
302.9718	1	11	1	915.2	1	1	1 0 0	3
304.8199	1	11	3	600.1	1	1	0 0 3	4
307.6835	1	11	2	500.5	1	1	0 2 0	5
310.4972	1	11	2	783.1	1	1	0 2 0	6
312.2953	1	12	2	969.1	1	1	3 3 2	1
314.6262	1	12	2	650.7	1	1	2 3 3	2
317.007	1	12	2	737.9	1	1	2 1 1	3
319.4544	1	12	3	820.4	1	1	3 1 1	4
321.4689	1	11	2	1033.9	1	1	0 2 0	1
323.4502	1	11	1	571.3	1	1	1 0 0	2
324.9985	1	11	3	569.9	1	1	0 0 3	3
327.0963	1	11	3	715.7	1	1	0 0 3	4
328.8778	1	11	2	594.3	1	1	0 2 0	5
331.808	1	11	1	451.7	1	1	1 0 0	6
334.6716	1	11	3	514.4	1	1	0 0 3	7
336.553	1	11	3	595.3	1	1	0 0 3	8
