onset	duration	value	response	rt	good	Acu	estim	trial
76.3782	1	11	1	672.6	1	1	1 0 0	1
78.6757	1	11	1	429.7	1	1	1 0 0	2
80.2408	1	11	3	434.5	1	1	0 0 3	3
82.0888	1	11	2	395.7	1	1	0 2 0	4
85.0024	1	11	3	488.7	1	1	0 0 3	5
86.351	1	12	2	743.1	1	1	2 1 1	1
87.7657	1	12	2	859	1	1	3 3 2	2
90.6298	1	12	2	660.3	1	1	2 1 1	3
92.1781	1	12	2	584.7	1	1	2 1 1	4
94.0262	1	12	3	718.1	1	0	3 3 2	5
96.8898	1	12	2	622.9	1	1	3 3 2	6
98.7046	1	11	3	559.2	1	1	0 0 3	1
100.2529	1	11	1	474.4	1	1	1 0 0	2
102.8502	1	11	1	402.1	1	1	1 0 0	3
105.7305	1	11	2	444.6	1	1	0 2 0	4
107.7284	1	12	2	827.6	1	1	3 3 2	1
109.2268	1	12	3	778.1	1	1	3 1 1	2
110.6253	1	12	1	753.2	1	1	2 2 1	3
112.4067	1	12	3	561.6	1	1	3 1 1	4
115.3037	1	12	2	709.3	1	1	3 3 2	5
117.235	1	12	3	675.3	1	1	3 1 1	6
118.9831	1	12	2	592.3	1	1	2 1 1	7
121.0476	1	11	1	447.1	1	1	1 0 0	1
122.4794	1	11	1	438.2	1	1	1 0 0	2
125.06	1	11	3	574.8	1	1	0 0 3	3
127.0983	1	12	2	524	1	1	2 1 1	1
129.1058	1	12	2	453.9	1	1	2 1 1	2
132.0526	1	11	2	440.6	1	1	0 2 0	1
133.7009	1	11	3	389.1	1	1	0 0 3	2
135.3159	1	11	2	381.2	1	1	0 2 0	3
137.6634	1	11	1	408.5	1	1	1 0 0	4
139.9277	1	11	2	390.9	1	1	0 2 0	5
142.6414	1	11	2	343.4	1	1	0 2 0	6
144.6393	1	11	1	379	1	1	1 0 0	7
147.453	1	11	1	348.6	1	1	1 0 0	8
149.401	1	11	2	332	1	1	0 2 0	1
151.3489	1	11	1	414.7	1	1	1 0 0	2
153.3301	1	11	2	356.8	1	1	0 2 0	3
