onset	duration	value	response	rt	good	TMS	delta	fixed	seq
146.575	1	81	n/a	n/a	1	0	0	0	0
146.775	1	81	n/a	n/a	1	0	0	0	0
146.975	1	81	n/a	n/a	1	0	0	0	0
147.175	1	81	n/a	n/a	1	0	0	0	0
147.375	1	81	n/a	n/a	1	0	0	0	0
147.575	1	81	n/a	n/a	1	0	0	0	0
147.775	1	81	n/a	n/a	1	0	0	0	0
147.975	1	81	n/a	n/a	1	0	0	0	0
148.175	1	81	n/a	n/a	1	0	0	0	0
148.375	1	81	n/a	n/a	1	0	0	0	0
149.732	1	10	n/a	n/a	1	51	-0.1	0	1
151.0486	1	10	n/a	n/a	1	51	0	0	2
152.1652	1	10	n/a	n/a	1	51	2.9104e-11	0	3
153.2818	1	21	n/a	n/a	1	51	-2.9104e-11	0	0
154.5984	1	10	n/a	n/a	1	51	0	0	1
155.8816	1	10	n/a	n/a	1	51	-0.1	0	2
156.9982	1	10	n/a	n/a	1	51	0	0	3
158.1148	1	10	n/a	n/a	1	51	-2.9104e-11	0	4
159.3148	1	10	n/a	n/a	1	51	0.1	0	5
160.4148	1	10	n/a	n/a	1	51	0	0	6
161.5314	1	10	n/a	n/a	1	51	0	0	7
162.648	1	21	n/a	n/a	1	51	0	0	0
163.9146	1	10	n/a	n/a	1	51	0	0	1
165.1812	1	10	n/a	n/a	1	51	2.9104e-11	0	2
166.431	1	10	n/a	n/a	1	51	-0.1	0	3
167.681	1	10	n/a	n/a	1	51	0.1	0	4
168.9642	1	10	n/a	n/a	1	51	-0.1	0	5
170.2642	1	10	n/a	n/a	1	51	0.1	0	6
171.3308	1	10	n/a	n/a	1	51	-2.9104e-11	0	7
172.3974	1	21	n/a	n/a	1	51	0	0	0
173.2078	1	81	n/a	n/a	1	0	0	0	0
173.4078	1	81	n/a	n/a	1	0	0	0	0
173.6078	1	81	n/a	n/a	1	0	0	0	0
173.8078	1	81	n/a	n/a	1	0	0	0	0
174.0078	1	81	n/a	n/a	1	0	0	0	0
174.2084	1	81	n/a	n/a	1	0	-0.2	0	0
174.4084	1	81	n/a	n/a	1	0	0	0	0
174.6084	1	81	n/a	n/a	1	0	0	0	0
174.8084	1	81	n/a	n/a	1	0	0	0	0
175.0084	1	81	n/a	n/a	1	0	0	0	0
176.1304	1	10	n/a	n/a	1	51	0	0	1
177.447	1	10	n/a	n/a	1	51	2.9104e-11	0	2
178.7136	1	10	n/a	n/a	1	51	0	0	3
179.9802	1	21	n/a	n/a	1	51	0.1	0	0
181.0802	1	10	n/a	n/a	1	51	0	0	1
182.23	1	10	n/a	n/a	1	51	-0.1	0	2
183.38	1	10	n/a	n/a	1	51	0	0	3
184.53	1	21	n/a	n/a	1	51	0.1	0	0
185.6298	1	10	n/a	n/a	1	51	-0.1	0	1
186.7298	1	10	n/a	n/a	1	51	0	0	2
188.0298	1	10	n/a	n/a	1	51	0.1	0	3
189.2964	1	10	n/a	n/a	1	51	0	0	4
190.513	1	10	n/a	n/a	1	51	0	0	5
191.7296	1	21	n/a	n/a	1	51	2.9104e-11	0	0
192.9794	1	10	n/a	n/a	1	51	-0.1	0	1
194.246	1	10	n/a	n/a	1	51	2.9104e-11	0	2
195.5126	1	10	n/a	n/a	1	51	-2.9104e-11	0	3
196.7792	1	21	n/a	n/a	1	51	2.9104e-11	0	0
197.8792	1	10	n/a	n/a	1	51	0	0	1
199.179	1	10	n/a	n/a	1	51	-0.1	0	2
200.1214	1	81	n/a	n/a	1	0	2.9104e-11	0	0
200.3214	1	81	n/a	n/a	1	0	0	0	0
200.5214	1	81	n/a	n/a	1	0	0	0	0
200.7214	1	81	n/a	n/a	1	0	0	0	0
200.9214	1	81	n/a	n/a	1	0	0	0	0
201.1214	1	81	n/a	n/a	1	0	0	0	0
201.3214	1	81	n/a	n/a	1	0	0	0	0
201.5214	1	81	n/a	n/a	1	0	0	0	0
201.7214	1	81	n/a	n/a	1	0	0	0	0
201.9214	1	81	n/a	n/a	1	0	0	0	0
203.0788	1	10	n/a	n/a	1	51	-2.9104e-11	0	1
204.1954	1	10	n/a	n/a	1	51	2.9104e-11	0	2
205.2454	1	10	n/a	n/a	1	51	0.1	0	3
206.362	1	10	n/a	n/a	1	51	2.9104e-11	0	4
207.4786	1	10	n/a	n/a	1	51	-2.9104e-11	0	5
208.5618	1	10	n/a	n/a	1	51	-0.1	0	6
209.8284	1	10	n/a	n/a	1	51	2.9104e-11	0	7
211.095	1	21	n/a	n/a	1	51	-2.9104e-11	0	0
212.295	1	10	n/a	n/a	1	51	0.1	0	1
213.495	1	21	n/a	n/a	1	51	0	0	0
214.8114	1	10	n/a	n/a	1	51	-0.2	0	1
216.128	1	21	n/a	n/a	1	51	0.1	0	0
217.3946	1	10	n/a	n/a	1	51	2.9104e-11	0	1
218.678	1	10	n/a	n/a	1	51	0.1	0	2
219.7278	1	10	n/a	n/a	1	51	-0.2	0	3
221.0612	1	10	n/a	n/a	1	51	0.2	0	4
222.3778	1	10	n/a	n/a	1	51	-2.9104e-11	0	5
223.5944	1	10	n/a	n/a	1	51	0	0	6
224.7276	1	10	n/a	n/a	1	51	-0.1	0	7
225.8608	1	21	n/a	n/a	1	51	-2.9104e-11	0	0
226.6516	1	81	n/a	n/a	1	0	0.1	0	0
226.8516	1	81	n/a	n/a	1	0	0	0	0
227.0516	1	81	n/a	n/a	1	0	0	0	0
227.2516	1	81	n/a	n/a	1	0	0	0	0
227.4514	1	81	n/a	n/a	1	0	-0.2	0	0
227.6524	1	81	n/a	n/a	1	0	0.1	0	0
227.8524	1	81	n/a	n/a	1	0	0	0	0
