onset	duration	value	response	rt	good	TMS	seq
100.4668	1	81	n/a	n/a	1	0	0
100.6668	1	81	n/a	n/a	1	0	0
100.8668	1	81	n/a	n/a	1	0	0
101.0668	1	81	n/a	n/a	1	0	0
101.2668	1	81	n/a	n/a	1	0	0
101.4668	1	81	n/a	n/a	1	0	0
101.6668	1	81	n/a	n/a	1	0	0
101.8668	1	81	n/a	n/a	1	0	0
102.0668	1	81	n/a	n/a	1	0	0
102.2668	1	81	n/a	n/a	1	0	0
103.7008	1	10	403.4	403.4	1	51	1
105.034	1	21	286.1	286.1	1	51	0
106.3006	1	10	283.5	283.5	1	51	1
107.534	1	10	330.2	330.2	1	51	2
108.5838	1	10	288.2	288.2	1	51	3
109.8172	1	10	302.9	302.9	1	51	4
111.0504	1	10	253.7	253.7	1	51	5
112.3502	1	10	281.6	281.6	1	51	6
113.6336	1	10	342.4	342.4	1	51	7
114.9168	1	21	-99	-99	1	51	0
116.0834	1	10	260.5	260.5	1	51	1
117.2166	1	10	327.2	327.2	1	51	2
118.4666	1	10	277.3	277.3	1	51	3
119.5832	1	10	328.6	328.6	1	51	4
120.7832	1	10	280.6	280.6	1	51	5
122.0998	1	10	276	276	1	51	6
123.3664	1	10	273.4	273.4	1	51	7
124.633	1	21	-99	-99	1	51	0
125.8828	1	10	236.8	236.8	1	51	1
127.016	1	10	287.5	287.5	1	51	2
128.0184	1	81	n/a	n/a	1	0	0
128.2184	1	81	n/a	n/a	1	0	0
128.4184	1	81	n/a	n/a	1	0	0
128.6184	1	81	n/a	n/a	1	0	0
128.8184	1	81	n/a	n/a	1	0	0
129.0186	1	81	n/a	n/a	1	0	0
129.2186	1	81	n/a	n/a	1	0	0
129.4186	1	81	n/a	n/a	1	0	0
129.6184	1	81	n/a	n/a	1	0	0
129.8184	1	81	n/a	n/a	1	0	0
131.0992	1	10	332.3	332.3	1	51	1
132.3324	1	10	283	283	1	51	2
133.3824	1	10	337.1	337.1	1	51	3
134.4156	1	10	375.8	375.8	1	51	4
135.6656	1	10	277.9	277.9	1	51	5
136.7156	1	10	331.9	331.9	1	51	6
137.8488	1	10	286.7	286.7	1	51	7
138.982	1	21	-99	-99	1	51	0
140.032	1	10	295.3	295.3	1	51	1
141.082	1	21	-99	-99	1	51	0
142.1986	1	10	336.8	336.8	1	51	1
143.3984	1	10	288.9	288.9	1	51	2
144.4484	1	10	294.8	294.8	1	51	3
145.4984	1	21	-99	-99	1	51	0
146.815	1	10	344.3	344.3	1	51	1
148.1148	1	10	260.3	260.3	1	51	2
149.2148	1	10	280.4	280.4	1	51	3
150.4314	1	10	263.8	263.8	1	51	4
151.6646	1	10	262.4	262.4	1	51	5
152.8478	1	10	279.2	279.2	1	51	6
153.9224	1	81	n/a	n/a	1	0	0
154.1224	1	81	n/a	n/a	1	0	0
154.3224	1	81	n/a	n/a	1	0	0
154.5224	1	81	n/a	n/a	1	0	0
154.7224	1	81	n/a	n/a	1	0	0
154.9224	1	81	n/a	n/a	1	0	0
155.1224	1	81	n/a	n/a	1	0	0
155.3224	1	81	n/a	n/a	1	0	0
155.5224	1	81	n/a	n/a	1	0	0
155.7224	1	81	n/a	n/a	1	0	0
157.031	1	10	287.9	287.9	1	51	1
158.0642	1	10	278.7	278.7	1	51	2
159.2308	1	10	248	248	1	51	3
160.4308	1	10	280.1	280.1	1	51	4
161.7474	1	10	275.5	275.5	1	51	5
163.064	1	21	-99	-99	1	51	0
164.2472	1	10	255.5	255.5	1	51	1
165.4304	1	21	-99	-99	1	51	0
166.5304	1	10	276.3	276.3	1	51	1
167.6136	1	10	297.1	297.1	1	51	2
168.8636	1	10	311.1	311.1	1	51	3
170.1136	1	21	-99	-99	1	51	0
171.3134	1	10	261.1	261.1	1	51	1
172.53	1	10	292.5	292.5	1	51	2
173.6134	1	10	281.3	281.3	1	51	3
174.88	1	10	262.6	262.6	1	51	4
176.1966	1	10	274	274	1	51	5
177.513	1	21	-99	-99	1	51	0
178.6796	1	10	238.8	238.8	1	51	1
179.963	1	10	395.5	395.5	1	51	2
180.7894	1	81	n/a	n/a	1	0	0
180.9894	1	81	n/a	n/a	1	0	0
181.1894	1	81	n/a	n/a	1	0	0
181.3894	1	81	n/a	n/a	1	0	0
181.5894	1	81	n/a	n/a	1	0	0
181.7894	1	81	n/a	n/a	1	0	0
181.9894	1	81	n/a	n/a	1	0	0
182.1894	1	81	n/a	n/a	1	0	0
182.3894	1	81	n/a	n/a	1	0	0
182.5894	1	81	n/a	n/a	1	0	0
183.846	1	10	336.3	336.3	1	51	1
185.0126	1	21	-99	-99	1	51	0
186.296	1	10	286.4	286.4	1	51	1
187.4958	1	10	286.5	286.5	1	51	2
188.6458	1	10	304.4	304.4	1	51	3
189.679	1	10	279.2	279.2	1	51	4
190.7956	1	10	282.5	282.5	1	51	5
191.9122	1	21	-99	-99	1	51	0
193.1288	1	10	285.3	285.3	1	51	1
194.2788	1	10	287.4	287.4	1	51	2
195.312	1	10	326	326	1	51	3
196.5286	1	10	261.4	261.4	1	51	4
197.7118	1	10	262.1	262.1	1	51	5
198.8952	1	21	-99	-99	1	51	0
200.1284	1	10	277.6	277.6	1	51	1
201.295	1	10	278.9	278.9	1	51	2
202.3782	1	10	283.6	283.6	1	51	3
203.5616	1	10	268.3	268.3	1	51	4
204.6448	1	10	257.1	257.1	1	51	5
205.728	1	21	277.8	277.8	1	51	0
206.6216	1	81	n/a	n/a	1	0	0
206.8216	1	81	n/a	n/a	1	0	0
207.0216	1	81	n/a	n/a	1	0	0
207.2216	1	81	n/a	n/a	1	0	0
207.4216	1	81	n/a	n/a	1	0	0
207.6216	1	81	n/a	n/a	1	0	0
207.8216	1	81	n/a	n/a	1	0	0
208.0216	1	81	n/a	n/a	1	0	0
208.2216	1	81	n/a	n/a	1	0	0
208.4216	1	81	n/a	n/a	1	0	0
209.6778	1	10	375.9	375.9	1	51	1
210.9612	1	10	292.6	292.6	1	51	2
212.161	1	10	292.7	292.7	1	51	3
213.3944	1	10	307.4	307.4	1	51	4
214.6442	1	10	369.4	369.4	1	51	5
215.8942	1	21	-99	-99	1	51	0
217.0774	1	10	288.2	288.2	1	51	1
218.2606	1	21	-99	-99	1	51	0
219.5106	1	10	239	239	1	51	1
220.7606	1	21	-99	-99	1	51	0
