onset	duration	value	response	rt	good	TMS	seq
54.9558	1	81	n/a	n/a	1	0	0
55.1558	1	81	n/a	n/a	1	0	0
55.3558	1	81	n/a	n/a	1	0	0
55.5558	1	81	n/a	n/a	1	0	0
55.7558	1	81	n/a	n/a	1	0	0
55.9558	1	81	n/a	n/a	1	0	0
56.1558	1	81	n/a	n/a	1	0	0
56.3558	1	81	n/a	n/a	1	0	0
56.5558	1	81	n/a	n/a	1	0	0
56.7558	1	81	n/a	n/a	1	0	0
57.9942	1	10	381.7	381.7	1	51	1
59.3108	1	10	361.1	361.1	1	51	2
60.3608	1	10	287.2	287.2	1	51	3
61.4108	1	21	293.2	293.2	1	51	0
62.4774	1	10	250.6	250.6	1	51	1
63.5774	1	10	286.6	286.6	1	51	2
64.8272	1	10	300.7	300.7	1	51	3
66.0772	1	10	330.7	330.7	1	51	4
67.1604	1	10	319.4	319.4	1	51	5
68.4104	1	10	285.4	285.4	1	51	6
69.4602	1	10	291.5	291.5	1	51	7
70.5102	1	21	-99	-99	1	51	0
71.5936	1	10	270.3	270.3	1	51	1
72.8934	1	10	330.3	330.3	1	51	2
74.11	1	10	281.7	281.7	1	51	3
75.2766	1	10	299.1	299.1	1	51	4
76.3266	1	10	305.1	305.1	1	51	5
77.3766	1	21	-99	-99	1	51	0
78.6264	1	10	261.1	261.1	1	51	1
79.893	1	10	274.5	274.5	1	51	2
80.7064	1	81	n/a	n/a	1	0	0
80.9064	1	81	n/a	n/a	1	0	0
81.1064	1	81	n/a	n/a	1	0	0
81.3064	1	81	n/a	n/a	1	0	0
81.5064	1	81	n/a	n/a	1	0	0
81.7066	1	81	n/a	n/a	1	0	0
81.9066	1	81	n/a	n/a	1	0	0
82.1066	1	81	n/a	n/a	1	0	0
82.3066	1	81	n/a	n/a	1	0	0
82.5064	1	81	n/a	n/a	1	0	0
83.6928	1	10	298.6	298.6	1	51	1
84.826	1	10	301.4	301.4	1	51	2
86.0094	1	10	286.1	286.1	1	51	3
87.176	1	10	303.5	303.5	1	51	4
88.4092	1	10	286.1	286.1	1	51	5
89.6424	1	21	-99	-99	1	51	0
90.709	1	10	258.3	258.3	1	51	1
91.7924	1	10	279	279	1	51	2
93.009	1	10	294.3	294.3	1	51	3
94.2588	1	10	292.4	292.4	1	51	4
95.3754	1	10	311.7	311.7	1	51	5
96.492	1	21	-99	-99	1	51	0
97.6754	1	10	235.9	235.9	1	51	1
98.842	1	10	269.2	269.2	1	51	2
100.0918	1	10	267.2	267.2	1	51	3
101.3418	1	21	-99	-99	1	51	0
102.375	1	10	256	256	1	51	1
103.4084	1	10	262.8	262.8	1	51	2
104.575	1	10	248.1	248.1	1	51	3
105.7416	1	21	-99	-99	1	51	0
106.4812	1	81	n/a	n/a	1	0	0
106.6812	1	81	n/a	n/a	1	0	0
106.8812	1	81	n/a	n/a	1	0	0
107.0812	1	81	n/a	n/a	1	0	0
107.2812	1	81	n/a	n/a	1	0	0
107.4812	1	81	n/a	n/a	1	0	0
107.6812	1	81	n/a	n/a	1	0	0
107.8812	1	81	n/a	n/a	1	0	0
108.0812	1	81	n/a	n/a	1	0	0
108.2812	1	81	n/a	n/a	1	0	0
109.4414	1	10	357.5	357.5	1	51	1
110.7246	1	10	290.3	290.3	1	51	2
111.7912	1	10	247.7	247.7	1	51	3
113.1078	1	10	291.1	291.1	1	51	4
114.2576	1	10	293	293	1	51	5
115.291	1	10	283.8	283.8	1	51	6
116.441	1	10	301.8	301.8	1	51	7
117.5908	1	21	-99	-99	1	51	0
118.7074	1	10	243.3	243.3	1	51	1
119.774	1	10	280.7	280.7	1	51	2
120.974	1	10	328.6	328.6	1	51	3
122.1906	1	10	296	296	1	51	4
123.3904	1	10	296.1	296.1	1	51	5
124.557	1	10	297.4	297.4	1	51	6
125.707	1	10	315.5	315.5	1	51	7
126.857	1	21	-99	-99	1	51	0
128.0068	1	10	287.6	287.6	1	51	1
129.0734	1	10	309	309	1	51	2
130.3568	1	10	225.7	225.7	1	51	3
131.64	1	21	-99	-99	1	51	0
132.5446	1	81	n/a	n/a	1	0	0
132.7446	1	81	n/a	n/a	1	0	0
132.9446	1	81	n/a	n/a	1	0	0
133.1446	1	81	n/a	n/a	1	0	0
133.3446	1	81	n/a	n/a	1	0	0
133.5446	1	81	n/a	n/a	1	0	0
133.7446	1	81	n/a	n/a	1	0	0
133.9446	1	81	n/a	n/a	1	0	0
134.1446	1	81	n/a	n/a	1	0	0
134.3446	1	81	n/a	n/a	1	0	0
135.5732	1	10	289.2	289.2	1	51	1
136.8064	1	10	287.9	287.9	1	51	2
138.0064	1	10	303.9	303.9	1	51	3
139.1896	1	10	256.7	256.7	1	51	4
140.4228	1	10	335.4	335.4	1	51	5
141.656	1	21	-99	-99	1	51	0
142.7894	1	10	240.8	240.8	1	51	1
144.056	1	10	286.2	286.2	1	51	2
145.2558	1	10	286.2	286.2	1	51	3
146.5724	1	10	297.5	297.5	1	51	4
147.6558	1	10	286.3	286.3	1	51	5
148.739	1	21	243	243	1	51	0
149.9056	1	10	228.4	228.4	1	51	1
151.1388	1	10	227.1	227.1	1	51	2
152.2222	1	10	231.8	231.8	1	51	3
153.5554	1	10	274.5	274.5	1	51	4
154.6554	1	10	278.6	278.6	1	51	5
155.7552	1	10	346.6	346.6	1	51	6
157.0218	1	10	344	344	1	51	7
158.2884	1	21	-99	-99	1	51	0
159.2632	1	81	n/a	n/a	1	0	0
159.4632	1	81	n/a	n/a	1	0	0
159.6632	1	81	n/a	n/a	1	0	0
159.8632	1	81	n/a	n/a	1	0	0
160.0632	1	81	n/a	n/a	1	0	0
160.2632	1	81	n/a	n/a	1	0	0
160.4632	1	81	n/a	n/a	1	0	0
160.6632	1	81	n/a	n/a	1	0	0
160.8632	1	81	n/a	n/a	1	0	0
161.0632	1	81	n/a	n/a	1	0	0
162.4216	1	10	336.1	336.1	1	51	1
163.5714	1	10	322.2	322.2	1	51	2
164.8214	1	10	272.2	272.2	1	51	3
165.888	1	10	261.6	261.6	1	51	4
166.9712	1	10	234.3	234.3	1	51	5
168.2378	1	10	263.7	263.7	1	51	6
169.3378	1	10	219.7	219.7	1	51	7
170.4378	1	21	-99	-99	1	51	0
171.7376	1	10	235.9	235.9	1	51	1
172.9542	1	10	427.3	427.3	1	51	2
174.1208	1	10	236.6	236.6	1	51	3
175.3208	1	10	316.6	316.6	1	51	4
176.3874	1	10	274	274	1	51	5
177.6206	1	10	304.7	304.7	1	51	6
178.804	1	10	257.4	257.4	1	51	7
179.9872	1	21	-99	-99	1	51	0
181.0872	1	10	182.2	182.2	1	51	1
182.187	1	21	202.2	202.2	1	51	0
183.5204	1	10	-99	-99	1	51	1
184.6036	1	10	233.6	233.6	1	51	2
194.9314	1	82	n/a	n/a	1	0	0
195.1644	1	82	n/a	n/a	1	0	0
195.4214	1	82	n/a	n/a	1	0	0
195.7794	1	82	n/a	n/a	1	0	0
195.8714	1	82	n/a	n/a	1	0	0
195.9314	1	82	n/a	n/a	1	0	0
196.0894	1	82	n/a	n/a	1	0	0
196.1494	1	82	n/a	n/a	1	0	0
196.4134	1	82	n/a	n/a	1	0	0
196.5434	1	82	n/a	n/a	1	0	0
197.9194	1	10	357.5	357.5	1	50	1
198.9528	1	10	268.2	268.2	1	50	2
200.236	1	10	264.8	264.8	1	50	3
201.5192	1	21	-99	-99	1	50	0
202.6858	1	10	230.9	230.9	1	50	1
203.9692	1	10	243.7	243.7	1	50	2
205.1024	1	10	278.4	278.4	1	50	3
206.2024	1	10	298.4	298.4	1	50	4
207.2522	1	10	272.4	272.4	1	50	5
208.5522	1	10	316.5	316.5	1	50	6
209.6354	1	10	417.2	417.2	1	50	7
210.7188	1	21	-99	-99	1	50	0
211.9686	1	10	243.9	243.9	1	50	1
213.1686	1	10	324	324	1	50	2
214.3686	1	10	276.1	276.1	1	50	3
215.5518	1	10	228.8	228.8	1	50	4
216.6518	1	10	248.7	248.7	1	50	5
217.735	1	10	253.5	253.5	1	50	6
218.785	1	10	387.5	387.5	1	50	7
219.8348	1	21	281.6	281.6	1	50	0
220.9164	1	82	n/a	n/a	1	0	0
221.0134	1	82	n/a	n/a	1	0	0
221.3254	1	82	n/a	n/a	1	0	0
221.4864	1	82	n/a	n/a	1	0	0
221.6234	1	82	n/a	n/a	1	0	0
221.9164	1	82	n/a	n/a	1	0	0
222.2614	1	82	n/a	n/a	1	0	0
222.4854	1	82	n/a	n/a	1	0	0
222.5184	1	82	n/a	n/a	1	0	0
222.6664	1	82	n/a	n/a	1	0	0
223.868	1	10	312.4	312.4	1	50	1
224.9678	1	10	268.4	268.4	1	50	2
226.0012	1	10	275.2	275.2	1	50	3
227.2844	1	10	287.8	287.8	1	50	4
228.401	1	10	291.2	291.2	1	50	5
229.501	1	10	311.2	311.2	1	50	6
230.5342	1	10	286	286	1	50	7
231.5676	1	21	-99	-99	1	50	0
232.6342	1	10	266	266	1	50	1
233.7674	1	10	332.7	332.7	1	50	2
234.834	1	10	258.1	258.1	1	50	3
236.134	1	10	270.2	270.2	1	50	4
237.3672	1	10	396.8	396.8	1	50	5
238.6838	1	10	232.2	232.2	1	50	6
239.8004	1	10	235.6	235.6	1	50	7
240.917	1	21	239	239	1	50	0
242.2336	1	10	218.4	218.4	1	50	1
243.3168	1	10	223	223	1	50	2
244.6	1	10	251.8	251.8	1	50	3
245.8834	1	21	-99	-99	1	50	0
246.611	1	82	n/a	n/a	1	0	0
