onset	duration	value	response	rt	good	TMS	seq
163.425	1	81	n/a	n/a	1	0	0
163.625	1	81	n/a	n/a	1	0	0
163.825	1	81	n/a	n/a	1	0	0
164.025	1	81	n/a	n/a	1	0	0
164.225	1	81	n/a	n/a	1	0	0
164.425	1	81	n/a	n/a	1	0	0
164.625	1	81	n/a	n/a	1	0	0
164.825	1	81	n/a	n/a	1	0	0
165.025	1	81	n/a	n/a	1	0	0
165.225	1	81	n/a	n/a	1	0	0
166.6346	1	10	n/a	n/a	1	51	1
167.9512	1	10	n/a	n/a	1	51	2
169.0344	1	10	n/a	n/a	1	51	3
170.1678	1	10	n/a	n/a	1	51	4
171.2344	1	10	n/a	n/a	1	51	5
172.301	1	21	n/a	n/a	1	51	0
173.5008	1	10	n/a	n/a	1	51	1
174.6008	1	10	n/a	n/a	1	51	2
175.6674	1	10	n/a	n/a	1	51	3
176.934	1	10	n/a	n/a	1	51	4
178.034	1	10	n/a	n/a	1	51	5
179.3506	1	10	n/a	n/a	1	51	6
180.4838	1	10	n/a	n/a	1	51	7
181.617	1	21	n/a	n/a	1	51	0
182.8002	1	10	n/a	n/a	1	51	1
183.8336	1	10	n/a	n/a	1	51	2
185.0334	1	10	n/a	n/a	1	51	3
186.1002	1	10	n/a	n/a	1	51	4
187.3334	1	10	n/a	n/a	1	51	5
188.5666	1	21	n/a	n/a	1	51	0
199.901	1	81	n/a	n/a	1	0	0
200.101	1	81	n/a	n/a	1	0	0
200.301	1	81	n/a	n/a	1	0	0
200.501	1	81	n/a	n/a	1	0	0
200.701	1	81	n/a	n/a	1	0	0
200.901	1	81	n/a	n/a	1	0	0
201.101	1	81	n/a	n/a	1	0	0
201.301	1	81	n/a	n/a	1	0	0
201.501	1	81	n/a	n/a	1	0	0
201.701	1	81	n/a	n/a	1	0	0
202.9324	1	10	n/a	n/a	1	51	1
204.099	1	10	n/a	n/a	1	51	2
205.199	1	10	n/a	n/a	1	51	3
206.5156	1	10	n/a	n/a	1	51	4
207.6488	1	10	n/a	n/a	1	51	5
208.782	1	21	n/a	n/a	1	51	0
209.932	1	10	n/a	n/a	1	51	1
211.0986	1	10	n/a	n/a	1	51	2
212.3818	1	10	n/a	n/a	1	51	3
213.6652	1	21	n/a	n/a	1	51	0
214.815	1	10	n/a	n/a	1	51	1
215.965	1	21	n/a	n/a	1	51	0
217.2816	1	10	n/a	n/a	1	51	1
218.5982	1	21	n/a	n/a	1	51	0
219.8814	1	10	n/a	n/a	1	51	1
220.9646	1	10	n/a	n/a	1	51	2
221.9812	1	10	n/a	n/a	1	51	3
223.0312	1	10	n/a	n/a	1	51	4
224.0646	1	10	n/a	n/a	1	51	5
225.2644	1	10	n/a	n/a	1	51	6
236.1788	1	81	n/a	n/a	1	0	0
236.3788	1	81	n/a	n/a	1	0	0
236.5788	1	81	n/a	n/a	1	0	0
236.7788	1	81	n/a	n/a	1	0	0
236.9788	1	81	n/a	n/a	1	0	0
237.1788	1	81	n/a	n/a	1	0	0
237.3788	1	81	n/a	n/a	1	0	0
237.5788	1	81	n/a	n/a	1	0	0
237.7788	1	81	n/a	n/a	1	0	0
237.9788	1	81	n/a	n/a	1	0	0
239.2636	1	10	n/a	n/a	1	51	1
240.5468	1	10	n/a	n/a	1	51	2
241.5802	1	10	n/a	n/a	1	51	3
242.6468	1	10	n/a	n/a	1	51	4
243.9634	1	10	n/a	n/a	1	51	5
245.28	1	21	n/a	n/a	1	51	0
246.3966	1	10	n/a	n/a	1	51	1
247.5464	1	10	n/a	n/a	1	51	2
248.5798	1	10	n/a	n/a	1	51	3
249.613	1	21	n/a	n/a	1	51	0
250.6462	1	10	n/a	n/a	1	51	1
251.8462	1	10	n/a	n/a	1	51	2
253.1462	1	10	n/a	n/a	1	51	3
254.4628	1	10	n/a	n/a	1	51	4
255.6626	1	10	n/a	n/a	1	51	5
256.8626	1	21	n/a	n/a	1	51	0
257.9124	1	10	n/a	n/a	1	51	1
259.1458	1	10	n/a	n/a	1	51	2
260.4624	1	10	n/a	n/a	1	51	3
261.729	1	10	n/a	n/a	1	51	4
272.1964	1	81	n/a	n/a	1	0	0
272.3964	1	81	n/a	n/a	1	0	0
272.5964	1	81	n/a	n/a	1	0	0
272.7964	1	81	n/a	n/a	1	0	0
272.9964	1	81	n/a	n/a	1	0	0
273.1964	1	81	n/a	n/a	1	0	0
273.3964	1	81	n/a	n/a	1	0	0
273.5964	1	81	n/a	n/a	1	0	0
273.7964	1	81	n/a	n/a	1	0	0
273.9964	1	81	n/a	n/a	1	0	0
275.3948	1	10	n/a	n/a	1	51	1
276.6948	1	21	n/a	n/a	1	51	0
277.9946	1	10	n/a	n/a	1	51	1
279.1612	1	10	n/a	n/a	1	51	2
280.2944	1	10	n/a	n/a	1	51	3
281.411	1	10	n/a	n/a	1	51	4
282.7444	1	10	n/a	n/a	1	51	5
283.9442	1	10	n/a	n/a	1	51	6
285.0442	1	10	n/a	n/a	1	51	7
286.1442	1	21	n/a	n/a	1	51	0
287.2274	1	10	n/a	n/a	1	51	1
288.5274	1	10	n/a	n/a	1	51	2
289.7106	1	10	n/a	n/a	1	51	3
291.0106	1	10	n/a	n/a	1	51	4
292.0772	1	10	n/a	n/a	1	51	5
293.3438	1	10	n/a	n/a	1	51	6
294.5604	1	10	n/a	n/a	1	51	7
295.777	1	21	n/a	n/a	1	51	0
297.0268	1	10	n/a	n/a	1	51	1
298.2768	1	10	n/a	n/a	1	51	2
359.1436	1	81	n/a	n/a	1	0	0
359.2266	1	81	n/a	n/a	1	0	0
359.5866	1	81	n/a	n/a	1	0	0
359.7546	1	81	n/a	n/a	1	0	0
359.9826	1	81	n/a	n/a	1	0	0
360.1436	1	81	n/a	n/a	1	0	0
360.4406	1	81	n/a	n/a	1	0	0
360.4626	1	81	n/a	n/a	1	0	0
360.5396	1	81	n/a	n/a	1	0	0
360.9766	1	81	n/a	n/a	1	0	0
362.3562	1	10	n/a	n/a	1	50	1
363.4896	1	10	n/a	n/a	1	50	2
364.8228	1	10	n/a	n/a	1	50	3
366.156	1	21	n/a	n/a	1	50	0
367.4394	1	10	n/a	n/a	1	50	1
368.7392	1	10	n/a	n/a	1	50	2
369.8726	1	10	n/a	n/a	1	50	3
371.0058	1	21	n/a	n/a	1	50	0
372.3058	1	10	n/a	n/a	1	50	1
373.589	1	10	n/a	n/a	1	50	2
374.7388	1	10	n/a	n/a	1	50	3
375.8888	1	21	n/a	n/a	1	50	0
376.9388	1	10	n/a	n/a	1	50	1
378.0386	1	10	n/a	n/a	1	50	2
379.2052	1	10	n/a	n/a	1	50	3
380.3718	1	21	n/a	n/a	1	50	0
381.6384	1	10	n/a	n/a	1	50	1
382.6718	1	10	n/a	n/a	1	50	2
383.9716	1	10	n/a	n/a	1	50	3
385.1716	1	10	n/a	n/a	1	50	4
396.3044	1	81	n/a	n/a	1	0	0
396.3414	1	81	n/a	n/a	1	0	0
396.4464	1	81	n/a	n/a	1	0	0
396.7614	1	81	n/a	n/a	1	0	0
397.1614	1	81	n/a	n/a	1	0	0
397.3044	1	81	n/a	n/a	1	0	0
397.4534	1	81	n/a	n/a	1	0	0
397.7424	1	81	n/a	n/a	1	0	0
398.0944	1	81	n/a	n/a	1	0	0
398.2154	1	81	n/a	n/a	1	0	0
399.504	1	10	n/a	n/a	1	50	1
400.804	1	21	n/a	n/a	1	50	0
402.054	1	10	n/a	n/a	1	50	1
403.3538	1	10	n/a	n/a	1	50	2
404.6538	1	10	n/a	n/a	1	50	3
405.787	1	10	n/a	n/a	1	50	4
406.937	1	10	n/a	n/a	1	50	5
408.1702	1	10	n/a	n/a	1	50	6
409.4202	1	10	n/a	n/a	1	50	7
410.67	1	21	n/a	n/a	1	50	0
411.9366	1	10	n/a	n/a	1	50	1
413.1032	1	10	n/a	n/a	1	50	2
414.3366	1	10	n/a	n/a	1	50	3
415.5698	1	21	n/a	n/a	1	50	0
416.603	1	10	n/a	n/a	1	50	1
417.6364	1	21	n/a	n/a	1	50	0
418.8362	1	10	n/a	n/a	1	50	1
420.1528	1	10	n/a	n/a	1	50	2
421.1862	1	10	n/a	n/a	1	50	3
422.286	1	10	n/a	n/a	1	50	4
433.3656	1	81	n/a	n/a	1	0	0
433.6116	1	81	n/a	n/a	1	0	0
433.8816	1	81	n/a	n/a	1	0	0
434.0476	1	81	n/a	n/a	1	0	0
434.0736	1	81	n/a	n/a	1	0	0
434.3656	1	81	n/a	n/a	1	0	0
434.4156	1	81	n/a	n/a	1	0	0
434.5586	1	81	n/a	n/a	1	0	0
434.7346	1	81	n/a	n/a	1	0	0
435.1116	1	81	n/a	n/a	1	0	0
436.4852	1	10	n/a	n/a	1	50	1
437.5352	1	10	n/a	n/a	1	50	2
438.6684	1	10	n/a	n/a	1	50	3
439.885	1	10	n/a	n/a	1	50	4
441.0182	1	10	n/a	n/a	1	50	5
442.3016	1	10	n/a	n/a	1	50	6
443.5014	1	10	n/a	n/a	1	50	7
444.7014	1	21	n/a	n/a	1	50	0
446.018	1	10	n/a	n/a	1	50	1
447.3346	1	21	n/a	n/a	1	50	0
448.3678	1	10	n/a	n/a	1	50	1
449.5512	1	10	n/a	n/a	1	50	2
450.701	1	10	n/a	n/a	1	50	3
451.7344	1	10	n/a	n/a	1	50	4
452.9676	1	10	n/a	n/a	1	50	5
454.0008	1	10	n/a	n/a	1	50	6
455.1842	1	10	n/a	n/a	1	50	7
456.3674	1	21	n/a	n/a	1	50	0
457.684	1	10	n/a	n/a	1	50	1
458.784	1	10	n/a	n/a	1	50	2
467.0074	1	81	n/a	n/a	1	0	0
467.2074	1	81	n/a	n/a	1	0	0
467.4074	1	81	n/a	n/a	1	0	0
467.6074	1	81	n/a	n/a	1	0	0
467.8074	1	81	n/a	n/a	1	0	0
468.0074	1	81	n/a	n/a	1	0	0
468.2074	1	81	n/a	n/a	1	0	0
468.4074	1	81	n/a	n/a	1	0	0
468.6074	1	81	n/a	n/a	1	0	0
468.8074	1	81	n/a	n/a	1	0	0
470.05	1	10	n/a	n/a	1	50	1
471.1832	1	10	n/a	n/a	1	50	2
472.2998	1	10	n/a	n/a	1	50	3
473.4164	1	21	n/a	n/a	1	50	0
474.6496	1	10	n/a	n/a	1	50	1
475.8662	1	10	n/a	n/a	1	50	2
477.0994	1	10	n/a	n/a	1	50	3
478.4328	1	10	n/a	n/a	1	50	4
479.6826	1	10	n/a	n/a	1	50	5
480.9326	1	21	n/a	n/a	1	50	0
482.0826	1	10	n/a	n/a	1	50	1
483.2324	1	21	n/a	n/a	1	50	0
484.499	1	10	n/a	n/a	1	50	1
485.5824	1	10	n/a	n/a	1	50	2
486.699	1	10	n/a	n/a	1	50	3
487.9322	1	10	n/a	n/a	1	50	4
489.1154	1	10	n/a	n/a	1	50	5
490.2988	1	21	n/a	n/a	1	50	0
491.332	1	10	n/a	n/a	1	50	1
492.3652	1	21	n/a	n/a	1	50	0
554.3378	1	81	n/a	n/a	1	0	0
554.4878	1	81	n/a	n/a	1	0	0
554.8128	1	81	n/a	n/a	1	0	0
554.8858	1	81	n/a	n/a	1	0	0
554.9378	1	81	n/a	n/a	1	0	0
555.3378	1	81	n/a	n/a	1	0	0
555.4718	1	81	n/a	n/a	1	0	0
555.7778	1	81	n/a	n/a	1	0	0
555.8818	1	81	n/a	n/a	1	0	0
556.1548	1	81	n/a	n/a	1	0	0
557.3614	1	10	n/a	n/a	1	52	1
558.478	1	10	n/a	n/a	1	52	2
559.778	1	10	n/a	n/a	1	52	3
561.0612	1	10	n/a	n/a	1	52	4
562.2444	1	10	n/a	n/a	1	52	5
563.4276	1	21	n/a	n/a	1	52	0
564.511	1	10	n/a	n/a	1	52	1
565.7442	1	10	n/a	n/a	1	52	2
566.7942	1	10	n/a	n/a	1	52	3
567.8442	1	21	n/a	n/a	1	52	0
568.994	1	10	n/a	n/a	1	52	1
570.1772	1	10	n/a	n/a	1	52	2
571.4938	1	10	n/a	n/a	1	52	3
572.5438	1	10	n/a	n/a	1	52	4
573.7438	1	10	n/a	n/a	1	52	5
574.9436	1	21	n/a	n/a	1	52	0
576.0936	1	10	n/a	n/a	1	52	1
577.3102	1	10	n/a	n/a	1	52	2
578.6102	1	10	n/a	n/a	1	52	3
579.91	1	21	n/a	n/a	1	52	0
588.2128	1	81	n/a	n/a	1	0	0
588.6048	1	81	n/a	n/a	1	0	0
588.8748	1	81	n/a	n/a	1	0	0
588.9268	1	81	n/a	n/a	1	0	0
589.0458	1	81	n/a	n/a	1	0	0
589.2128	1	81	n/a	n/a	1	0	0
589.3248	1	81	n/a	n/a	1	0	0
589.3858	1	81	n/a	n/a	1	0	0
589.6338	1	81	n/a	n/a	1	0	0
589.8008	1	81	n/a	n/a	1	0	0
591.3594	1	10	n/a	n/a	1	52	1
592.5926	1	10	n/a	n/a	1	52	2
593.7258	1	10	n/a	n/a	1	52	3
594.8592	1	21	n/a	n/a	1	52	0
596.0258	1	10	n/a	n/a	1	52	1
597.3256	1	10	n/a	n/a	1	52	2
598.409	1	10	n/a	n/a	1	52	3
599.5922	1	10	n/a	n/a	1	52	4
600.8588	1	10	n/a	n/a	1	52	5
602.1754	1	10	n/a	n/a	1	52	6
603.4586	1	10	n/a	n/a	1	52	7
604.742	1	21	n/a	n/a	1	52	0
606.0418	1	10	n/a	n/a	1	52	1
607.1918	1	10	n/a	n/a	1	52	2
608.425	1	10	n/a	n/a	1	52	3
609.6916	1	10	n/a	n/a	1	52	4
610.8748	1	10	n/a	n/a	1	52	5
612.0582	1	21	n/a	n/a	1	52	0
613.208	1	10	n/a	n/a	1	52	1
614.358	1	10	n/a	n/a	1	52	2
624.1754	1	81	n/a	n/a	1	0	0
624.3994	1	81	n/a	n/a	1	0	0
624.4954	1	81	n/a	n/a	1	0	0
624.6494	1	81	n/a	n/a	1	0	0
624.8254	1	81	n/a	n/a	1	0	0
625.1756	1	81	n/a	n/a	1	0	0
625.3986	1	81	n/a	n/a	1	0	0
625.5696	1	81	n/a	n/a	1	0	0
625.9746	1	81	n/a	n/a	1	0	0
626.0076	1	81	n/a	n/a	1	0	0
627.3906	1	10	n/a	n/a	1	52	1
628.4238	1	10	n/a	n/a	1	52	2
629.4904	1	10	n/a	n/a	1	52	3
630.557	1	21	n/a	n/a	1	52	0
631.7236	1	10	n/a	n/a	1	52	1
632.8402	1	10	n/a	n/a	1	52	2
634.0068	1	10	n/a	n/a	1	52	3
635.2568	1	10	n/a	n/a	1	52	4
636.3734	1	10	n/a	n/a	1	52	5
637.49	1	21	n/a	n/a	1	52	0
638.5732	1	10	n/a	n/a	1	52	1
639.6732	1	10	n/a	n/a	1	52	2
640.9398	1	10	n/a	n/a	1	52	3
642.2064	1	10	n/a	n/a	1	52	4
643.273	1	10	n/a	n/a	1	52	5
644.3396	1	21	n/a	n/a	1	52	0
645.5562	1	10	n/a	n/a	1	52	1
646.6728	1	10	n/a	n/a	1	52	2
648.006	1	10	n/a	n/a	1	52	3
649.3392	1	10	n/a	n/a	1	52	4
660.1818	1	81	n/a	n/a	1	0	0
660.5638	1	81	n/a	n/a	1	0	0
660.6388	1	81	n/a	n/a	1	0	0
660.6808	1	81	n/a	n/a	1	0	0
660.9808	1	81	n/a	n/a	1	0	0
661.1818	1	81	n/a	n/a	1	0	0
661.2528	1	81	n/a	n/a	1	0	0
661.3488	1	81	n/a	n/a	1	0	0
661.5098	1	81	n/a	n/a	1	0	0
661.8888	1	81	n/a	n/a	1	0	0
663.2718	1	10	n/a	n/a	1	52	1
664.3384	1	10	n/a	n/a	1	52	2
665.655	1	10	n/a	n/a	1	52	3
666.8382	1	10	n/a	n/a	1	52	4
668.1382	1	10	n/a	n/a	1	52	5
669.4548	1	10	n/a	n/a	1	52	6
670.638	1	10	n/a	n/a	1	52	7
671.7712	1	21	n/a	n/a	1	52	0
672.9712	1	10	n/a	n/a	1	52	1
674.1544	1	10	n/a	n/a	1	52	2
675.3044	1	10	n/a	n/a	1	52	3
676.4544	1	21	n/a	n/a	1	52	0
677.7376	1	10	n/a	n/a	1	52	1
678.7708	1	10	n/a	n/a	1	52	2
680.0042	1	10	n/a	n/a	1	52	3
681.2708	1	10	n/a	n/a	1	52	4
682.3874	1	10	n/a	n/a	1	52	5
683.504	1	21	n/a	n/a	1	52	0
684.7538	1	10	n/a	n/a	1	52	1
685.9704	1	10	n/a	n/a	1	52	2
776.319	1	81	n/a	n/a	1	0	0
776.519	1	81	n/a	n/a	1	0	0
776.719	1	81	n/a	n/a	1	0	0
776.919	1	81	n/a	n/a	1	0	0
777.119	1	81	n/a	n/a	1	0	0
777.319	1	81	n/a	n/a	1	0	0
777.519	1	81	n/a	n/a	1	0	0
777.719	1	81	n/a	n/a	1	0	0
777.919	1	81	n/a	n/a	1	0	0
778.119	1	81	n/a	n/a	1	0	0
779.4482	1	10	n/a	n/a	1	51	1
780.4982	1	10	n/a	n/a	1	51	2
781.5814	1	10	n/a	n/a	1	51	3
782.6646	1	21	n/a	n/a	1	51	0
783.9146	1	10	n/a	n/a	1	51	1
785.1478	1	10	n/a	n/a	1	51	2
786.2644	1	10	n/a	n/a	1	51	3
787.431	1	10	n/a	n/a	1	51	4
788.531	1	10	n/a	n/a	1	51	5
789.631	1	10	n/a	n/a	1	51	6
790.8142	1	10	n/a	n/a	1	51	7
791.9974	1	21	n/a	n/a	1	51	0
793.2974	1	10	n/a	n/a	1	51	1
794.3806	1	10	n/a	n/a	1	51	2
795.5306	1	10	n/a	n/a	1	51	3
796.6806	1	21	n/a	n/a	1	51	0
797.8138	1	10	n/a	n/a	1	51	1
799.097	1	10	n/a	n/a	1	51	2
800.4136	1	10	n/a	n/a	1	51	3
801.7302	1	21	n/a	n/a	1	51	0
812.9058	1	81	n/a	n/a	1	0	0
813.1058	1	81	n/a	n/a	1	0	0
813.3058	1	81	n/a	n/a	1	0	0
813.5058	1	81	n/a	n/a	1	0	0
813.7058	1	81	n/a	n/a	1	0	0
813.9058	1	81	n/a	n/a	1	0	0
814.1058	1	81	n/a	n/a	1	0	0
814.3058	1	81	n/a	n/a	1	0	0
814.5058	1	81	n/a	n/a	1	0	0
814.7058	1	81	n/a	n/a	1	0	0
816.0794	1	10	n/a	n/a	1	51	1
817.296	1	10	n/a	n/a	1	51	2
818.546	1	10	n/a	n/a	1	51	3
819.5792	1	10	n/a	n/a	1	51	4
820.8958	1	10	n/a	n/a	1	51	5
822.2124	1	21	n/a	n/a	1	51	0
823.4122	1	10	n/a	n/a	1	51	1
824.5288	1	10	n/a	n/a	1	51	2
825.8122	1	10	n/a	n/a	1	51	3
826.962	1	10	n/a	n/a	1	51	4
828.1786	1	10	n/a	n/a	1	51	5
829.312	1	10	n/a	n/a	1	51	6
830.3618	1	10	n/a	n/a	1	51	7
831.4118	1	21	n/a	n/a	1	51	0
832.5284	1	10	n/a	n/a	1	51	1
833.695	1	10	n/a	n/a	1	51	2
834.795	1	10	n/a	n/a	1	51	3
835.8948	1	21	n/a	n/a	1	51	0
837.0448	1	10	n/a	n/a	1	51	1
838.1948	1	21	n/a	n/a	1	51	0
847.6804	1	81	n/a	n/a	1	0	0
847.8804	1	81	n/a	n/a	1	0	0
848.0804	1	81	n/a	n/a	1	0	0
848.2804	1	81	n/a	n/a	1	0	0
848.4804	1	81	n/a	n/a	1	0	0
848.6804	1	81	n/a	n/a	1	0	0
848.8804	1	81	n/a	n/a	1	0	0
849.0804	1	81	n/a	n/a	1	0	0
849.2804	1	81	n/a	n/a	1	0	0
849.4804	1	81	n/a	n/a	1	0	0
850.8274	1	10	n/a	n/a	1	51	1
851.8772	1	10	n/a	n/a	1	51	2
853.0606	1	10	n/a	n/a	1	51	3
854.2104	1	10	n/a	n/a	1	51	4
855.327	1	10	n/a	n/a	1	51	5
856.4604	1	10	n/a	n/a	1	51	6
857.777	1	10	n/a	n/a	1	51	7
859.0934	1	21	n/a	n/a	1	51	0
860.1602	1	10	n/a	n/a	1	51	1
861.2434	1	10	n/a	n/a	1	51	2
862.2766	1	10	n/a	n/a	1	51	3
863.31	1	21	n/a	n/a	1	51	0
864.3432	1	10	n/a	n/a	1	51	1
865.3764	1	21	n/a	n/a	1	51	0
866.6098	1	10	n/a	n/a	1	51	1
867.843	1	21	n/a	n/a	1	51	0
869.093	1	10	n/a	n/a	1	51	1
870.1428	1	10	n/a	n/a	1	51	2
871.3762	1	10	n/a	n/a	1	51	3
872.4094	1	10	n/a	n/a	1	51	4
882.159	1	81	n/a	n/a	1	0	0
882.359	1	81	n/a	n/a	1	0	0
882.559	1	81	n/a	n/a	1	0	0
882.759	1	81	n/a	n/a	1	0	0
882.959	1	81	n/a	n/a	1	0	0
883.159	1	81	n/a	n/a	1	0	0
883.359	1	81	n/a	n/a	1	0	0
883.559	1	81	n/a	n/a	1	0	0
883.759	1	81	n/a	n/a	1	0	0
883.959	1	81	n/a	n/a	1	0	0
885.2586	1	10	n/a	n/a	1	51	1
886.3752	1	10	n/a	n/a	1	51	2
887.5584	1	10	n/a	n/a	1	51	3
888.7418	1	21	n/a	n/a	1	51	0
889.975	1	10	n/a	n/a	1	51	1
891.125	1	10	n/a	n/a	1	51	2
892.3582	1	10	n/a	n/a	1	51	3
893.4248	1	10	n/a	n/a	1	51	4
894.658	1	10	n/a	n/a	1	51	5
895.8914	1	21	n/a	n/a	1	51	0
897.0912	1	10	n/a	n/a	1	51	1
898.3412	1	10	n/a	n/a	1	51	2
899.3744	1	10	n/a	n/a	1	51	3
900.6744	1	10	n/a	n/a	1	51	4
901.8242	1	10	n/a	n/a	1	51	5
902.8576	1	10	n/a	n/a	1	51	6
904.1074	1	10	n/a	n/a	1	51	7
905.3574	1	21	n/a	n/a	1	51	0
906.474	1	10	n/a	n/a	1	51	1
907.5906	1	21	n/a	n/a	1	51	0
936.6772	1	81	n/a	n/a	1	0	0
936.8772	1	81	n/a	n/a	1	0	0
937.0772	1	81	n/a	n/a	1	0	0
937.2772	1	81	n/a	n/a	1	0	0
937.4772	1	81	n/a	n/a	1	0	0
937.6772	1	81	n/a	n/a	1	0	0
937.8772	1	81	n/a	n/a	1	0	0
938.0772	1	81	n/a	n/a	1	0	0
938.2772	1	81	n/a	n/a	1	0	0
938.4772	1	81	n/a	n/a	1	0	0
939.8888	1	10	n/a	n/a	1	50	1
941.2052	1	10	n/a	n/a	1	50	2
942.3052	1	10	n/a	n/a	1	50	3
943.4052	1	21	n/a	n/a	1	50	0
944.6218	1	10	n/a	n/a	1	50	1
945.7384	1	10	n/a	n/a	1	50	2
946.9716	1	10	n/a	n/a	1	50	3
948.1882	1	10	n/a	n/a	1	50	4
949.3382	1	10	n/a	n/a	1	50	5
950.4214	1	10	n/a	n/a	1	50	6
951.6546	1	10	n/a	n/a	1	50	7
952.888	1	21	n/a	n/a	1	50	0
954.1546	1	10	n/a	n/a	1	50	1
955.3712	1	10	n/a	n/a	1	50	2
956.421	1	10	n/a	n/a	1	50	3
957.6376	1	10	n/a	n/a	1	50	4
958.7876	1	10	n/a	n/a	1	50	5
959.9376	1	21	n/a	n/a	1	50	0
961.1708	1	10	n/a	n/a	1	50	1
962.4208	1	10	n/a	n/a	1	50	2
970.7752	1	81	n/a	n/a	1	0	0
970.9752	1	81	n/a	n/a	1	0	0
971.1752	1	81	n/a	n/a	1	0	0
971.3752	1	81	n/a	n/a	1	0	0
971.5752	1	81	n/a	n/a	1	0	0
971.7752	1	81	n/a	n/a	1	0	0
971.9752	1	81	n/a	n/a	1	0	0
972.1752	1	81	n/a	n/a	1	0	0
972.3752	1	81	n/a	n/a	1	0	0
972.5752	1	81	n/a	n/a	1	0	0
973.9034	1	10	n/a	n/a	1	50	1
975.1532	1	10	n/a	n/a	1	50	2
976.3532	1	10	n/a	n/a	1	50	3
977.4864	1	10	n/a	n/a	1	50	4
978.803	1	10	n/a	n/a	1	50	5
980.1196	1	21	n/a	n/a	1	50	0
981.3362	1	10	n/a	n/a	1	50	1
982.4028	1	10	n/a	n/a	1	50	2
983.4362	1	10	n/a	n/a	1	50	3
984.6694	1	10	n/a	n/a	1	50	4
985.7194	1	10	n/a	n/a	1	50	5
986.7692	1	21	n/a	n/a	1	50	0
988.0358	1	10	n/a	n/a	1	50	1
989.1858	1	10	n/a	n/a	1	50	2
990.419	1	10	n/a	n/a	1	50	3
991.6356	1	10	n/a	n/a	1	50	4
992.8522	1	10	n/a	n/a	1	50	5
993.9854	1	10	n/a	n/a	1	50	6
995.202	1	10	n/a	n/a	1	50	7
996.4186	1	21	n/a	n/a	1	50	0
1005.2314	1	81	n/a	n/a	1	0	0
1005.4314	1	81	n/a	n/a	1	0	0
1005.6314	1	81	n/a	n/a	1	0	0
1005.8314	1	81	n/a	n/a	1	0	0
1006.0314	1	81	n/a	n/a	1	0	0
1006.2314	1	81	n/a	n/a	1	0	0
1006.4314	1	81	n/a	n/a	1	0	0
1006.6314	1	81	n/a	n/a	1	0	0
1006.8314	1	81	n/a	n/a	1	0	0
1007.0314	1	81	n/a	n/a	1	0	0
1008.3346	1	10	n/a	n/a	1	50	1
1009.5012	1	10	n/a	n/a	1	50	2
1010.7178	1	10	n/a	n/a	1	50	3
1011.9344	1	21	n/a	n/a	1	50	0
1013.0344	1	10	n/a	n/a	1	50	1
1014.301	1	10	n/a	n/a	1	50	2
1015.5842	1	10	n/a	n/a	1	50	3
1016.8842	1	10	n/a	n/a	1	50	4
1018.134	1	10	n/a	n/a	1	50	5
1019.384	1	21	n/a	n/a	1	50	0
1020.634	1	10	n/a	n/a	1	50	1
1021.7172	1	10	n/a	n/a	1	50	2
1023.0338	1	10	n/a	n/a	1	50	3
1024.3504	1	21	n/a	n/a	1	50	0
1025.467	1	10	n/a	n/a	1	50	1
1026.6502	1	10	n/a	n/a	1	50	2
1027.8002	1	10	n/a	n/a	1	50	3
1029.0168	1	10	n/a	n/a	1	50	4
1030.2	1	10	n/a	n/a	1	50	5
1031.3832	1	21	n/a	n/a	1	50	0
1041.576	1	81	n/a	n/a	1	0	0
