onset	duration	value	response	rt	good	Acu	estim	trial
0.0046	1	11	2	679.2	1	1	0 2 0	1
3.6131	1	11	1	634.1	1	1	1 0 0	2
6.2903	1	11	3	472	1	1	0 0 3	3
8.7847	1	12	2	679.9	1	1	1 1 2	1
11.9775	1	12	3	771.1	1	1	2 3 2	2
14.3388	1	12	2	789.6	1	1	2 3 3	3
17.6646	1	12	3	687.6	1	1	2 3 2	4
21.3064	1	12	3	526.1	1	1	3 2 2	5
24.2497	1	12	2	695.7	1	1	2 1 1	6
28.0245	1	11	2	635.3	1	1	0 2 0	1
30.3193	1	11	3	480	1	1	0 0 3	2
33.0132	1	11	3	411.3	1	1	0 0 3	3
35.3579	1	11	3	438.7	1	1	0 0 3	4
38.5008	1	11	3	455.5	1	1	0 0 3	5
42.3754	1	11	1	615	1	1	1 0 0	6
45.3187	1	11	2	534	1	1	0 2 0	7
47.4972	1	12	1	618.1	1	1	2 2 1	1
49.9749	1	12	1	679.6	1	1	2 2 1	2
52.5191	1	12	2	665.5	1	1	3 3 2	3
56.2607	1	12	1	608.2	1	1	2 2 1	4
59.0543	1	11	1	561.2	1	1	1 0 0	1
62.3801	1	11	2	571.3	1	1	0 2 0	2
65.5397	1	11	2	543.6	1	1	0 2 0	3
68.3167	1	11	1	491.9	1	1	1 0 0	4
70.2623	1	11	1	518.6	1	1	1 0 0	5
72.341	1	11	2	524.5	1	1	0 2 0	6
75.9328	1	11	2	574.1	1	1	0 2 0	7
78.5436	1	11	2	503.5	1	1	0 2 0	8
80.7552	1	12	3	675.8	1	1	1 3 1	1
83.366	1	12	3	869.4	1	1	1 3 1	2
86.8415	1	12	2	926.1	1	1	3 3 2	3
89.0864	1	12	1	551.7	1	1	2 2 1	4
91.9799	1	12	2	589.8	1	1	2 1 1	5
94.7403	1	11	2	586.5	1	1	0 2 0	1
98.4984	1	11	1	499.8	1	1	1 0 0	2
101.076	1	11	1	524.6	1	1	1 0 0	3
104.3519	1	11	1	462.4	1	1	1 0 0	4
106.5968	1	11	3	477.2	1	1	0 0 3	5
108.559	1	12	3	823.7	1	0	3 3 1	1
110.7541	1	12	1	659.2	1	1	2 2 1	2
114.5289	1	12	3	689	1	1	2 3 2	3
116.8403	1	12	2	598.5	1	0	3 1 3	4
120.1827	1	12	2	683.2	1	1	3 3 2	5
122.6605	1	12	1	646.2	1	1	3 3 1	6
125.0883	1	12	1	726.6	1	1	3 1 3	7
127.4829	1	12	1	647.7	1	1	3 3 1	8
130.3764	1	11	1	492.6	1	1	1 0 0	1
133.8851	1	11	1	496.2	1	1	1 0 0	2
137.0113	1	11	2	541.9	1	1	0 2 0	3
140.6365	1	11	2	505.9	1	1	0 2 0	4
142.8481	1	12	3	632.1	1	1	1 3 1	1
145.5919	1	12	1	577	1	1	3 3 1	2
147.7703	1	12	1	482	1	1	3 3 1	3
149.849	1	11	1	482.8	1	1	1 0 0	1
152.3932	1	11	1	481.5	1	1	1 0 0	2
155.0705	1	11	2	549.7	1	1	0 2 0	3
157.9141	1	11	2	572.6	1	1	0 2 0	4
160.159	1	11	1	522.2	1	1	1 0 0	5
163.0857	1	11	2	509	1	1	0 2 0	6
165.3473	1	12	2	792.7	1	1	3 3 2	1
169.1054	1	12	2	575.7	1	0	2 3 2	2
172.1485	1	12	3	804.1	1	1	3 1 1	3
175.9233	1	12	3	557.3	1	1	3 2 2	4
179.5984	1	12	1	650.7	1	1	2 1 2	5
182.8078	1	12	1	593	1	1	2 2 1	6
185.4019	1	12	1	820.3	1	1	3 1 3	7
187.6967	1	11	2	510.9	1	1	0 2 0	1
190.241	1	11	2	625.8	1	1	0 2 0	2
193.6499	1	11	1	472	1	1	1 0 0	3
196.8926	1	11	3	516.2	1	1	0 0 3	4
200.2683	1	11	2	506.7	1	1	0 2 0	5
203.9267	1	11	1	403.5	1	1	1 0 0	6
206.5374	1	12	2	642.2	1	1	2 1 1	1
210.1127	1	12	1	577.4	1	1	2 2 1	2
212.4906	1	12	2	596.3	1	1	1 1 2	3
215.4173	1	12	1	617.2	1	0	3 3 2	4
219.2753	1	12	2	740.2	1	1	3 3 2	5
222.9836	1	12	2	886.5	1	1	2 3 3	6
225.4613	1	12	3	748.5	1	1	3 1 1	7
227.4235	1	11	2	604.4	1	1	0 2 0	1
229.5853	1	11	3	504.3	1	1	0 0 3	2
231.6473	1	11	2	494.5	1	1	0 2 0	3
235.4055	1	11	2	486	1	1	0 2 0	4
238.8976	1	12	1	690.3	1	1	2 1 2	1
241.0926	1	12	2	631.1	1	0	3 1 1	2
243.6036	1	12	2	768.4	1	1	3 3 2	3
246.0979	1	12	2	729	1	1	2 3 3	4
249.0912	1	12	2	623.2	1	1	3 3 2	5
250.9869	1	11	3	555.6	1	1	0 0 3	1
254.7949	1	11	2	547.3	1	1	0 2 0	2
257.8713	1	11	3	483.7	1	1	0 0 3	3
260.9477	1	12	1	882.5	1	1	3 1 3	1
263.0596	1	12	2	601.7	1	0	3 2 2	2
265.105	1	12	3	635.9	1	1	2 3 2	3
268.7966	1	12	2	763.9	1	1	2 3 3	4
271.1579	1	12	1	578.1	1	1	2 2 1	5
273.2698	1	12	1	639.8	1	1	2 1 2	6
275.2487	1	12	2	672.5	1	1	3 3 2	7
278.9237	1	12	3	648.9	1	1	2 3 2	8
281.9336	1	11	2	596.5	1	1	0 2 0	1
284.5277	1	11	2	627.6	1	1	0 2 0	2
286.5731	1	11	1	495.1	1	1	1 0 0	3
