onset	duration	value	response	rt	good	Acu	estim	trial
13.9268	1	11	2	706	1	1	0 2 0	1
16.8037	1	11	2	647.4	1	1	0 2 0	2
18.8823	1	11	2	368	1	1	0 2 0	3
21.3434	1	11	1	366.8	1	1	1 0 0	4
23.422	1	12	2	468.9	1	0	3 2 2	1
27.1636	1	12	3	540.1	1	0	1 1 2	2
30.6224	1	12	2	614.4	1	1	2 1 1	3
33.333	1	11	1	510.9	1	1	1 0 0	1
35.9936	1	11	1	420.6	1	1	1 0 0	2
38.2053	1	11	1	291.2	1	1	1 0 0	3
40.234	1	11	3	361.2	1	1	0 0 3	4
43.2106	1	11	2	362.3	1	1	0 2 0	5
45.2061	1	11	2	427.3	1	1	0 2 0	6
48.8479	1	11	1	385.8	1	1	1 0 0	7
51.5584	1	12	2	575.8	1	1	2 3 3	1
55.2002	1	12	2	574.3	1	0	3 2 2	2
57.5947	1	12	3	541.9	1	0	1 1 2	3
60.721	1	12	1	482.2	1	1	2 2 1	4
63.3817	1	12	1	481.9	1	0	2 3 3	5
65.3605	1	12	2	465.5	1	1	2 3 3	6
68.2373	1	12	1	657.2	1	1	3 3 1	7
71.2971	1	12	1	720.2	1	1	2 2 1	8
74.8058	1	11	1	485.6	1	1	1 0 0	1
77.0341	1	11	1	457	1	1	1 0 0	2
79.5118	1	11	2	376.2	1	1	0 2 0	3
82.8709	1	11	1	350.2	1	1	1 0 0	4
86.0471	1	11	1	364.7	1	1	1 0 0	5
89.9216	1	12	2	651.3	1	1	3 3 2	1
92.5823	1	12	1	542.5	1	0	1 1 2	2
96.0577	1	12	2	410.3	1	0	3 1 3	3
99.4833	1	12	2	586	1	1	1 1 2	4
103.2747	1	12	2	461.4	1	0	2 2 1	5
105.6527	1	12	2	549.3	1	0	2 3 2	6
108.4131	1	11	1	418.1	1	1	1 0 0	1
110.9906	1	11	2	427.5	1	1	0 2 0	2
114.8319	1	11	2	381.9	1	1	0 2 0	3
118.1079	1	11	1	414.8	1	1	1 0 0	4
120.4692	1	11	3	555.7	1	1	0 0 3	5
