onset	duration	value	response	rt	good	Acu	estim	trial
0.0111	1	11	2	571.6	1	1	0 2 0	1
3.0542	1	11	1	582.2	1	1	1 0 0	2
6.5463	1	11	2	401	1	1	0 2 0	3
8.5917	1	11	3	357.1	1	1	0 0 3	4
11.2024	1	11	1	327.5	1	1	1 0 0	5
13.597	1	11	2	381	1	1	0 2 0	6
16.3408	1	11	2	356.8	1	1	0 2 0	7
19.3839	1	11	2	371.6	1	1	0 2 0	8
22.1277	1	12	3	641.1	1	1	2 3 2	1
25.4203	1	12	2	575.4	1	1	2 1 1	2
28.5632	1	12	1	703.6	1	1	2 1 2	3
31.307	1	11	2	483.7	1	1	0 2 0	1
33.8013	1	11	3	375.4	1	1	0 0 3	2
37.6094	1	11	2	410.8	1	1	0 2 0	3
39.9707	1	11	1	332.1	1	1	1 0 0	4
42.9473	1	11	1	359.4	1	1	1 0 0	5
45.3086	1	11	1	436	1	1	1 0 0	6
49.0834	1	11	2	390.7	1	1	0 2 0	7
51.7773	1	12	2	1001.8	1	1	3 3 2	1
54.3049	1	12	1	508.8	1	1	2 2 1	2
58.113	1	12	3	501.2	1	1	1 3 1	3
61.4056	1	12	1	576.7	1	1	2 1 2	4
64.2824	1	12	2	620.5	1	0	3 1 3	5
67.1758	1	12	1	696.6	1	1	2 1 2	6
70.618	1	11	3	357.5	1	1	0 0 3	1
74.1767	1	11	2	382.1	1	1	0 2 0	2
77.9681	1	11	2	423.1	1	1	0 2 0	3
80.7451	1	11	2	416.4	1	1	0 2 0	4
84.5698	1	12	3	530.7	1	1	3 2 2	1
87.4633	1	12	1	519.6	1	1	3 1 3	2
91.0884	1	12	1	607.2	1	1	3 1 3	3
93.483	1	12	1	542.1	1	1	3 3 1	4
95.8111	1	12	2	649.2	1	1	2 3 3	5
99.1868	1	11	3	529.2	1	1	0 0 3	1
101.4816	1	11	3	449.5	1	1	0 0 3	2
104.0258	1	11	2	416.2	1	1	0 2 0	3
107.4015	1	11	2	400.1	1	1	0 2 0	4
109.4968	1	11	3	488	1	1	0 0 3	5
111.6087	1	11	2	448.3	1	1	0 2 0	6
114.6684	1	11	2	379.4	1	1	0 2 0	7
117.8279	1	12	1	509.9	1	1	3 1 3	1
121.5861	1	12	3	560.5	1	1	3 2 2	2
124.9452	1	12	1	603.4	1	0	2 1 1	3
127.0737	1	12	3	668.7	1	1	2 3 2	4
130.1999	1	12	2	619	1	1	2 1 1	5
132.2786	1	11	1	476.7	1	1	1 0 0	1
134.8727	1	11	3	340.6	1	1	0 0 3	2
138.3316	1	11	3	434.2	1	1	0 0 3	3
140.7594	1	11	3	435.2	1	1	0 0 3	4
143.5198	1	11	1	352	1	1	1 0 0	5
146.9288	1	11	3	399.4	1	1	0 0 3	6
150.4375	1	11	2	362	1	1	0 2 0	7
153.7966	1	11	3	468	1	1	0 0 3	8
155.8253	1	12	1	689.9	1	0	3 3 2	1
158.3696	1	12	3	623.6	1	1	3 1 1	2
160.5812	1	12	1	575.6	1	1	3 3 1	3
162.743	1	12	2	608.6	1	1	1 1 2	4
165.4369	1	12	3	598.8	1	1	2 3 2	5
168.3969	1	12	3	511.3	1	1	1 3 1	6
171.5065	1	11	2	470.5	1	1	0 2 0	1
173.6018	1	11	3	403.7	1	1	0 0 3	2
176.5618	1	11	1	388.2	1	1	1 0 0	3
180.1204	1	11	1	370.3	1	1	1 0 0	4
183.1136	1	12	3	537.6	1	1	2 3 2	1
185.2255	1	12	1	514.4	1	1	3 3 1	2
188.4515	1	12	3	481.1	1	1	3 2 2	3
191.4115	1	11	3	408.7	1	1	0 0 3	1
193.3904	1	11	1	346.9	1	1	1 0 0	2
196.1508	1	11	1	376	1	1	1 0 0	3
199.6096	1	11	1	369.4	1	1	1 0 0	4
202.7691	1	11	3	485	1	1	0 0 3	5
205.2801	1	12	1	566	1	1	3 1 3	1
208.6392	1	12	1	515.1	1	1	2 2 1	2
210.9174	1	12	2	735.7	1	1	2 1 1	3
213.8607	1	12	2	599	1	1	1 1 2	4
216.9205	1	12	1	523.7	1	1	2 2 1	5
220.1964	1	12	3	519.9	1	1	3 2 2	6
223.3226	1	11	3	455.3	1	1	0 0 3	1
227.164	1	11	1	375.5	1	1	1 0 0	2
230.8057	1	11	2	401.2	1	1	0 2 0	3
233.0008	1	11	1	444	1	1	1 0 0	4
236.0439	1	12	1	608.8	1	1	3 3 1	1
238.3387	1	12	1	591.7	1	1	2 2 1	2
241.864	1	12	1	509.7	1	1	2 2 1	3
243.926	1	12	3	496.3	1	1	3 1 1	4
246.3871	1	12	2	620.9	1	1	1 1 2	5
249.6464	1	12	3	528.7	1	1	3 1 1	6
252.4568	1	12	3	572.7	1	1	2 3 2	7
255.9488	1	12	2	684.1	1	1	2 3 3	8
259.5906	1	11	1	501.4	1	1	1 0 0	1
262.8166	1	11	2	503.4	1	1	0 2 0	2
266.0261	1	11	1	407.8	1	1	1 0 0	3
268.7366	1	12	1	607.5	1	1	2 1 2	1
270.9483	1	12	1	848.9	1	1	2 1 2	2
273.7918	1	12	2	629.6	1	1	2 1 1	3
275.9702	1	12	3	511.7	1	1	3 2 2	4
278.7972	1	12	2	744.6	1	1	3 3 2	5
281.3913	1	12	2	610.3	1	1	1 1 2	6
284.1684	1	12	3	578.8	1	1	3 2 2	7
286.1306	1	11	2	523.6	1	1	0 2 0	1
288.3921	1	11	2	499.1	1	1	0 2 0	2
290.2879	1	11	3	475.5	1	1	0 0 3	3
292.5827	1	11	3	437.3	1	1	0 0 3	4
296.3242	1	11	3	390.6	1	1	0 0 3	5
300.0491	1	11	3	414	1	1	0 0 3	6
302.3439	1	11	2	387.1	1	1	0 2 0	7
305.0378	1	11	1	395.5	1	1	1 0 0	8
308.0477	1	12	2	591.4	1	1	3 3 2	1
310.7582	1	12	1	543.1	1	1	3 3 1	2
313.5353	1	12	2	600.3	1	1	1 1 2	3
316.7946	1	12	2	499	1	1	2 1 1	4
319.2889	1	12	2	638	1	1	2 3 3	5
322.0493	1	12	3	635	1	1	1 3 1	6
324.3275	1	12	3	831.6	1	1	2 3 2	7
326.9217	1	11	3	511.2	1	1	0 0 3	1
330.2475	1	11	1	427.3	1	1	1 0 0	2
332.7585	1	11	3	513.3	1	1	0 0 3	3
335.6353	1	12	2	648.5	1	1	3 3 2	1
339.1939	1	12	1	581.9	1	1	3 3 1	2
342.5197	1	12	3	592.2	1	1	3 2 2	3
344.7147	1	12	3	580.8	1	1	3 2 2	4
348.1736	1	12	3	486	1	1	3 2 2	5
351.2333	1	12	3	595.3	1	1	2 3 2	6
354.2765	1	11	2	446.3	1	1	0 2 0	1
356.405	1	11	3	445.7	1	1	0 0 3	2
359.4814	1	11	1	444	1	1	1 0 0	3
361.7429	1	11	3	522.3	1	1	0 0 3	4
364.4534	1	12	3	537.3	1	1	3 2 2	1
